
Training on cuda | logs -> training_logs/run_seed41_config5_fresh_20260527_011204
Config: ..\..\configs\config5.yaml
Episodes: 0 -> ...
Steps: 0 -> 150000

Episode    37 | Steps:    1114 | Reward:  -1.303 | Avg(100):  -0.660 | Entropy: 0.0995 | Acc: 12.1% (4+ 29-) | Lifetime: 18.9%
Episode    38 | Steps:    1118 | Reward:  -0.800 | Avg(100):  -0.663 | Entropy: 0.0995 | Acc: 0.0% (0+ 4-) | Lifetime: 18.8%
Episode    39 | Steps:    1143 | Reward:   1.198 | Avg(100):  -0.617 | Entropy: 0.0995 | Acc: 24.0% (6+ 19-) | Lifetime: 18.9%
Episode    40 | Steps:    1168 | Reward:   1.598 | Avg(100):  -0.563 | Entropy: 0.0995 | Acc: 24.0% (6+ 19-) | Lifetime: 19.0%
Episode    41 | Steps:    1197 | Reward:   0.897 | Avg(100):  -0.528 | Entropy: 0.0995 | Acc: 20.7% (6+ 23-) | Lifetime: 19.1%
Episode    42 | Steps:    1234 | Reward:  -1.603 | Avg(100):  -0.553 | Entropy: 0.0995 | Acc: 16.2% (6+ 31-) | Lifetime: 19.0%
Episode    43 | Steps:    1258 | Reward:   3.199 | Avg(100):  -0.468 | Entropy: 0.0995 | Acc: 33.3% (8+ 16-) | Lifetime: 19.3%
Episode    44 | Steps:    1285 | Reward:  -0.002 | Avg(100):  -0.457 | Entropy: 0.0993 | Acc: 22.2% (6+ 21-) | Lifetime: 19.3%
Episode    45 | Steps:    1315 | Reward:  -1.002 | Avg(100):  -0.469 | Entropy: 0.0993 | Acc: 20.7% (6+ 23-) | Lifetime: 19.4%
Episode    46 | Steps:    1342 | Reward:  -0.102 | Avg(100):  -0.461 | Entropy: 0.0993 | Acc: 22.2% (6+ 21-) | Lifetime: 19.4%
Episode    47 | Steps:    1382 | Reward:  -4.504 | Avg(100):  -0.546 | Entropy: 0.0993 | Acc: 10.0% (4+ 36-) | Lifetime: 19.1%
Episode    48 | Steps:    1407 | Reward:   0.498 | Avg(100):  -0.524 | Entropy: 0.0993 | Acc: 20.0% (5+ 20-) | Lifetime: 19.2%
Episode    49 | Steps:    1437 | Reward:  -2.703 | Avg(100):  -0.568 | Entropy: 0.0993 | Acc: 6.7% (2+ 28-) | Lifetime: 18.9%
Episode    50 | Steps:    1465 | Reward:   0.498 | Avg(100):  -0.547 | Entropy: 0.0993 | Acc: 21.4% (6+ 22-) | Lifetime: 18.9%
  [Step 1500] Action dist: A0:13% | A1:19% | A2:28% | A3:20% | A4:20%
Episode    51 | Steps:    1503 | Reward:  -4.301 | Avg(100):  -0.619 | Entropy: 0.0993 | Acc: 10.5% (4+ 34-) | Lifetime: 18.7%
Episode    52 | Steps:    1530 | Reward:   0.997 | Avg(100):  -0.589 | Entropy: 0.0993 | Acc: 22.2% (6+ 21-) | Lifetime: 18.8%
Episode    53 | Steps:    1546 | Reward:   3.099 | Avg(100):  -0.520 | Entropy: 0.0992 | Acc: 43.8% (7+ 9-) | Lifetime: 19.1%
Episode    54 | Steps:    1577 | Reward:   0.098 | Avg(100):  -0.509 | Entropy: 0.0992 | Acc: 22.6% (7+ 24-) | Lifetime: 19.1%
Episode    55 | Steps:    1602 | Reward:   0.399 | Avg(100):  -0.493 | Entropy: 0.0992 | Acc: 24.0% (6+ 19-) | Lifetime: 19.2%
Episode    56 | Steps:    1634 | Reward:   1.997 | Avg(100):  -0.449 | Entropy: 0.0992 | Acc: 21.9% (7+ 25-) | Lifetime: 19.3%
Episode    57 | Steps:    1665 | Reward:  -1.201 | Avg(100):  -0.462 | Entropy: 0.0992 | Acc: 19.4% (6+ 25-) | Lifetime: 19.3%
Episode    58 | Steps:    1691 | Reward:   2.297 | Avg(100):  -0.415 | Entropy: 0.0992 | Acc: 26.9% (7+ 19-) | Lifetime: 19.4%
Episode    59 | Steps:    1707 | Reward:   3.100 | Avg(100):  -0.357 | Entropy: 0.0992 | Acc: 50.0% (8+ 8-) | Lifetime: 19.7%
Episode    60 | Steps:    1736 | Reward:  -1.201 | Avg(100):  -0.371 | Entropy: 0.0992 | Acc: 17.2% (5+ 24-) | Lifetime: 19.6%
Episode    61 | Steps:    1740 | Reward:  -0.800 | Avg(100):  -0.378 | Entropy: 0.0992 | Acc: 0.0% (0+ 4-) | Lifetime: 19.6%
Episode    62 | Steps:    1766 | Reward:  -0.302 | Avg(100):  -0.376 | Entropy: 0.0992 | Acc: 19.2% (5+ 21-) | Lifetime: 19.6%
Episode    63 | Steps:    1801 | Reward:  -1.103 | Avg(100):  -0.388 | Entropy: 0.0990 | Acc: 14.7% (5+ 29-) | Lifetime: 19.5%
Episode    64 | Steps:    1833 | Reward:   1.797 | Avg(100):  -0.354 | Entropy: 0.0990 | Acc: 28.1% (9+ 23-) | Lifetime: 19.6%
Episode    65 | Steps:    1845 | Reward:  -0.501 | Avg(100):  -0.356 | Entropy: 0.0990 | Acc: 16.7% (2+ 10-) | Lifetime: 19.6%
Episode    66 | Steps:    1871 | Reward:   0.698 | Avg(100):  -0.341 | Entropy: 0.0990 | Acc: 19.2% (5+ 21-) | Lifetime: 19.6%
Episode    67 | Steps:    1881 | Reward:  -1.501 | Avg(100):  -0.358 | Entropy: 0.0990 | Acc: 0.0% (0+ 10-) | Lifetime: 19.5%
Episode    68 | Steps:    1911 | Reward:  -0.103 | Avg(100):  -0.354 | Entropy: 0.0990 | Acc: 16.7% (5+ 25-) | Lifetime: 19.5%
Episode    69 | Steps:    1930 | Reward:   3.399 | Avg(100):  -0.300 | Entropy: 0.0990 | Acc: 42.1% (8+ 11-) | Lifetime: 19.7%
Episode    70 | Steps:    1960 | Reward:   2.297 | Avg(100):  -0.264 | Entropy: 0.0990 | Acc: 26.7% (8+ 22-) | Lifetime: 19.8%
Episode    71 | Steps:    1984 | Reward:   0.899 | Avg(100):  -0.248 | Entropy: 0.0990 | Acc: 33.3% (8+ 16-) | Lifetime: 19.9%
  [Step 2000] Action dist: A0:14% | A1:16% | A2:36% | A3:15% | A4:19%
Episode    72 | Steps:    2002 | Reward:  -0.401 | Avg(100):  -0.250 | Entropy: 0.0990 | Acc: 22.2% (4+ 14-) | Lifetime: 20.0%
Episode    73 | Steps:    2039 | Reward:  -2.702 | Avg(100):  -0.283 | Entropy: 0.0990 | Acc: 13.9% (5+ 31-) | Lifetime: 19.9%
Episode    74 | Steps:    2070 | Reward:  -2.203 | Avg(100):  -0.309 | Entropy: 0.0989 | Acc: 12.9% (4+ 27-) | Lifetime: 19.8%
Episode    75 | Steps:    2076 | Reward:  -0.201 | Avg(100):  -0.307 | Entropy: 0.0989 | Acc: 20.0% (1+ 4-) | Lifetime: 19.8%
Episode    76 | Steps:    2104 | Reward:  -0.303 | Avg(100):  -0.307 | Entropy: 0.0989 | Acc: 17.9% (5+ 23-) | Lifetime: 19.7%
Episode    77 | Steps:    2134 | Reward:   0.297 | Avg(100):  -0.299 | Entropy: 0.0989 | Acc: 23.3% (7+ 23-) | Lifetime: 19.8%
Episode    78 | Steps:    2160 | Reward:   0.099 | Avg(100):  -0.294 | Entropy: 0.0989 | Acc: 23.1% (6+ 20-) | Lifetime: 19.8%
Episode    79 | Steps:    2176 | Reward:   2.899 | Avg(100):  -0.254 | Entropy: 0.0989 | Acc: 43.8% (7+ 9-) | Lifetime: 20.0%
Episode    80 | Steps:    2192 | Reward:   2.100 | Avg(100):  -0.225 | Entropy: 0.0989 | Acc: 40.0% (6+ 9-) | Lifetime: 20.1%
Episode    81 | Steps:    2221 | Reward:  -0.602 | Avg(100):  -0.230 | Entropy: 0.0989 | Acc: 17.2% (5+ 24-) | Lifetime: 20.1%
Episode    82 | Steps:    2253 | Reward:  -1.801 | Avg(100):  -0.249 | Entropy: 0.0989 | Acc: 18.8% (6+ 26-) | Lifetime: 20.1%
Episode    83 | Steps:    2288 | Reward:  -2.203 | Avg(100):  -0.272 | Entropy: 0.0989 | Acc: 11.4% (4+ 31-) | Lifetime: 19.9%
Episode    84 | Steps:    2312 | Reward:   0.499 | Avg(100):  -0.263 | Entropy: 0.0988 | Acc: 25.0% (6+ 18-) | Lifetime: 20.0%
Episode    85 | Steps:    2342 | Reward:  -0.702 | Avg(100):  -0.268 | Entropy: 0.0988 | Acc: 23.3% (7+ 23-) | Lifetime: 20.0%
Episode    86 | Steps:    2373 | Reward:  -0.503 | Avg(100):  -0.271 | Entropy: 0.0988 | Acc: 12.9% (4+ 27-) | Lifetime: 19.9%
Episode    87 | Steps:    2401 | Reward:   1.199 | Avg(100):  -0.254 | Entropy: 0.0988 | Acc: 28.6% (8+ 20-) | Lifetime: 20.1%
Episode    88 | Steps:    2428 | Reward:   1.199 | Avg(100):  -0.238 | Entropy: 0.0988 | Acc: 26.9% (7+ 19-) | Lifetime: 20.1%
Episode    89 | Steps:    2461 | Reward:  -1.003 | Avg(100):  -0.246 | Entropy: 0.0988 | Acc: 15.2% (5+ 28-) | Lifetime: 20.1%
Episode    90 | Steps:    2483 | Reward:   1.899 | Avg(100):  -0.223 | Entropy: 0.0988 | Acc: 27.3% (6+ 16-) | Lifetime: 20.1%
  [Step 2500] Action dist: A0:13% | A1:16% | A2:34% | A3:20% | A4:16%
Episode    91 | Steps:    2511 | Reward:   1.798 | Avg(100):  -0.201 | Entropy: 0.0988 | Acc: 33.3% (9+ 18-) | Lifetime: 20.3%
Episode    92 | Steps:    2545 | Reward:  -2.602 | Avg(100):  -0.227 | Entropy: 0.0988 | Acc: 12.1% (4+ 29-) | Lifetime: 20.2%
Episode    93 | Steps:    2572 | Reward:  -0.101 | Avg(100):  -0.225 | Entropy: 0.0986 | Acc: 22.2% (6+ 21-) | Lifetime: 20.2%
Episode    94 | Steps:    2604 | Reward:   1.397 | Avg(100):  -0.208 | Entropy: 0.0986 | Acc: 16.1% (5+ 26-) | Lifetime: 20.1%
Episode    95 | Steps:    2633 | Reward:   0.997 | Avg(100):  -0.196 | Entropy: 0.0986 | Acc: 20.7% (6+ 23-) | Lifetime: 20.1%
Episode    96 | Steps:    2669 | Reward:  -1.102 | Avg(100):  -0.205 | Entropy: 0.0986 | Acc: 16.7% (6+ 30-) | Lifetime: 20.1%
Episode    97 | Steps:    2706 | Reward:  -2.901 | Avg(100):  -0.232 | Entropy: 0.0986 | Acc: 14.3% (5+ 30-) | Lifetime: 20.0%
Episode    98 | Steps:    2728 | Reward:   3.500 | Avg(100):  -0.195 | Entropy: 0.0986 | Acc: 40.9% (9+ 13-) | Lifetime: 20.2%
Episode    99 | Steps:    2755 | Reward:  -0.403 | Avg(100):  -0.197 | Entropy: 0.0986 | Acc: 18.5% (5+ 22-) | Lifetime: 20.2%
Episode   100 | Steps:    2780 | Reward:   0.898 | Avg(100):  -0.147 | Entropy: 0.0986 | Acc: 24.0% (6+ 19-) | Lifetime: 20.2%
Episode   101 | Steps:    2813 | Reward:   0.997 | Avg(100):  -0.109 | Entropy: 0.0986 | Acc: 18.8% (6+ 26-) | Lifetime: 20.2%
Episode   102 | Steps:    2854 | Reward:  -5.303 | Avg(100):  -0.167 | Entropy: 0.0985 | Acc: 2.4% (1+ 40-) | Lifetime: 19.9%
Episode   103 | Steps:    2886 | Reward:  -2.601 | Avg(100):  -0.210 | Entropy: 0.0985 | Acc: 16.1% (5+ 26-) | Lifetime: 19.9%
Episode   104 | Steps:    2907 | Reward:   2.298 | Avg(100):  -0.190 | Entropy: 0.0985 | Acc: 30.0% (6+ 14-) | Lifetime: 20.0%
Episode   105 | Steps:    2934 | Reward:   0.699 | Avg(100):  -0.185 | Entropy: 0.0985 | Acc: 25.9% (7+ 20-) | Lifetime: 20.0%
Episode   106 | Steps:    2961 | Reward:   1.499 | Avg(100):  -0.150 | Entropy: 0.0985 | Acc: 29.6% (8+ 19-) | Lifetime: 20.1%
