
Training on cuda | logs -> training_logs/run_seed42_config5 (2)_fresh_20260529_233709
Config: ..\..\configs\config5 (2).yaml
Episodes: 0 -> ...
Steps: 0 -> 150000

Episode     0 | Steps:      28 | Reward:  -1.102 | Avg(100):  -1.102 | Entropy: 0.1000 | Acc: 20.7% (6+ 23-) | Lifetime: 20.7%
Episode     1 | Steps:      59 | Reward:  -2.301 | Avg(100):  -1.702 | Entropy: 0.1000 | Acc: 22.6% (7+ 24-) | Lifetime: 21.7%
Episode     2 | Steps:      87 | Reward:  -4.599 | Avg(100):  -2.667 | Entropy: 0.1000 | Acc: 17.9% (5+ 23-) | Lifetime: 20.5%
Episode     3 | Steps:     122 | Reward:  -5.300 | Avg(100):  -3.325 | Entropy: 0.1000 | Acc: 14.7% (5+ 29-) | Lifetime: 18.9%
Episode     4 | Steps:     145 | Reward:   1.699 | Avg(100):  -2.321 | Entropy: 0.1000 | Acc: 39.1% (9+ 14-) | Lifetime: 22.1%
Episode     5 | Steps:     179 | Reward:  -3.600 | Avg(100):  -2.534 | Entropy: 0.1000 | Acc: 17.6% (6+ 28-) | Lifetime: 21.2%
Episode     6 | Steps:     217 | Reward:  -1.904 | Avg(100):  -2.444 | Entropy: 0.1000 | Acc: 13.5% (5+ 32-) | Lifetime: 19.9%
Episode     7 | Steps:     244 | Reward:  -1.702 | Avg(100):  -2.351 | Entropy: 0.1000 | Acc: 22.2% (6+ 21-) | Lifetime: 20.2%
Episode     8 | Steps:     283 | Reward:  -2.904 | Avg(100):  -2.413 | Entropy: 0.0999 | Acc: 17.9% (7+ 32-) | Lifetime: 19.9%
Episode     9 | Steps:     310 | Reward:  -1.500 | Avg(100):  -2.321 | Entropy: 0.0999 | Acc: 25.9% (7+ 20-) | Lifetime: 20.4%
Episode    10 | Steps:     354 | Reward:  -6.704 | Avg(100):  -2.720 | Entropy: 0.0999 | Acc: 6.8% (3+ 41-) | Lifetime: 18.7%
Episode    11 | Steps:     391 | Reward:  -2.503 | Avg(100):  -2.702 | Entropy: 0.0999 | Acc: 18.9% (7+ 30-) | Lifetime: 18.7%
Episode    12 | Steps:     412 | Reward:  -1.201 | Avg(100):  -2.586 | Entropy: 0.0999 | Acc: 23.8% (5+ 16-) | Lifetime: 19.0%
Episode    13 | Steps:     442 | Reward:   0.298 | Avg(100):  -2.380 | Entropy: 0.0999 | Acc: 30.0% (9+ 21-) | Lifetime: 19.7%
Episode    14 | Steps:     468 | Reward:  -0.101 | Avg(100):  -2.228 | Entropy: 0.0999 | Acc: 30.8% (8+ 18-) | Lifetime: 20.3%
Episode    15 | Steps:     494 | Reward:  -0.301 | Avg(100):  -2.108 | Entropy: 0.0999 | Acc: 26.9% (7+ 19-) | Lifetime: 20.7%
  [Step 500] Action dist: A0:28% | A1:13% | A2:22% | A3:16% | A4:21%
Episode    16 | Steps:     545 | Reward:  -8.305 | Avg(100):  -2.472 | Entropy: 0.0997 | Acc: 3.9% (2+ 49-) | Lifetime: 19.1%
Episode    17 | Steps:     573 | Reward:  -0.000 | Avg(100):  -2.335 | Entropy: 0.0997 | Acc: 28.6% (8+ 20-) | Lifetime: 19.6%
Episode    18 | Steps:     596 | Reward:  -0.498 | Avg(100):  -2.238 | Entropy: 0.0997 | Acc: 34.8% (8+ 15-) | Lifetime: 20.2%
Episode    19 | Steps:     626 | Reward:  -1.502 | Avg(100):  -2.201 | Entropy: 0.0997 | Acc: 16.7% (5+ 25-) | Lifetime: 20.0%
Episode    20 | Steps:     665 | Reward:  -4.303 | Avg(100):  -2.302 | Entropy: 0.0997 | Acc: 12.8% (5+ 34-) | Lifetime: 19.6%
Episode    21 | Steps:     682 | Reward:   2.200 | Avg(100):  -2.097 | Entropy: 0.0997 | Acc: 47.1% (8+ 9-) | Lifetime: 20.3%
Episode    22 | Steps:     726 | Reward:  -5.803 | Avg(100):  -2.258 | Entropy: 0.0997 | Acc: 9.3% (4+ 39-) | Lifetime: 19.6%
Episode    23 | Steps:     762 | Reward:  -2.303 | Avg(100):  -2.260 | Entropy: 0.0997 | Acc: 19.4% (7+ 29-) | Lifetime: 19.6%
Episode    24 | Steps:     795 | Reward:  -4.400 | Avg(100):  -2.346 | Entropy: 0.0996 | Acc: 18.2% (6+ 27-) | Lifetime: 19.5%
Episode    25 | Steps:     822 | Reward:   0.898 | Avg(100):  -2.221 | Entropy: 0.0996 | Acc: 33.3% (9+ 18-) | Lifetime: 20.0%
Episode    26 | Steps:     842 | Reward:   0.698 | Avg(100):  -2.113 | Entropy: 0.0996 | Acc: 30.0% (6+ 14-) | Lifetime: 20.2%
Episode    27 | Steps:     890 | Reward:  -4.503 | Avg(100):  -2.198 | Entropy: 0.0996 | Acc: 16.7% (8+ 40-) | Lifetime: 20.0%
Episode    28 | Steps:     917 | Reward:   1.197 | Avg(100):  -2.081 | Entropy: 0.0996 | Acc: 29.6% (8+ 19-) | Lifetime: 20.3%
Episode    29 | Steps:     950 | Reward:  -0.702 | Avg(100):  -2.035 | Entropy: 0.0996 | Acc: 21.2% (7+ 26-) | Lifetime: 20.4%
Episode    30 | Steps:     984 | Reward:  -4.302 | Avg(100):  -2.108 | Entropy: 0.0996 | Acc: 14.7% (5+ 29-) | Lifetime: 20.2%
  [Step 1000] Action dist: A0:28% | A1:16% | A2:23% | A3:11% | A4:22%
Episode    31 | Steps:    1019 | Reward:  -3.102 | Avg(100):  -2.139 | Entropy: 0.0996 | Acc: 20.0% (7+ 28-) | Lifetime: 20.2%
Episode    32 | Steps:    1066 | Reward:  -6.203 | Avg(100):  -2.262 | Entropy: 0.0995 | Acc: 12.8% (6+ 41-) | Lifetime: 19.8%
Episode    33 | Steps:    1076 | Reward:  -1.301 | Avg(100):  -2.234 | Entropy: 0.0995 | Acc: 10.0% (1+ 9-) | Lifetime: 19.7%
Episode    34 | Steps:    1098 | Reward:   0.999 | Avg(100):  -2.142 | Entropy: 0.0995 | Acc: 31.8% (7+ 15-) | Lifetime: 20.0%
Episode    35 | Steps:    1122 | Reward:   1.000 | Avg(100):  -2.054 | Entropy: 0.0995 | Acc: 37.5% (9+ 15-) | Lifetime: 20.4%
Episode    36 | Steps:    1127 | Reward:  -0.301 | Avg(100):  -2.007 | Entropy: 0.0995 | Acc: 20.0% (1+ 4-) | Lifetime: 20.4%
