
Training on cuda | logs -> training_logs/run_seed42_config9 (2)_resumed_20260523_042246
Config: ..\..\configs\config9 (2).yaml
Episodes: 0 -> ...
Steps: 0 -> 150000

No accuracy CSV at training_logs/run_seed41_config3_fresh_20260522_170933/accuracy_final.csv — starting fresh.
Episode     0 | Steps:      37 | Reward:   1.197 | Avg(100):   1.197 | Entropy: 0.1000 | Acc: 23.7% (9+ 29-) | Lifetime: 23.7%
Episode     1 | Steps:      62 | Reward:   2.000 | Avg(100):   1.598 | Entropy: 0.1000 | Acc: 32.0% (8+ 17-) | Lifetime: 27.0%
Episode     2 | Steps:      93 | Reward:  -0.801 | Avg(100):   0.799 | Entropy: 0.1000 | Acc: 19.4% (6+ 25-) | Lifetime: 24.5%
Episode     3 | Steps:     124 | Reward:  -0.801 | Avg(100):   0.399 | Entropy: 0.1000 | Acc: 22.6% (7+ 24-) | Lifetime: 24.0%
Episode     4 | Steps:     152 | Reward:   0.300 | Avg(100):   0.379 | Entropy: 0.0999 | Acc: 32.1% (9+ 19-) | Lifetime: 25.5%
Episode     5 | Steps:     189 | Reward:  -0.403 | Avg(100):   0.249 | Entropy: 0.0999 | Acc: 16.2% (6+ 31-) | Lifetime: 23.7%
Episode     6 | Steps:     231 | Reward:  -4.504 | Avg(100):  -0.430 | Entropy: 0.0999 | Acc: 2.4% (1+ 41-) | Lifetime: 19.8%
Episode     7 | Steps:     263 | Reward:   1.299 | Avg(100):  -0.214 | Entropy: 0.0999 | Acc: 28.1% (9+ 23-) | Lifetime: 20.8%
Episode     8 | Steps:     301 | Reward:  -0.202 | Avg(100):  -0.213 | Entropy: 0.0999 | Acc: 26.3% (10+ 28-) | Lifetime: 21.5%
Episode     9 | Steps:     343 | Reward:  -1.703 | Avg(100):  -0.362 | Entropy: 0.0999 | Acc: 19.0% (8+ 34-) | Lifetime: 21.2%
Episode    10 | Steps:     384 | Reward:  -3.602 | Avg(100):  -0.656 | Entropy: 0.0998 | Acc: 14.6% (6+ 35-) | Lifetime: 20.5%
Episode    11 | Steps:     415 | Reward:   0.399 | Avg(100):  -0.568 | Entropy: 0.0998 | Acc: 29.0% (9+ 22-) | Lifetime: 21.2%
Episode    12 | Steps:     437 | Reward:  -0.102 | Avg(100):  -0.532 | Entropy: 0.0998 | Acc: 22.7% (5+ 17-) | Lifetime: 21.2%
Episode    13 | Steps:     473 | Reward:  -2.803 | Avg(100):  -0.695 | Entropy: 0.0998 | Acc: 13.9% (5+ 31-) | Lifetime: 20.7%
  [Step 500] Action dist: A0:21% | A1:15% | A2:21% | A3:19% | A4:25%
Episode    14 | Steps:     516 | Reward:  -3.601 | Avg(100):  -0.888 | Entropy: 0.0997 | Acc: 16.3% (7+ 36-) | Lifetime: 20.3%
Episode    15 | Steps:     552 | Reward:  -2.601 | Avg(100):  -0.995 | Entropy: 0.0997 | Acc: 16.7% (6+ 30-) | Lifetime: 20.1%
Episode    16 | Steps:     586 | Reward:   1.098 | Avg(100):  -0.872 | Entropy: 0.0997 | Acc: 26.5% (9+ 25-) | Lifetime: 20.4%
Episode    17 | Steps:     605 | Reward:  -1.201 | Avg(100):  -0.891 | Entropy: 0.0997 | Acc: 15.8% (3+ 16-) | Lifetime: 20.3%
Episode    18 | Steps:     644 | Reward:  -1.603 | Avg(100):  -0.928 | Entropy: 0.0997 | Acc: 15.4% (6+ 33-) | Lifetime: 20.0%
Episode    19 | Steps:     676 | Reward:   0.198 | Avg(100):  -0.872 | Entropy: 0.0997 | Acc: 21.9% (7+ 25-) | Lifetime: 20.1%
Episode    20 | Steps:     695 | Reward:   0.798 | Avg(100):  -0.792 | Entropy: 0.0997 | Acc: 21.1% (4+ 15-) | Lifetime: 20.1%
Episode    21 | Steps:     743 | Reward:  -3.503 | Avg(100):  -0.916 | Entropy: 0.0997 | Acc: 14.6% (7+ 41-) | Lifetime: 19.8%
Episode    22 | Steps:     780 | Reward:  -0.604 | Avg(100):  -0.902 | Entropy: 0.0996 | Acc: 16.2% (6+ 31-) | Lifetime: 19.6%
Episode    23 | Steps:     817 | Reward:  -1.704 | Avg(100):  -0.935 | Entropy: 0.0996 | Acc: 13.5% (5+ 32-) | Lifetime: 19.3%
Episode    24 | Steps:     849 | Reward:   0.098 | Avg(100):  -0.894 | Entropy: 0.0996 | Acc: 21.9% (7+ 25-) | Lifetime: 19.4%
Episode    25 | Steps:     871 | Reward:   1.102 | Avg(100):  -0.817 | Entropy: 0.0996 | Acc: 40.9% (9+ 13-) | Lifetime: 20.0%
Episode    26 | Steps:     896 | Reward:  -0.500 | Avg(100):  -0.806 | Entropy: 0.0995 | Acc: 28.0% (7+ 18-) | Lifetime: 20.2%
