
Training on cuda | logs -> training_logs/run_seed41_config9_fresh_20260513_200943
Config: ..\..\configs\config9.yaml
Episodes: 0 -> ...
Steps: 0 -> 100000

Episode    37 | Steps:    1368 | Reward:  -1.603 | Avg(100):  -0.587 | Entropy: 0.0990 | Acc: 13.9% (5+ 31-) | Lifetime: 19.4%
Episode    38 | Steps:    1397 | Reward:   3.598 | Avg(100):  -0.479 | Entropy: 0.0990 | Acc: 31.0% (9+ 20-) | Lifetime: 19.7%
Episode    39 | Steps:    1423 | Reward:   0.398 | Avg(100):  -0.457 | Entropy: 0.0989 | Acc: 19.2% (5+ 21-) | Lifetime: 19.7%
Episode    40 | Steps:    1445 | Reward:   4.899 | Avg(100):  -0.327 | Entropy: 0.0989 | Acc: 45.5% (10+ 12-) | Lifetime: 20.1%
Episode    41 | Steps:    1487 | Reward:  -3.002 | Avg(100):  -0.390 | Entropy: 0.0989 | Acc: 11.9% (5+ 37-) | Lifetime: 19.8%
  [Step 1500] Action dist: A0:14% | A1:18% | A2:24% | A3:23% | A4:21%
Episode    42 | Steps:    1525 | Reward:  -4.302 | Avg(100):  -0.481 | Entropy: 0.0989 | Acc: 10.5% (4+ 34-) | Lifetime: 19.6%
Episode    43 | Steps:    1547 | Reward:   1.199 | Avg(100):  -0.443 | Entropy: 0.0988 | Acc: 27.3% (6+ 16-) | Lifetime: 19.7%
Episode    44 | Steps:    1582 | Reward:   0.199 | Avg(100):  -0.429 | Entropy: 0.0988 | Acc: 25.7% (9+ 26-) | Lifetime: 19.8%
Episode    45 | Steps:    1621 | Reward:  -0.501 | Avg(100):  -0.430 | Entropy: 0.0988 | Acc: 23.1% (9+ 30-) | Lifetime: 19.9%
Episode    46 | Steps:    1652 | Reward:  -1.902 | Avg(100):  -0.462 | Entropy: 0.0988 | Acc: 19.4% (6+ 25-) | Lifetime: 19.9%
Episode    47 | Steps:    1689 | Reward:   3.196 | Avg(100):  -0.386 | Entropy: 0.0987 | Acc: 24.3% (9+ 28-) | Lifetime: 20.0%
Episode    48 | Steps:    1728 | Reward:  -3.303 | Avg(100):  -0.445 | Entropy: 0.0987 | Acc: 7.7% (3+ 36-) | Lifetime: 19.7%
Episode    49 | Steps:    1770 | Reward:  -2.903 | Avg(100):  -0.494 | Entropy: 0.0987 | Acc: 11.9% (5+ 37-) | Lifetime: 19.5%
Episode    50 | Steps:    1800 | Reward:   1.798 | Avg(100):  -0.449 | Entropy: 0.0986 | Acc: 26.7% (8+ 22-) | Lifetime: 19.7%
Episode    51 | Steps:    1830 | Reward:   1.198 | Avg(100):  -0.418 | Entropy: 0.0986 | Acc: 26.7% (8+ 22-) | Lifetime: 19.8%
Episode    52 | Steps:    1858 | Reward:   0.898 | Avg(100):  -0.393 | Entropy: 0.0986 | Acc: 21.4% (6+ 22-) | Lifetime: 19.8%
Episode    53 | Steps:    1890 | Reward:   0.297 | Avg(100):  -0.380 | Entropy: 0.0986 | Acc: 18.8% (6+ 26-) | Lifetime: 19.8%
Episode    54 | Steps:    1920 | Reward:   0.997 | Avg(100):  -0.355 | Entropy: 0.0985 | Acc: 23.3% (7+ 23-) | Lifetime: 19.8%
Episode    55 | Steps:    1937 | Reward:   1.098 | Avg(100):  -0.329 | Entropy: 0.0985 | Acc: 29.4% (5+ 12-) | Lifetime: 19.9%
Episode    56 | Steps:    1971 | Reward:   5.198 | Avg(100):  -0.232 | Entropy: 0.0985 | Acc: 32.4% (11+ 23-) | Lifetime: 20.1%
  [Step 2000] Action dist: A0:14% | A1:15% | A2:37% | A3:18% | A4:16%
Episode    57 | Steps:    2010 | Reward:  -2.900 | Avg(100):  -0.278 | Entropy: 0.0985 | Acc: 17.9% (7+ 32-) | Lifetime: 20.1%
Episode    58 | Steps:    2054 | Reward:  -1.802 | Avg(100):  -0.304 | Entropy: 0.0984 | Acc: 22.7% (10+ 34-) | Lifetime: 20.1%
Episode    59 | Steps:    2089 | Reward:  -2.003 | Avg(100):  -0.332 | Entropy: 0.0984 | Acc: 14.3% (5+ 30-) | Lifetime: 20.0%
Episode    60 | Steps:    2124 | Reward:  -1.803 | Avg(100):  -0.356 | Entropy: 0.0984 | Acc: 14.3% (5+ 30-) | Lifetime: 20.0%
Episode    61 | Steps:    2160 | Reward:  -2.304 | Avg(100):  -0.388 | Entropy: 0.0984 | Acc: 11.1% (4+ 32-) | Lifetime: 19.8%
Episode    62 | Steps:    2189 | Reward:   1.598 | Avg(100):  -0.356 | Entropy: 0.0983 | Acc: 31.0% (9+ 20-) | Lifetime: 20.0%
Episode    63 | Steps:    2225 | Reward:   1.597 | Avg(100):  -0.326 | Entropy: 0.0983 | Acc: 22.2% (8+ 28-) | Lifetime: 20.0%
Episode    64 | Steps:    2253 | Reward:   3.298 | Avg(100):  -0.270 | Entropy: 0.0983 | Acc: 28.6% (8+ 20-) | Lifetime: 20.1%
Episode    65 | Steps:    2297 | Reward:  -0.703 | Avg(100):  -0.277 | Entropy: 0.0983 | Acc: 18.2% (8+ 36-) | Lifetime: 20.1%
Episode    66 | Steps:    2322 | Reward:  -0.300 | Avg(100):  -0.277 | Entropy: 0.0982 | Acc: 24.0% (6+ 19-) | Lifetime: 20.1%
Episode    67 | Steps:    2352 | Reward:   3.097 | Avg(100):  -0.227 | Entropy: 0.0982 | Acc: 33.3% (10+ 20-) | Lifetime: 20.3%
Episode    68 | Steps:    2387 | Reward:  -0.303 | Avg(100):  -0.228 | Entropy: 0.0982 | Acc: 17.1% (6+ 29-) | Lifetime: 20.2%
Episode    69 | Steps:    2421 | Reward:  -0.302 | Avg(100):  -0.229 | Entropy: 0.0982 | Acc: 23.5% (8+ 26-) | Lifetime: 20.3%
Episode    70 | Steps:    2457 | Reward:  -2.203 | Avg(100):  -0.257 | Entropy: 0.0981 | Acc: 13.9% (5+ 31-) | Lifetime: 20.2%
Episode    71 | Steps:    2490 | Reward:  -0.200 | Avg(100):  -0.256 | Entropy: 0.0981 | Acc: 27.3% (9+ 24-) | Lifetime: 20.3%
  [Step 2500] Action dist: A0:15% | A1:18% | A2:32% | A3:18% | A4:18%
Episode    72 | Steps:    2515 | Reward:   0.500 | Avg(100):  -0.246 | Entropy: 0.0981 | Acc: 28.0% (7+ 18-) | Lifetime: 20.3%
Episode    73 | Steps:    2552 | Reward:  -1.303 | Avg(100):  -0.260 | Entropy: 0.0981 | Acc: 18.9% (7+ 30-) | Lifetime: 20.3%
Episode    74 | Steps:    2587 | Reward:  -0.603 | Avg(100):  -0.265 | Entropy: 0.0980 | Acc: 14.3% (5+ 30-) | Lifetime: 20.2%
Episode    75 | Steps:    2629 | Reward:  -1.604 | Avg(100):  -0.282 | Entropy: 0.0980 | Acc: 14.3% (6+ 36-) | Lifetime: 20.2%
Episode    76 | Steps:    2660 | Reward:   1.297 | Avg(100):  -0.262 | Entropy: 0.0980 | Acc: 22.6% (7+ 24-) | Lifetime: 20.2%
Episode    77 | Steps:    2684 | Reward:   0.300 | Avg(100):  -0.255 | Entropy: 0.0980 | Acc: 33.3% (8+ 16-) | Lifetime: 20.3%
Episode    78 | Steps:    2713 | Reward:   1.798 | Avg(100):  -0.229 | Entropy: 0.0978 | Acc: 27.6% (8+ 21-) | Lifetime: 20.4%
Episode    79 | Steps:    2751 | Reward:  -0.302 | Avg(100):  -0.230 | Entropy: 0.0978 | Acc: 18.4% (7+ 31-) | Lifetime: 20.3%
Episode    80 | Steps:    2784 | Reward:  -1.400 | Avg(100):  -0.244 | Entropy: 0.0978 | Acc: 27.3% (9+ 24-) | Lifetime: 20.4%
