
Training on cuda | logs -> training_logs/run_seed43_config3 (3)_fresh_20260527_003257
Config: ..\..\configs\config3 (3).yaml
Episodes: 0 -> ...
Steps: 0 -> 150000

Episode     0 | Steps:      32 | Reward:  -2.003 | Avg(100):  -2.003 | Entropy: 0.1000 | Acc: 12.1% (4+ 29-) | Lifetime: 12.1%
Episode     1 | Steps:      54 | Reward:  -0.200 | Avg(100):  -1.102 | Entropy: 0.1000 | Acc: 31.8% (7+ 15-) | Lifetime: 20.0%
Episode     2 | Steps:      96 | Reward:  -3.103 | Avg(100):  -1.769 | Entropy: 0.1000 | Acc: 14.3% (6+ 36-) | Lifetime: 17.5%
Episode     3 | Steps:     138 | Reward:  -3.603 | Avg(100):  -2.227 | Entropy: 0.1000 | Acc: 14.3% (6+ 36-) | Lifetime: 16.5%
Episode     4 | Steps:     174 | Reward:  -2.902 | Avg(100):  -2.362 | Entropy: 0.1000 | Acc: 13.9% (5+ 31-) | Lifetime: 16.0%
Episode     5 | Steps:     200 | Reward:  -0.302 | Avg(100):  -2.019 | Entropy: 0.1000 | Acc: 19.2% (5+ 21-) | Lifetime: 16.4%
Episode     6 | Steps:     224 | Reward:  -0.402 | Avg(100):  -1.788 | Entropy: 0.1000 | Acc: 16.7% (4+ 20-) | Lifetime: 16.4%
Episode     7 | Steps:     261 | Reward:  -0.101 | Avg(100):  -1.577 | Entropy: 0.0999 | Acc: 24.3% (9+ 28-) | Lifetime: 17.6%
Episode     8 | Steps:     294 | Reward:  -2.102 | Avg(100):  -1.635 | Entropy: 0.0999 | Acc: 18.2% (6+ 27-) | Lifetime: 17.6%
Episode     9 | Steps:     315 | Reward:   1.601 | Avg(100):  -1.312 | Entropy: 0.0999 | Acc: 38.1% (8+ 13-) | Lifetime: 19.0%
Episode    10 | Steps:     356 | Reward:  -1.803 | Avg(100):  -1.356 | Entropy: 0.0999 | Acc: 17.1% (7+ 34-) | Lifetime: 18.8%
Episode    11 | Steps:     395 | Reward:  -2.503 | Avg(100):  -1.452 | Entropy: 0.0999 | Acc: 12.8% (5+ 34-) | Lifetime: 18.2%
Episode    12 | Steps:     415 | Reward:   0.399 | Avg(100):  -1.309 | Entropy: 0.0999 | Acc: 25.0% (5+ 15-) | Lifetime: 18.5%
Episode    13 | Steps:     420 | Reward:  -0.301 | Avg(100):  -1.237 | Entropy: 0.0999 | Acc: 20.0% (1+ 4-) | Lifetime: 18.5%
Episode    14 | Steps:     427 | Reward:   0.199 | Avg(100):  -1.142 | Entropy: 0.0999 | Acc: 28.6% (2+ 5-) | Lifetime: 18.7%
Episode    15 | Steps:     459 | Reward:  -0.503 | Avg(100):  -1.102 | Entropy: 0.0999 | Acc: 15.6% (5+ 27-) | Lifetime: 18.5%
Episode    16 | Steps:     488 | Reward:  -1.303 | Avg(100):  -1.114 | Entropy: 0.0999 | Acc: 10.3% (3+ 26-) | Lifetime: 18.0%
  [Step 500] Action dist: A0:27% | A1:17% | A2:16% | A3:16% | A4:23%
Episode    17 | Steps:     525 | Reward:  -1.302 | Avg(100):  -1.124 | Entropy: 0.0997 | Acc: 16.2% (6+ 31-) | Lifetime: 17.9%
Episode    18 | Steps:     558 | Reward:  -2.201 | Avg(100):  -1.181 | Entropy: 0.0997 | Acc: 18.2% (6+ 27-) | Lifetime: 17.9%
Episode    19 | Steps:     591 | Reward:   0.397 | Avg(100):  -1.102 | Entropy: 0.0997 | Acc: 15.2% (5+ 28-) | Lifetime: 17.7%
Episode    20 | Steps:     625 | Reward:  -4.402 | Avg(100):  -1.259 | Entropy: 0.0997 | Acc: 9.1% (3+ 30-) | Lifetime: 17.3%
Episode    21 | Steps:     648 | Reward:   0.299 | Avg(100):  -1.188 | Entropy: 0.0997 | Acc: 22.7% (5+ 17-) | Lifetime: 17.5%
Episode    22 | Steps:     688 | Reward:  -3.002 | Avg(100):  -1.267 | Entropy: 0.0997 | Acc: 12.8% (5+ 34-) | Lifetime: 17.2%
Episode    23 | Steps:     712 | Reward:   1.300 | Avg(100):  -1.160 | Entropy: 0.0997 | Acc: 29.2% (7+ 17-) | Lifetime: 17.6%
Episode    24 | Steps:     737 | Reward:   0.301 | Avg(100):  -1.102 | Entropy: 0.0997 | Acc: 33.3% (8+ 16-) | Lifetime: 18.1%
Episode    25 | Steps:     764 | Reward:  -0.401 | Avg(100):  -1.075 | Entropy: 0.0997 | Acc: 25.9% (7+ 20-) | Lifetime: 18.4%
Episode    26 | Steps:     790 | Reward:   1.098 | Avg(100):  -0.994 | Entropy: 0.0996 | Acc: 23.1% (6+ 20-) | Lifetime: 18.6%
Episode    27 | Steps:     814 | Reward:  -0.301 | Avg(100):  -0.969 | Entropy: 0.0996 | Acc: 25.0% (6+ 18-) | Lifetime: 18.7%
Episode    28 | Steps:     847 | Reward:  -1.301 | Avg(100):  -0.981 | Entropy: 0.0996 | Acc: 21.2% (7+ 26-) | Lifetime: 18.8%
Episode    29 | Steps:     874 | Reward:   1.897 | Avg(100):  -0.885 | Entropy: 0.0996 | Acc: 25.9% (7+ 20-) | Lifetime: 19.1%
Episode    30 | Steps:     882 | Reward:   0.800 | Avg(100):  -0.831 | Entropy: 0.0996 | Acc: 50.0% (4+ 4-) | Lifetime: 19.3%
Episode    31 | Steps:     908 | Reward:   0.797 | Avg(100):  -0.780 | Entropy: 0.0996 | Acc: 24.0% (6+ 19-) | Lifetime: 19.5%
Episode    32 | Steps:     937 | Reward:  -0.502 | Avg(100):  -0.771 | Entropy: 0.0996 | Acc: 17.2% (5+ 24-) | Lifetime: 19.4%
Episode    33 | Steps:     974 | Reward:  -2.303 | Avg(100):  -0.816 | Entropy: 0.0996 | Acc: 10.8% (4+ 33-) | Lifetime: 19.1%
  [Step 1000] Action dist: A0:24% | A1:16% | A2:22% | A3:18% | A4:21%
Episode    34 | Steps:    1004 | Reward:  -1.701 | Avg(100):  -0.842 | Entropy: 0.0996 | Acc: 16.7% (5+ 25-) | Lifetime: 19.0%
Episode    35 | Steps:    1019 | Reward:   2.603 | Avg(100):  -0.746 | Entropy: 0.0996 | Acc: 60.0% (9+ 6-) | Lifetime: 19.6%
Episode    36 | Steps:    1039 | Reward:   2.499 | Avg(100):  -0.658 | Entropy: 0.0995 | Acc: 40.0% (8+ 12-) | Lifetime: 20.0%
Episode    37 | Steps:    1071 | Reward:  -0.502 | Avg(100):  -0.654 | Entropy: 0.0995 | Acc: 22.6% (7+ 24-) | Lifetime: 20.1%
Episode    38 | Steps:    1102 | Reward:  -0.101 | Avg(100):  -0.640 | Entropy: 0.0995 | Acc: 22.6% (7+ 24-) | Lifetime: 20.1%
Episode    39 | Steps:    1111 | Reward:  -0.501 | Avg(100):  -0.636 | Entropy: 0.0995 | Acc: 11.1% (1+ 8-) | Lifetime: 20.1%
Episode    40 | Steps:    1135 | Reward:  -0.199 | Avg(100):  -0.626 | Entropy: 0.0995 | Acc: 29.2% (7+ 17-) | Lifetime: 20.3%
Episode    41 | Steps:    1169 | Reward:  -2.601 | Avg(100):  -0.673 | Entropy: 0.0995 | Acc: 11.8% (4+ 30-) | Lifetime: 20.0%
Episode    42 | Steps:    1195 | Reward:   0.398 | Avg(100):  -0.648 | Entropy: 0.0995 | Acc: 26.9% (7+ 19-) | Lifetime: 20.2%
Episode    43 | Steps:    1219 | Reward:   1.098 | Avg(100):  -0.608 | Entropy: 0.0995 | Acc: 20.8% (5+ 19-) | Lifetime: 20.2%
Episode    44 | Steps:    1248 | Reward:   0.300 | Avg(100):  -0.588 | Entropy: 0.0995 | Acc: 24.1% (7+ 22-) | Lifetime: 20.3%
Episode    45 | Steps:    1285 | Reward:   0.397 | Avg(100):  -0.567 | Entropy: 0.0993 | Acc: 18.9% (7+ 30-) | Lifetime: 20.2%
Episode    46 | Steps:    1293 | Reward:  -1.601 | Avg(100):  -0.589 | Entropy: 0.0993 | Acc: 0.0% (0+ 8-) | Lifetime: 20.1%
Episode    47 | Steps:    1333 | Reward:  -2.404 | Avg(100):  -0.626 | Entropy: 0.0993 | Acc: 7.9% (3+ 35-) | Lifetime: 19.8%
Episode    48 | Steps:    1354 | Reward:  -1.502 | Avg(100):  -0.644 | Entropy: 0.0993 | Acc: 14.3% (3+ 18-) | Lifetime: 19.7%
Episode    49 | Steps:    1366 | Reward:  -0.901 | Avg(100):  -0.649 | Entropy: 0.0993 | Acc: 16.7% (2+ 10-) | Lifetime: 19.6%
Episode    50 | Steps:    1394 | Reward:  -0.103 | Avg(100):  -0.639 | Entropy: 0.0993 | Acc: 21.4% (6+ 22-) | Lifetime: 19.7%
Episode    51 | Steps:    1422 | Reward:  -0.502 | Avg(100):  -0.636 | Entropy: 0.0993 | Acc: 21.4% (6+ 22-) | Lifetime: 19.7%
Episode    52 | Steps:    1455 | Reward:  -1.002 | Avg(100):  -0.643 | Entropy: 0.0993 | Acc: 15.2% (5+ 28-) | Lifetime: 19.6%
Episode    53 | Steps:    1486 | Reward:   1.498 | Avg(100):  -0.603 | Entropy: 0.0993 | Acc: 25.8% (8+ 23-) | Lifetime: 19.7%
  [Step 1500] Action dist: A0:19% | A1:16% | A2:26% | A3:22% | A4:17%
Episode    54 | Steps:    1510 | Reward:   1.898 | Avg(100):  -0.558 | Entropy: 0.0993 | Acc: 25.0% (6+ 18-) | Lifetime: 19.8%
Episode    55 | Steps:    1535 | Reward:   1.597 | Avg(100):  -0.519 | Entropy: 0.0993 | Acc: 24.0% (6+ 19-) | Lifetime: 19.9%
Episode    56 | Steps:    1553 | Reward:   3.798 | Avg(100):  -0.444 | Entropy: 0.0992 | Acc: 38.9% (7+ 11-) | Lifetime: 20.1%
Episode    57 | Steps:    1572 | Reward:   2.599 | Avg(100):  -0.391 | Entropy: 0.0992 | Acc: 36.8% (7+ 12-) | Lifetime: 20.3%
Episode    58 | Steps:    1607 | Reward:  -2.202 | Avg(100):  -0.422 | Entropy: 0.0992 | Acc: 14.7% (5+ 29-) | Lifetime: 20.2%
Episode    59 | Steps:    1625 | Reward:   2.800 | Avg(100):  -0.368 | Entropy: 0.0992 | Acc: 44.4% (8+ 10-) | Lifetime: 20.5%
Episode    60 | Steps:    1635 | Reward:  -0.301 | Avg(100):  -0.367 | Entropy: 0.0992 | Acc: 10.0% (1+ 9-) | Lifetime: 20.4%
Episode    61 | Steps:    1670 | Reward:  -3.302 | Avg(100):  -0.414 | Entropy: 0.0992 | Acc: 14.3% (5+ 30-) | Lifetime: 20.3%
Episode    62 | Steps:    1699 | Reward:  -0.301 | Avg(100):  -0.413 | Entropy: 0.0992 | Acc: 24.1% (7+ 22-) | Lifetime: 20.3%
Episode    63 | Steps:    1730 | Reward:  -0.003 | Avg(100):  -0.406 | Entropy: 0.0992 | Acc: 16.1% (5+ 26-) | Lifetime: 20.3%
Episode    64 | Steps:    1755 | Reward:   0.198 | Avg(100):  -0.397 | Entropy: 0.0992 | Acc: 20.0% (5+ 20-) | Lifetime: 20.3%
Episode    65 | Steps:    1776 | Reward:   1.698 | Avg(100):  -0.365 | Entropy: 0.0992 | Acc: 28.6% (6+ 15-) | Lifetime: 20.4%
Episode    66 | Steps:    1797 | Reward:   2.399 | Avg(100):  -0.324 | Entropy: 0.0990 | Acc: 33.3% (7+ 14-) | Lifetime: 20.5%
Episode    67 | Steps:    1821 | Reward:  -0.701 | Avg(100):  -0.329 | Entropy: 0.0990 | Acc: 16.7% (4+ 20-) | Lifetime: 20.5%
Episode    68 | Steps:    1841 | Reward:   4.398 | Avg(100):  -0.261 | Entropy: 0.0990 | Acc: 40.0% (8+ 12-) | Lifetime: 20.7%
