Step,Reward
42,-3.7043
65,2.6982
109,-3.2039
136,0.4973
166,0.1995
183,3.6003
238,-4.3040
261,0.3992
288,0.9978
295,-0.7007
316,2.9004
340,0.9986
367,1.2998
387,2.3005
408,0.2004
435,0.6983
449,-1.3014
475,-0.9001
505,-1.2020
530,-1.1000
553,0.3987
584,-1.6001
616,-1.1027
640,2.0996
668,-0.0013
702,-0.6034
736,-1.7014
770,-1.7034
797,0.4988
832,-1.9020
860,0.6977
888,0.5977
916,1.8982
940,0.4996
963,3.5992
968,-1.0005
1006,-1.7008
1050,-2.8024
1083,-1.1023
1112,0.4976
1138,1.7984
1174,-1.1036
1199,0.4985
1225,1.7974
1264,-2.0039
1292,-0.3028
1318,0.8979
1342,0.4976
1372,-0.2015
1405,-2.8023
1435,-2.1015
1459,1.2976
1491,-1.1032
1504,0.1987
1526,1.4988
1552,-0.4996
1580,-0.8013
1599,0.1001
1606,-1.4007
1635,0.6981
1676,-4.2041
1706,0.7970
1727,4.0989
1758,-2.1021
1786,-0.8013
1815,-0.3004
1843,-1.1028
1868,1.2975
1890,0.9998
1909,1.5001
1925,-1.2011
1955,0.9985
1984,0.3971
2010,-1.1001
2045,-0.2035
2062,1.9008
2087,1.0980
2129,-2.3042
2155,1.1974
2189,-0.1034
2222,-2.6028
2252,-3.0020
2280,0.9987
2302,1.6998
2324,0.1993
2352,0.2972
2380,0.6977
2408,0.8017
2433,2.2980
2463,0.7995
2492,0.4971
2514,5.5988
2535,0.3004
2550,3.5995
2584,-1.2004
2613,0.3981
2639,-0.4026
2658,1.8986
2683,4.2975
2714,-2.6001
2742,-1.1008
2768,-0.0026
2793,3.0975
2796,-0.6003
2819,0.6987
2839,2.8990
2865,2.0989
2887,-0.8997
2910,1.1992
2939,0.7981
2967,0.6997
2996,-2.4004
3020,1.3976
3046,1.4974
3065,2.8001
3086,2.4989
3115,1.3971
3139,2.3976
3164,2.7975
3186,-0.7002
3213,0.5973
3234,3.5989
3264,-0.5005
3290,-1.1021
3315,0.0985
3345,-1.2030
3367,2.3998
3389,1.6988
3413,-0.2004
3441,-0.5013
3469,-1.5028
3496,-0.5022
3528,-1.7032
3554,3.7974
3577,3.2992
3596,0.6981
3615,1.8006
3640,2.5985
3665,2.1980
3688,-1.1008
3725,-4.5032
3757,0.2968
3782,0.2975
3808,1.3979
3843,-2.2035
3869,1.3974
3885,6.2999
3905,0.7990
3935,-0.2030
3944,0.9991
3968,1.6981
3995,0.7988
4020,1.4980
4050,1.0970
4079,0.5976
4103,-0.2019
4135,-3.5032
4164,-1.3029
4197,-1.8033
4219,1.7978
4248,-1.0029
4279,-3.6011
4299,2.2990
4331,-2.5017
4359,0.5982
4381,5.3978
4402,2.4979
4425,1.3987
4447,2.3978
4473,-1.7011
4494,3.0984
4523,-2.1029
4554,-0.1031
4577,3.1977
4590,1.5987
4616,-0.1026
4630,5.2986
4650,2.6980
4674,1.8976
4701,0.2973
4726,3.2975
4751,0.4975
4772,1.3979
4796,2.4976
4818,1.9978
4835,3.3988
4857,2.5978
4887,-1.4030
4909,-0.0022
4934,1.4985
4963,-0.5019
4979,-1.6016
5004,1.2975
5021,-1.3007
5045,0.2986
5069,1.7976
5092,0.6977
5119,2.0973
5131,-0.6002
5158,0.8983
5185,0.0983
5214,0.5986
5241,2.4973
5268,-0.5012
5294,2.4974
5322,0.9972
5344,4.4983
5371,0.3973
5404,-1.3033
5431,0.6973
5454,-1.1018
5488,0.4966
5516,0.5982
5550,-2.7034
5580,-0.3030
5600,0.3985
5629,0.5971
5660,-1.9031
5689,1.3971
5715,-0.0026
5741,1.1974
5771,-2.2025
5794,2.4987
5817,2.8977
5844,0.3973
5864,3.5985
5889,2.2975
5909,2.4980
5912,0.0997
5937,1.6975
5964,-0.1027
5994,0.0970
6026,-1.1032
6056,0.5970
6082,-1.5026
6093,-0.5011
6118,1.3975
6143,2.2975
6166,4.0977
6190,0.8981
6214,0.0991
6235,4.1979
6262,1.8973
6289,-1.1012
6301,-0.3002
6321,2.1980
6354,-0.5028
6373,1.8991
6384,-0.5011
6413,1.2971
6438,1.6975
6464,0.2979
6487,1.5982
6512,-0.9015
6543,-1.6021
6564,5.8979
6588,-0.1019
6610,3.5988
6643,-0.8013
6665,2.1978
6682,5.7983
6710,-0.9028
6742,-0.0022
6770,-0.7018
6801,-1.5016
6828,-0.4027
6854,-0.9011
6882,1.8972
6899,5.5983
6915,2.7994
6948,-0.4033
6969,3.3994
7000,-1.8031
7021,4.0979
7043,3.2978
7071,0.1987
7099,0.5972
7122,1.7997
7147,3.6975
7164,-2.8017
7188,0.5976
7211,1.2987
7238,1.1973
7272,1.5966
7295,0.7982
7321,1.9984
7347,2.0989
7375,-0.5028
7401,2.2974
7426,-1.6015
7442,3.9999
7468,-0.1026
7501,-0.5028
7522,3.0989
7528,1.2994
7530,0.7998
7561,-0.6016
7595,0.3971
7626,-0.7031
7652,0.9984
7667,-1.7015
7702,-1.5030
7733,-1.5031
7754,2.8989
7776,5.3993
7792,4.9989
7813,5.0979
7844,-0.7026
7847,-0.6003
7882,-3.9030
7913,2.7969
7939,3.2989
7968,-1.9029
7997,1.7986
8013,3.5989
8033,2.9985
8062,0.2971
8090,-1.6028
8108,2.2997
8137,1.0971
8160,1.4982
8180,4.1990
8196,6.9984
8230,-1.1019
8252,1.4983
8279,-0.2027
8297,3.8982
8319,2.8988
8335,2.3984
8358,0.7977
8382,3.1976
8409,0.2998
8428,2.5981
8457,-1.4029
8483,1.1004
8505,5.5978
8521,5.1994
8555,0.0966
8580,-0.0025
8600,2.0980
8625,3.2975
8645,0.3990
8670,4.5975
8694,-0.8024
8717,1.2987
8737,2.8985
8760,0.7997
8786,-0.9001
8808,1.6988
8826,5.9982
8849,4.5987
8870,2.7979
8895,1.1975
8901,0.7994
8930,-2.1009
8958,-0.8018
8984,0.2984
9007,-0.2018
9029,0.6013
9057,-2.5028
9083,0.9989
9117,1.5971
9142,2.7975
9163,0.9989
9169,0.2994
9193,0.9981
9219,2.3989
9236,3.0998
9263,0.4988
9278,3.9985
9303,2.4985
9330,0.7993
9357,1.8978
9379,0.1983
9403,4.4981
9429,1.6974
9446,3.4013
9470,1.2981
9502,-0.7022
9535,-0.6013
9549,3.9996
9575,0.0989
9598,0.9977
9614,5.3984
9645,-2.8016
9659,4.6991
9684,0.1980
9710,1.6984
9728,2.2997
9738,-1.8010
9751,1.9022
9770,1.5996
9798,-0.3008
9815,3.7993
9838,0.4997
9856,2.4002
9881,1.2975
9901,4.0990
9920,0.7991
9941,3.7989
9960,2.5991
9988,-0.8018
10011,2.3977
10037,0.6974
10060,-0.0003
10080,4.6985
10108,1.2972
10132,3.0976
10146,5.0986
10168,2.1988
10187,2.0991
10190,-0.6003
10209,4.0991
10238,0.2981
10251,0.1987
10277,0.5979
10302,3.9980
10327,0.0980
10347,4.4980
10366,2.3991
10384,4.5982
10407,1.5982
10418,5.4999
10437,2.3991
10464,-0.3022
10492,-0.4028
10510,2.0997
10537,-1.4022
10567,-1.5030
10592,1.0995
10609,2.5003
10632,0.4997
10653,3.7999
10676,3.0987
10703,1.6973
10720,5.2988
10745,0.7975
10760,5.2985
10776,3.2989
10806,-1.7015
10829,1.7002
10855,0.0984
10873,3.3987
10902,-0.9014
10917,3.8010
10937,2.5980
10954,1.5003
10975,2.6979
10992,3.8993
11009,5.8983
11030,4.2989
11052,1.6998
11078,2.3979
11081,-0.6003
11110,-0.1024
11138,-0.3028
11160,2.8978
11182,-0.0012
11206,1.0976
11208,0.2998
11232,-0.6999
11250,3.3002
11268,1.8997
11301,-0.1033
11325,2.1976
11346,3.3979
11370,1.3976
11399,-0.1019
11415,4.1999
11432,4.6993
11448,5.5994
11463,2.1010
11486,1.2987
11507,2.2984
11532,-0.5005
11557,-0.0000
11580,2.3992
11608,-1.2028
11634,3.1979
11659,2.4980
11679,2.8990
11701,1.4988
11723,3.7988
11740,4.1998
11768,-0.7018
11788,0.2000
11806,2.0007
11835,-0.1014
11848,3.2022
11853,0.8995
11879,-0.8011
11900,5.0989
11917,1.3993
11938,1.3994
11955,5.7983
11980,1.8985
12000,2.7995
12024,2.8981
12046,2.3988
12051,-0.0995
12070,2.7001
12088,1.3007
12108,1.7000
12126,3.9002
12143,3.6983
12165,2.2978
12190,0.5990
12208,3.7982
12228,2.1995
12256,0.2982
12282,-0.5016
12306,0.8006
12322,4.2994
12343,3.3984
12362,2.0991
12380,4.7982
12406,0.5979
12416,5.6000
12435,4.3006
12466,0.3979
12495,-0.9029
12516,5.1984
12547,2.0984
12558,5.1994
12576,3.6002
12598,3.1983
12610,0.2988
12631,0.3984
12660,-0.1019
12675,4.1000
12702,2.0973
12720,4.6982
12742,3.0998
12763,1.4989
12783,4.5980
12800,3.8003
12815,3.9015
12842,2.8973
12870,-0.1993
12884,5.0001
12904,1.2000
12922,2.7007
12947,1.1990
12969,0.8993
12995,1.0994
13011,4.7014
13027,4.8004
13051,1.6981
13076,2.0995
13092,1.9014
13095,0.0997
13111,3.7994
13138,1.1973
13162,-1.2004
13179,5.5983
13202,2.2987
13219,5.4003
13241,1.6978
13271,2.7970
13295,-0.3004
13315,3.0010
13335,1.9995
13359,0.7986
13380,3.5979
13413,-1.8028
13430,5.3983
13461,-0.7026
13476,5.4005
13501,-0.2015
13524,1.0992
13543,2.4996
13561,3.8002
13583,0.0983
13599,3.5994
13621,0.3003
13640,3.0001
13660,2.2000
13684,0.1006
13698,5.0996
13724,0.1979
13745,2.8999
13771,-0.5991
13797,0.0974
13822,1.7980
13844,1.2988
13862,3.5002
13884,2.5983
13902,4.4992
13926,0.8981
13954,2.5972
13974,3.0990
13996,2.4993
14020,1.7986
14057,-1.9032
14077,1.6000
14095,1.6002
14117,-0.1022
14139,4.8978
14147,-0.8008
14171,1.0991
14189,2.5982
14220,-0.8026
14233,4.6987
14255,0.9993
14277,0.6993
14295,3.8987
14313,4.6982
14338,-0.3015
14363,0.3975
14380,3.2993
14410,-1.3020
14430,2.0000
14447,6.1983
14466,2.2996
14484,2.5992
14489,-0.3005
14507,1.8982
14524,4.8993
14543,5.4991
14563,2.1000
14585,0.4003
14606,1.7979
14630,1.5981
14655,-0.0015
14682,-0.4022
14707,1.1985
14728,4.1989
14748,2.0990
14774,-0.5011
14793,2.5996
14823,0.0990
14839,-1.8016
14857,1.5992
14877,1.4005
14901,1.8981
14927,3.0974
14942,4.8990
14966,2.7991
14988,-0.2012
15007,2.4011
15029,1.1983
15049,4.2995
15066,3.5998
15088,3.2978
15120,0.0978
15139,1.1016
15161,-0.3992
15177,4.9989
15199,1.7988
15223,-0.0014
15242,3.3991
15260,3.6982
15281,4.5979
15300,4.4001
15320,2.3985
15335,1.9020
15369,-1.4029
15388,4.4986
15408,4.2980
15419,-1.4011
