
Training on cuda | logs -> training_logs/run_seed41_config1_fresh_20260526_220113
Config: ..\..\configs\config1.yaml
Episodes: 0 -> ...
Steps: 0 -> 150000

Episode     0 | Steps:      42 | Reward:  -3.704 | Avg(100):  -3.704 | Entropy: 0.1000 | Acc: 9.3% (4+ 39-) | Lifetime: 9.3%
Episode     1 | Steps:      65 | Reward:   2.698 | Avg(100):  -0.503 | Entropy: 0.1000 | Acc: 30.4% (7+ 16-) | Lifetime: 16.7%
Episode     2 | Steps:     109 | Reward:  -3.204 | Avg(100):  -1.403 | Entropy: 0.1000 | Acc: 11.6% (5+ 38-) | Lifetime: 14.7%
Episode     3 | Steps:     136 | Reward:   0.497 | Avg(100):  -0.928 | Entropy: 0.1000 | Acc: 25.9% (7+ 20-) | Lifetime: 16.9%
Episode     4 | Steps:     166 | Reward:   0.199 | Avg(100):  -0.703 | Entropy: 0.1000 | Acc: 24.1% (7+ 22-) | Lifetime: 18.2%
Episode     5 | Steps:     183 | Reward:   3.600 | Avg(100):   0.015 | Entropy: 0.1000 | Acc: 47.1% (8+ 9-) | Lifetime: 20.9%
Episode     6 | Steps:     238 | Reward:  -4.304 | Avg(100):  -0.602 | Entropy: 0.1000 | Acc: 9.1% (5+ 50-) | Lifetime: 18.1%
Episode     7 | Steps:     261 | Reward:   0.399 | Avg(100):  -0.477 | Entropy: 0.0999 | Acc: 26.1% (6+ 17-) | Lifetime: 18.8%
Episode     8 | Steps:     288 | Reward:   1.098 | Avg(100):  -0.302 | Entropy: 0.0999 | Acc: 25.9% (7+ 20-) | Lifetime: 19.5%
Episode     9 | Steps:     295 | Reward:  -0.701 | Avg(100):  -0.342 | Entropy: 0.0999 | Acc: 14.3% (1+ 6-) | Lifetime: 19.4%
Episode    10 | Steps:     318 | Reward:   2.200 | Avg(100):  -0.111 | Entropy: 0.0999 | Acc: 34.8% (8+ 15-) | Lifetime: 20.5%
Episode    11 | Steps:     342 | Reward:   0.499 | Avg(100):  -0.060 | Entropy: 0.0999 | Acc: 25.0% (6+ 18-) | Lifetime: 20.8%
Episode    12 | Steps:     370 | Reward:   1.199 | Avg(100):   0.037 | Entropy: 0.0999 | Acc: 25.0% (7+ 21-) | Lifetime: 21.1%
Episode    13 | Steps:     397 | Reward:   1.898 | Avg(100):   0.170 | Entropy: 0.0999 | Acc: 26.9% (7+ 19-) | Lifetime: 21.5%
Episode    14 | Steps:     428 | Reward:  -1.401 | Avg(100):   0.065 | Entropy: 0.0999 | Acc: 19.4% (6+ 25-) | Lifetime: 21.4%
Episode    15 | Steps:     465 | Reward:  -3.302 | Avg(100):  -0.145 | Entropy: 0.0999 | Acc: 13.9% (5+ 31-) | Lifetime: 20.8%
Episode    16 | Steps:     488 | Reward:  -0.301 | Avg(100):  -0.155 | Entropy: 0.0999 | Acc: 21.7% (5+ 18-) | Lifetime: 20.8%
  [Step 500] Action dist: A0:23% | A1:21% | A2:12% | A3:25% | A4:18%
Episode    17 | Steps:     534 | Reward:  -3.804 | Avg(100):  -0.357 | Entropy: 0.0997 | Acc: 13.0% (6+ 40-) | Lifetime: 20.2%
Episode    18 | Steps:     562 | Reward:   0.298 | Avg(100):  -0.323 | Entropy: 0.0997 | Acc: 21.4% (6+ 22-) | Lifetime: 20.2%
Episode    19 | Steps:     590 | Reward:   2.598 | Avg(100):  -0.177 | Entropy: 0.0997 | Acc: 28.6% (8+ 20-) | Lifetime: 20.6%
Episode    20 | Steps:     601 | Reward:   0.399 | Avg(100):  -0.149 | Entropy: 0.0997 | Acc: 27.3% (3+ 8-) | Lifetime: 20.7%
Episode    21 | Steps:     641 | Reward:  -3.203 | Avg(100):  -0.288 | Entropy: 0.0997 | Acc: 12.5% (5+ 35-) | Lifetime: 20.2%
Episode    22 | Steps:     681 | Reward:  -4.501 | Avg(100):  -0.471 | Entropy: 0.0997 | Acc: 12.5% (5+ 35-) | Lifetime: 19.8%
Episode    23 | Steps:     719 | Reward:  -1.602 | Avg(100):  -0.518 | Entropy: 0.0997 | Acc: 15.8% (6+ 32-) | Lifetime: 19.6%
Episode    24 | Steps:     752 | Reward:  -0.502 | Avg(100):  -0.518 | Entropy: 0.0997 | Acc: 15.6% (5+ 27-) | Lifetime: 19.4%
Episode    25 | Steps:     785 | Reward:  -0.903 | Avg(100):  -0.533 | Entropy: 0.0996 | Acc: 12.1% (4+ 29-) | Lifetime: 19.1%
Episode    26 | Steps:     809 | Reward:   2.698 | Avg(100):  -0.413 | Entropy: 0.0996 | Acc: 29.2% (7+ 17-) | Lifetime: 19.4%
Episode    27 | Steps:     826 | Reward:   2.002 | Avg(100):  -0.327 | Entropy: 0.0996 | Acc: 47.1% (8+ 9-) | Lifetime: 20.0%
Episode    28 | Steps:     842 | Reward:  -1.201 | Avg(100):  -0.357 | Entropy: 0.0996 | Acc: 18.8% (3+ 13-) | Lifetime: 19.9%
Episode    29 | Steps:     874 | Reward:  -2.201 | Avg(100):  -0.418 | Entropy: 0.0996 | Acc: 12.9% (4+ 27-) | Lifetime: 19.7%
Episode    30 | Steps:     898 | Reward:   0.999 | Avg(100):  -0.373 | Entropy: 0.0996 | Acc: 29.2% (7+ 17-) | Lifetime: 19.9%
