
Training on cuda | logs -> training_logs/run_seed43_config10 (3)_resumed_20260522_214033
Config: ..\..\configs\config10 (3).yaml
Episodes: 0 -> ...
Steps: 0 -> 150000

No accuracy CSV at training_logs/run_seed41_config3_fresh_20260522_170933/accuracy_final.csv — starting fresh.
Episode    36 | Steps:    1266 | Reward:   4.001 | Avg(100):  -0.610 | Entropy: 0.0995 | Acc: 60.0% (9+ 6-) | Lifetime: 21.0%
Episode    37 | Steps:    1293 | Reward:   2.297 | Avg(100):  -0.533 | Entropy: 0.0993 | Acc: 33.3% (9+ 18-) | Lifetime: 21.3%
Episode    38 | Steps:    1328 | Reward:   0.497 | Avg(100):  -0.507 | Entropy: 0.0993 | Acc: 20.0% (7+ 28-) | Lifetime: 21.2%
Episode    39 | Steps:    1369 | Reward:  -4.004 | Avg(100):  -0.594 | Entropy: 0.0993 | Acc: 9.8% (4+ 37-) | Lifetime: 20.9%
Episode    40 | Steps:    1413 | Reward:  -4.402 | Avg(100):  -0.687 | Entropy: 0.0993 | Acc: 13.6% (6+ 38-) | Lifetime: 20.7%
Episode    41 | Steps:    1445 | Reward:   0.997 | Avg(100):  -0.647 | Entropy: 0.0993 | Acc: 21.9% (7+ 25-) | Lifetime: 20.7%
Episode    42 | Steps:    1495 | Reward:  -3.004 | Avg(100):  -0.702 | Entropy: 0.0993 | Acc: 16.0% (8+ 42-) | Lifetime: 20.5%
  [Step 1500] Action dist: A0:22% | A1:19% | A2:18% | A3:17% | A4:24%
Episode    43 | Steps:    1533 | Reward:   0.196 | Avg(100):  -0.682 | Entropy: 0.0993 | Acc: 18.4% (7+ 31-) | Lifetime: 20.5%
Episode    44 | Steps:    1567 | Reward:  -2.002 | Avg(100):  -0.711 | Entropy: 0.0992 | Acc: 11.8% (4+ 30-) | Lifetime: 20.3%
Episode    45 | Steps:    1608 | Reward:  -1.904 | Avg(100):  -0.737 | Entropy: 0.0992 | Acc: 14.6% (6+ 35-) | Lifetime: 20.1%
Episode    46 | Steps:    1649 | Reward:  -1.603 | Avg(100):  -0.755 | Entropy: 0.0992 | Acc: 19.5% (8+ 33-) | Lifetime: 20.1%
Episode    47 | Steps:    1693 | Reward:  -4.401 | Avg(100):  -0.831 | Entropy: 0.0992 | Acc: 18.2% (8+ 36-) | Lifetime: 20.1%
Episode    48 | Steps:    1725 | Reward:  -1.800 | Avg(100):  -0.851 | Entropy: 0.0992 | Acc: 21.9% (7+ 25-) | Lifetime: 20.1%
Episode    49 | Steps:    1749 | Reward:  -0.199 | Avg(100):  -0.838 | Entropy: 0.0992 | Acc: 29.2% (7+ 17-) | Lifetime: 20.2%
Episode    50 | Steps:    1780 | Reward:  -0.603 | Avg(100):  -0.833 | Entropy: 0.0992 | Acc: 19.4% (6+ 25-) | Lifetime: 20.2%
Episode    51 | Steps:    1813 | Reward:  -2.401 | Avg(100):  -0.863 | Entropy: 0.0990 | Acc: 15.2% (5+ 28-) | Lifetime: 20.1%
Episode    52 | Steps:    1846 | Reward:  -0.701 | Avg(100):  -0.860 | Entropy: 0.0990 | Acc: 24.2% (8+ 25-) | Lifetime: 20.2%
Episode    53 | Steps:    1883 | Reward:  -0.703 | Avg(100):  -0.858 | Entropy: 0.0990 | Acc: 21.6% (8+ 29-) | Lifetime: 20.2%
Episode    54 | Steps:    1924 | Reward:  -1.102 | Avg(100):  -0.862 | Entropy: 0.0990 | Acc: 17.1% (7+ 34-) | Lifetime: 20.2%
Episode    55 | Steps:    1953 | Reward:   1.198 | Avg(100):  -0.825 | Entropy: 0.0990 | Acc: 20.7% (6+ 23-) | Lifetime: 20.2%
  [Step 2000] Action dist: A0:21% | A1:13% | A2:19% | A3:19% | A4:29%
Episode    56 | Steps:    2001 | Reward:  -4.204 | Avg(100):  -0.884 | Entropy: 0.0990 | Acc: 6.2% (3+ 45-) | Lifetime: 19.8%
