
Training on cuda | logs -> training_logs/run_seed43_config7 (3)_fresh_20260527_035535
Config: ..\..\configs\config7 (3).yaml
Episodes: 0 -> ...
Steps: 0 -> 150000

Episode     0 | Steps:      32 | Reward:  -2.003 | Avg(100):  -2.003 | Entropy: 0.0500 | Acc: 12.1% (4+ 29-) | Lifetime: 12.1%
Episode     1 | Steps:      54 | Reward:  -0.200 | Avg(100):  -1.102 | Entropy: 0.0500 | Acc: 31.8% (7+ 15-) | Lifetime: 20.0%
Episode     2 | Steps:      96 | Reward:  -3.103 | Avg(100):  -1.769 | Entropy: 0.0500 | Acc: 14.3% (6+ 36-) | Lifetime: 17.5%
Episode     3 | Steps:     138 | Reward:  -3.603 | Avg(100):  -2.227 | Entropy: 0.0500 | Acc: 14.3% (6+ 36-) | Lifetime: 16.5%
Episode     4 | Steps:     174 | Reward:  -2.902 | Avg(100):  -2.362 | Entropy: 0.0500 | Acc: 13.9% (5+ 31-) | Lifetime: 16.0%
Episode     5 | Steps:     200 | Reward:  -0.302 | Avg(100):  -2.019 | Entropy: 0.0500 | Acc: 19.2% (5+ 21-) | Lifetime: 16.4%
Episode     6 | Steps:     224 | Reward:  -0.402 | Avg(100):  -1.788 | Entropy: 0.0500 | Acc: 16.7% (4+ 20-) | Lifetime: 16.4%
Episode     7 | Steps:     261 | Reward:  -0.101 | Avg(100):  -1.577 | Entropy: 0.0499 | Acc: 24.3% (9+ 28-) | Lifetime: 17.6%
Episode     8 | Steps:     287 | Reward:   0.698 | Avg(100):  -1.324 | Entropy: 0.0499 | Acc: 23.1% (6+ 20-) | Lifetime: 18.1%
Episode     9 | Steps:     315 | Reward:   0.899 | Avg(100):  -1.102 | Entropy: 0.0499 | Acc: 28.6% (8+ 20-) | Lifetime: 19.0%
Episode    10 | Steps:     348 | Reward:   0.597 | Avg(100):  -0.947 | Entropy: 0.0499 | Acc: 27.3% (9+ 24-) | Lifetime: 19.8%
Episode    11 | Steps:     379 | Reward:  -0.701 | Avg(100):  -0.927 | Entropy: 0.0499 | Acc: 22.6% (7+ 24-) | Lifetime: 20.0%
Episode    12 | Steps:     405 | Reward:   0.497 | Avg(100):  -0.817 | Entropy: 0.0499 | Acc: 23.1% (6+ 20-) | Lifetime: 20.2%
Episode    13 | Steps:     456 | Reward:  -4.604 | Avg(100):  -1.088 | Entropy: 0.0499 | Acc: 8.0% (4+ 46-) | Lifetime: 18.9%
Episode    14 | Steps:     472 | Reward:  -0.302 | Avg(100):  -1.035 | Entropy: 0.0499 | Acc: 18.8% (3+ 13-) | Lifetime: 18.9%
Episode    15 | Steps:     475 | Reward:   0.100 | Avg(100):  -0.964 | Entropy: 0.0499 | Acc: 33.3% (1+ 2-) | Lifetime: 18.9%
  [Step 500] Action dist: A0:28% | A1:17% | A2:15% | A3:18% | A4:22%
Episode    16 | Steps:     523 | Reward:  -1.703 | Avg(100):  -1.008 | Entropy: 0.0498 | Acc: 14.6% (7+ 41-) | Lifetime: 18.5%
Episode    17 | Steps:     545 | Reward:   0.198 | Avg(100):  -0.941 | Entropy: 0.0498 | Acc: 18.2% (4+ 18-) | Lifetime: 18.5%
Episode    18 | Steps:     588 | Reward:  -3.203 | Avg(100):  -1.060 | Entropy: 0.0498 | Acc: 14.0% (6+ 37-) | Lifetime: 18.2%
Episode    19 | Steps:     631 | Reward:  -0.804 | Avg(100):  -1.047 | Entropy: 0.0498 | Acc: 14.3% (6+ 36-) | Lifetime: 17.9%
Episode    20 | Steps:     648 | Reward:   2.499 | Avg(100):  -0.878 | Entropy: 0.0498 | Acc: 35.3% (6+ 11-) | Lifetime: 18.4%
