
Training on cuda | logs -> training_logs/run_seed43_config10 (3)_fresh_20260526_220124
Config: ..\..\configs\config10 (3).yaml
Episodes: 0 -> ...
Steps: 0 -> 150000

Episode     0 | Steps:      32 | Reward:  -2.003 | Avg(100):  -2.003 | Entropy: 0.1000 | Acc: 12.1% (4+ 29-) | Lifetime: 12.1%
Episode     1 | Steps:      54 | Reward:  -0.200 | Avg(100):  -1.102 | Entropy: 0.1000 | Acc: 31.8% (7+ 15-) | Lifetime: 20.0%
Episode     2 | Steps:      96 | Reward:  -3.103 | Avg(100):  -1.769 | Entropy: 0.1000 | Acc: 14.3% (6+ 36-) | Lifetime: 17.5%
Episode     3 | Steps:     138 | Reward:  -3.603 | Avg(100):  -2.227 | Entropy: 0.1000 | Acc: 14.3% (6+ 36-) | Lifetime: 16.5%
Episode     4 | Steps:     174 | Reward:  -2.902 | Avg(100):  -2.362 | Entropy: 0.1000 | Acc: 13.9% (5+ 31-) | Lifetime: 16.0%
Episode     5 | Steps:     200 | Reward:  -0.302 | Avg(100):  -2.019 | Entropy: 0.1000 | Acc: 19.2% (5+ 21-) | Lifetime: 16.4%
Episode     6 | Steps:     224 | Reward:  -0.402 | Avg(100):  -1.788 | Entropy: 0.1000 | Acc: 16.7% (4+ 20-) | Lifetime: 16.4%
Episode     7 | Steps:     261 | Reward:  -0.101 | Avg(100):  -1.577 | Entropy: 0.0999 | Acc: 24.3% (9+ 28-) | Lifetime: 17.6%
Episode     8 | Steps:     291 | Reward:   1.197 | Avg(100):  -1.269 | Entropy: 0.0999 | Acc: 20.0% (6+ 24-) | Lifetime: 17.8%
Episode     9 | Steps:     328 | Reward:  -0.401 | Avg(100):  -1.182 | Entropy: 0.0999 | Acc: 24.3% (9+ 28-) | Lifetime: 18.5%
Episode    10 | Steps:     348 | Reward:   4.598 | Avg(100):  -0.656 | Entropy: 0.0999 | Acc: 45.0% (9+ 11-) | Lifetime: 20.1%
Episode    11 | Steps:     379 | Reward:  -0.701 | Avg(100):  -0.660 | Entropy: 0.0999 | Acc: 22.6% (7+ 24-) | Lifetime: 20.3%
Episode    12 | Steps:     405 | Reward:   0.497 | Avg(100):  -0.571 | Entropy: 0.0999 | Acc: 23.1% (6+ 20-) | Lifetime: 20.4%
Episode    13 | Steps:     436 | Reward:  -3.003 | Avg(100):  -0.745 | Entropy: 0.0999 | Acc: 6.5% (2+ 29-) | Lifetime: 19.5%
Episode    14 | Steps:     445 | Reward:   0.199 | Avg(100):  -0.682 | Entropy: 0.0999 | Acc: 22.2% (2+ 7-) | Lifetime: 19.5%
Episode    15 | Steps:     470 | Reward:  -1.801 | Avg(100):  -0.752 | Entropy: 0.0999 | Acc: 20.0% (5+ 20-) | Lifetime: 19.5%
Episode    16 | Steps:     477 | Reward:  -0.101 | Avg(100):  -0.714 | Entropy: 0.0999 | Acc: 14.3% (1+ 6-) | Lifetime: 19.5%
  [Step 500] Action dist: A0:27% | A1:17% | A2:16% | A3:17% | A4:22%
Episode    17 | Steps:     513 | Reward:   0.198 | Avg(100):  -0.663 | Entropy: 0.0997 | Acc: 22.2% (8+ 28-) | Lifetime: 19.6%
Episode    18 | Steps:     539 | Reward:   2.498 | Avg(100):  -0.497 | Entropy: 0.0997 | Acc: 30.8% (8+ 18-) | Lifetime: 20.2%
Episode    19 | Steps:     574 | Reward:  -0.602 | Avg(100):  -0.502 | Entropy: 0.0997 | Acc: 22.9% (8+ 27-) | Lifetime: 20.3%
Episode    20 | Steps:     582 | Reward:  -0.500 | Avg(100):  -0.502 | Entropy: 0.0997 | Acc: 25.0% (2+ 6-) | Lifetime: 20.4%
Episode    21 | Steps:     599 | Reward:  -2.101 | Avg(100):  -0.574 | Entropy: 0.0997 | Acc: 5.9% (1+ 16-) | Lifetime: 20.0%
Episode    22 | Steps:     635 | Reward:  -4.604 | Avg(100):  -0.750 | Entropy: 0.0997 | Acc: 0.0% (0+ 36-) | Lifetime: 18.9%
Episode    23 | Steps:     657 | Reward:   2.299 | Avg(100):  -0.623 | Entropy: 0.0997 | Acc: 36.4% (8+ 14-) | Lifetime: 19.5%
Episode    24 | Steps:     693 | Reward:  -2.004 | Avg(100):  -0.678 | Entropy: 0.0997 | Acc: 11.1% (4+ 32-) | Lifetime: 19.0%
Episode    25 | Steps:     727 | Reward:   1.799 | Avg(100):  -0.583 | Entropy: 0.0997 | Acc: 26.5% (9+ 25-) | Lifetime: 19.4%
Episode    26 | Steps:     761 | Reward:   2.097 | Avg(100):  -0.483 | Entropy: 0.0997 | Acc: 23.5% (8+ 26-) | Lifetime: 19.6%
Episode    27 | Steps:     792 | Reward:   0.698 | Avg(100):  -0.441 | Entropy: 0.0996 | Acc: 25.8% (8+ 23-) | Lifetime: 19.8%
Episode    28 | Steps:     828 | Reward:  -2.203 | Avg(100):  -0.502 | Entropy: 0.0996 | Acc: 14.3% (5+ 30-) | Lifetime: 19.6%
Episode    29 | Steps:     863 | Reward:  -1.202 | Avg(100):  -0.525 | Entropy: 0.0996 | Acc: 22.9% (8+ 27-) | Lifetime: 19.7%
Episode    30 | Steps:     897 | Reward:  -2.302 | Avg(100):  -0.583 | Entropy: 0.0996 | Acc: 9.1% (3+ 30-) | Lifetime: 19.3%
Episode    31 | Steps:     916 | Reward:  -1.002 | Avg(100):  -0.596 | Entropy: 0.0996 | Acc: 11.1% (2+ 16-) | Lifetime: 19.1%
Episode    32 | Steps:     952 | Reward:  -2.104 | Avg(100):  -0.641 | Entropy: 0.0996 | Acc: 13.9% (5+ 31-) | Lifetime: 18.9%
Episode    33 | Steps:     985 | Reward:  -0.703 | Avg(100):  -0.643 | Entropy: 0.0996 | Acc: 18.2% (6+ 27-) | Lifetime: 18.9%
  [Step 1000] Action dist: A0:23% | A1:18% | A2:18% | A3:19% | A4:22%
Episode    34 | Steps:    1012 | Reward:   0.998 | Avg(100):  -0.596 | Entropy: 0.0996 | Acc: 25.9% (7+ 20-) | Lifetime: 19.1%
Episode    35 | Steps:    1020 | Reward:  -1.601 | Avg(100):  -0.624 | Entropy: 0.0996 | Acc: 0.0% (0+ 8-) | Lifetime: 19.0%
Episode    36 | Steps:    1054 | Reward:  -2.302 | Avg(100):  -0.670 | Entropy: 0.0995 | Acc: 11.8% (4+ 30-) | Lifetime: 18.7%
Episode    37 | Steps:    1087 | Reward:  -1.502 | Avg(100):  -0.691 | Entropy: 0.0995 | Acc: 21.2% (7+ 26-) | Lifetime: 18.8%
Episode    38 | Steps:    1104 | Reward:  -0.301 | Avg(100):  -0.681 | Entropy: 0.0995 | Acc: 17.6% (3+ 14-) | Lifetime: 18.8%
Episode    39 | Steps:    1132 | Reward:   2.197 | Avg(100):  -0.609 | Entropy: 0.0995 | Acc: 25.0% (7+ 21-) | Lifetime: 18.9%
Episode    40 | Steps:    1156 | Reward:  -0.002 | Avg(100):  -0.595 | Entropy: 0.0995 | Acc: 25.0% (6+ 18-) | Lifetime: 19.1%
Episode    41 | Steps:    1174 | Reward:   3.598 | Avg(100):  -0.495 | Entropy: 0.0995 | Acc: 38.9% (7+ 11-) | Lifetime: 19.4%
Episode    42 | Steps:    1201 | Reward:   2.199 | Avg(100):  -0.432 | Entropy: 0.0995 | Acc: 30.8% (8+ 18-) | Lifetime: 19.6%
Episode    43 | Steps:    1223 | Reward:   3.398 | Avg(100):  -0.345 | Entropy: 0.0995 | Acc: 40.9% (9+ 13-) | Lifetime: 20.0%
Episode    44 | Steps:    1249 | Reward:  -0.102 | Avg(100):  -0.340 | Entropy: 0.0995 | Acc: 19.2% (5+ 21-) | Lifetime: 20.0%
Episode    45 | Steps:    1291 | Reward:  -2.304 | Avg(100):  -0.382 | Entropy: 0.0993 | Acc: 11.9% (5+ 37-) | Lifetime: 19.7%
Episode    46 | Steps:    1322 | Reward:   0.897 | Avg(100):  -0.355 | Entropy: 0.0993 | Acc: 20.0% (6+ 24-) | Lifetime: 19.7%
Episode    47 | Steps:    1351 | Reward:   0.597 | Avg(100):  -0.335 | Entropy: 0.0993 | Acc: 20.7% (6+ 23-) | Lifetime: 19.7%
Episode    48 | Steps:    1363 | Reward:  -1.201 | Avg(100):  -0.353 | Entropy: 0.0993 | Acc: 8.3% (1+ 11-) | Lifetime: 19.6%
Episode    49 | Steps:    1394 | Reward:   0.398 | Avg(100):  -0.338 | Entropy: 0.0993 | Acc: 22.6% (7+ 24-) | Lifetime: 19.7%
Episode    50 | Steps:    1416 | Reward:  -0.601 | Avg(100):  -0.343 | Entropy: 0.0993 | Acc: 22.7% (5+ 17-) | Lifetime: 19.8%
Episode    51 | Steps:    1442 | Reward:  -1.402 | Avg(100):  -0.364 | Entropy: 0.0993 | Acc: 19.2% (5+ 21-) | Lifetime: 19.7%
Episode    52 | Steps:    1498 | Reward:  -5.404 | Avg(100):  -0.459 | Entropy: 0.0993 | Acc: 7.1% (4+ 52-) | Lifetime: 19.3%
  [Step 1500] Action dist: A0:20% | A1:17% | A2:20% | A3:21% | A4:23%
Episode    53 | Steps:    1525 | Reward:  -0.101 | Avg(100):  -0.452 | Entropy: 0.0993 | Acc: 23.1% (6+ 20-) | Lifetime: 19.3%
Episode    54 | Steps:    1561 | Reward:  -2.304 | Avg(100):  -0.486 | Entropy: 0.0992 | Acc: 11.1% (4+ 32-) | Lifetime: 19.2%
Episode    55 | Steps:    1593 | Reward:   0.998 | Avg(100):  -0.459 | Entropy: 0.0992 | Acc: 22.6% (7+ 24-) | Lifetime: 19.2%
Episode    56 | Steps:    1618 | Reward:   0.699 | Avg(100):  -0.439 | Entropy: 0.0992 | Acc: 28.0% (7+ 18-) | Lifetime: 19.4%
Episode    57 | Steps:    1651 | Reward:  -0.902 | Avg(100):  -0.447 | Entropy: 0.0992 | Acc: 18.2% (6+ 27-) | Lifetime: 19.3%
Episode    58 | Steps:    1673 | Reward:   3.399 | Avg(100):  -0.382 | Entropy: 0.0992 | Acc: 40.9% (9+ 13-) | Lifetime: 19.6%
Episode    59 | Steps:    1700 | Reward:   0.298 | Avg(100):  -0.370 | Entropy: 0.0992 | Acc: 25.9% (7+ 20-) | Lifetime: 19.7%
Episode    60 | Steps:    1735 | Reward:  -2.803 | Avg(100):  -0.410 | Entropy: 0.0992 | Acc: 11.4% (4+ 31-) | Lifetime: 19.5%
Episode    61 | Steps:    1753 | Reward:   0.699 | Avg(100):  -0.392 | Entropy: 0.0992 | Acc: 22.2% (4+ 14-) | Lifetime: 19.6%
Episode    62 | Steps:    1770 | Reward:   1.000 | Avg(100):  -0.370 | Entropy: 0.0992 | Acc: 35.3% (6+ 11-) | Lifetime: 19.7%
Episode    63 | Steps:    1796 | Reward:   2.098 | Avg(100):  -0.332 | Entropy: 0.0990 | Acc: 26.9% (7+ 19-) | Lifetime: 19.8%
Episode    64 | Steps:    1809 | Reward:  -0.401 | Avg(100):  -0.333 | Entropy: 0.0990 | Acc: 15.4% (2+ 11-) | Lifetime: 19.8%
Episode    65 | Steps:    1840 | Reward:  -1.102 | Avg(100):  -0.344 | Entropy: 0.0990 | Acc: 16.1% (5+ 26-) | Lifetime: 19.7%
Episode    66 | Steps:    1868 | Reward:  -0.102 | Avg(100):  -0.341 | Entropy: 0.0990 | Acc: 21.4% (6+ 22-) | Lifetime: 19.8%
Episode    67 | Steps:    1899 | Reward:   0.097 | Avg(100):  -0.334 | Entropy: 0.0990 | Acc: 19.4% (6+ 25-) | Lifetime: 19.8%
Episode    68 | Steps:    1918 | Reward:   2.600 | Avg(100):  -0.292 | Entropy: 0.0990 | Acc: 36.8% (7+ 12-) | Lifetime: 19.9%
