
Training on cuda | logs -> training_logs/run_seed42_config6 (2)_fresh_20260529_234131
Config: ..\..\configs\config6 (2).yaml
Episodes: 0 -> ...
Steps: 0 -> 150000

Episode    37 | Steps:    1174 | Reward:  -0.701 | Avg(100):  -2.191 | Entropy: 0.2983 | Acc: 22.2% (6+ 21-) | Lifetime: 18.7%
Episode    38 | Steps:    1220 | Reward:  -6.203 | Avg(100):  -2.294 | Entropy: 0.2983 | Acc: 10.9% (5+ 41-) | Lifetime: 18.4%
Episode    39 | Steps:    1252 | Reward:   1.197 | Avg(100):  -2.207 | Entropy: 0.2983 | Acc: 25.0% (8+ 24-) | Lifetime: 18.6%
Episode    40 | Steps:    1270 | Reward:   0.599 | Avg(100):  -2.139 | Entropy: 0.2983 | Acc: 33.3% (6+ 12-) | Lifetime: 18.8%
Episode    41 | Steps:    1303 | Reward:  -2.603 | Avg(100):  -2.150 | Entropy: 0.2979 | Acc: 15.2% (5+ 28-) | Lifetime: 18.7%
Episode    42 | Steps:    1334 | Reward:  -2.703 | Avg(100):  -2.163 | Entropy: 0.2979 | Acc: 16.1% (5+ 26-) | Lifetime: 18.6%
Episode    43 | Steps:    1367 | Reward:  -1.603 | Avg(100):  -2.150 | Entropy: 0.2979 | Acc: 15.2% (5+ 28-) | Lifetime: 18.6%
Episode    44 | Steps:    1399 | Reward:  -3.202 | Avg(100):  -2.173 | Entropy: 0.2979 | Acc: 16.1% (5+ 26-) | Lifetime: 18.5%
Episode    45 | Steps:    1420 | Reward:   1.601 | Avg(100):  -2.091 | Entropy: 0.2979 | Acc: 42.9% (9+ 12-) | Lifetime: 18.9%
Episode    46 | Steps:    1431 | Reward:  -0.301 | Avg(100):  -2.053 | Entropy: 0.2979 | Acc: 18.2% (2+ 9-) | Lifetime: 18.9%
Episode    47 | Steps:    1466 | Reward:  -4.003 | Avg(100):  -2.094 | Entropy: 0.2979 | Acc: 11.8% (4+ 30-) | Lifetime: 18.7%
Episode    48 | Steps:    1497 | Reward:  -1.102 | Avg(100):  -2.073 | Entropy: 0.2979 | Acc: 23.3% (7+ 23-) | Lifetime: 18.8%
  [Step 1500] Action dist: A0:21% | A1:18% | A2:27% | A3:11% | A4:23%
Episode    49 | Steps:    1500 | Reward:   0.100 | Avg(100):  -2.030 | Entropy: 0.2979 | Acc: 33.3% (1+ 2-) | Lifetime: 18.8%
Episode    50 | Steps:    1536 | Reward:  -4.002 | Avg(100):  -2.069 | Entropy: 0.2974 | Acc: 16.7% (6+ 30-) | Lifetime: 18.8%
Episode    51 | Steps:    1577 | Reward:  -4.703 | Avg(100):  -2.119 | Entropy: 0.2974 | Acc: 12.2% (5+ 36-) | Lifetime: 18.6%
Episode    52 | Steps:    1592 | Reward:  -1.802 | Avg(100):  -2.113 | Entropy: 0.2974 | Acc: 6.7% (1+ 14-) | Lifetime: 18.5%
Episode    53 | Steps:    1623 | Reward:  -1.802 | Avg(100):  -2.108 | Entropy: 0.2974 | Acc: 22.6% (7+ 24-) | Lifetime: 18.6%
Episode    54 | Steps:    1647 | Reward:   1.599 | Avg(100):  -2.040 | Entropy: 0.2974 | Acc: 29.2% (7+ 17-) | Lifetime: 18.7%
Episode    55 | Steps:    1674 | Reward:  -1.902 | Avg(100):  -2.038 | Entropy: 0.2974 | Acc: 18.5% (5+ 22-) | Lifetime: 18.7%
Episode    56 | Steps:    1695 | Reward:  -1.398 | Avg(100):  -2.026 | Entropy: 0.2974 | Acc: 42.9% (9+ 12-) | Lifetime: 19.0%
Episode    57 | Steps:    1724 | Reward:  -2.302 | Avg(100):  -2.031 | Entropy: 0.2974 | Acc: 17.2% (5+ 24-) | Lifetime: 19.0%
Episode    58 | Steps:    1762 | Reward:  -3.104 | Avg(100):  -2.049 | Entropy: 0.2974 | Acc: 13.2% (5+ 33-) | Lifetime: 18.9%
