Episode,Reward,Cumulative Reward
1,-820.50,-820.50
2,-675.00,-1495.50
3,468.90,-1026.59
4,-316.40,-1342.99
5,-205.00,-1547.99
6,76.80,-1471.19
7,-662.80,-2133.99
8,16.37,-2117.62
9,-490.60,-2608.22
10,516.70,-2091.51
11,86.00,-2005.51
12,-444.30,-2449.81
13,-2074.90,-4524.71
14,-1119.60,-5644.30
15,-263.80,-5908.10
16,182.30,-5725.80
17,361.30,-5364.50
18,-617.00,-5981.50
19,517.20,-5464.29
20,415.50,-5048.79
21,-1184.40,-6233.19
22,450.10,-5783.09
23,284.60,-5498.49
24,595.70,-4902.78
25,751.60,-4151.18
26,-228.30,-4379.48
27,628.50,-3750.98
28,154.60,-3596.38
29,-108.40,-3704.77
30,-1105.40,-4810.17
31,405.60,-4404.57
