Episode,Reward,Cumulative Reward
271,1541.10,32079.99
272,1334.40,33414.39
273,1502.10,34916.49
274,995.10,35911.60
275,1090.00,37001.60
276,882.90,37884.50
277,995.10,38879.60
278,831.90,39711.51
279,492.60,40204.11
280,995.10,41199.21
281,-59.90,41139.31
282,1110.60,42249.91
283,995.10,43245.02
284,995.10,44240.12
285,478.60,44718.72
286,872.50,45591.22
287,-577.00,45014.22
288,-105.50,44908.73
289,856.10,45764.83
290,995.10,46759.93
291,-1175.10,45584.83
292,-1092.90,44491.93
293,-570.40,43921.54
294,-337.40,43584.14
295,1816.40,45400.54
296,383.60,45784.14
297,100.40,45884.55
298,1062.20,46946.75
299,-182.80,46763.95
300,1159.00,47922.95
301,385.80,48308.75
302,126.70,48435.45
303,467.30,48902.75
304,248.70,49151.46
305,805.20,49956.66
306,331.50,50288.16
307,606.70,50894.86
308,995.10,51889.96
309,149.26,52039.23
310,851.50,52890.73
311,924.90,53815.63
312,886.30,54701.93
313,552.50,55254.43
314,987.60,56242.03
315,-763.20,55478.84
316,107.34,55586.17
317,-907.60,54678.57
318,458.50,55137.08
319,203.20,55340.28
320,306.48,55646.76
321,354.58,56001.34
322,-321.30,55680.04
323,1184.36,56864.40
324,951.00,57815.40
325,959.10,58774.51
326,372.20,59146.71
327,271.54,59418.24
328,660.00,60078.25
329,99.44,60177.68
330,809.40,60987.09
331,521.70,61508.79
332,827.90,62336.69
333,980.40,63317.09
334,396.40,63713.49
335,1151.10,64864.59
336,262.70,65127.30
337,360.10,65487.40
338,-569.50,64917.90
339,826.80,65744.70
340,476.60,66221.30
341,703.00,66924.31
342,695.50,67619.81
343,1048.40,68668.21
344,1406.80,70075.01
345,1510.80,71585.81
346,749.70,72335.52
347,797.40,73132.92
348,824.47,73957.39
349,724.69,74682.07
350,550.60,75232.67
351,1864.70,77097.38
352,1223.10,78320.48
353,494.50,78814.98
354,939.10,79754.08
355,967.80,80721.88
356,-268.10,80453.79
357,353.60,80807.39
358,708.40,81515.79
359,778.60,82294.39
360,472.50,82766.90
361,669.60,83436.50
362,552.30,83988.80
363,610.80,84599.60
364,379.73,84979.34
365,184.60,85163.94
366,994.40,86158.34
367,867.20,87025.54
368,-104.30,86921.24
369,-319.00,86602.25
370,1351.90,87954.15
371,1249.60,89203.75
372,585.00,89788.75
373,-55.80,89732.96
374,149.17,89882.13
375,398.26,90280.39
376,1273.00,91553.39
377,705.90,92259.30
378,85.10,92344.40
379,1184.90,93529.30
380,484.70,94014.00
381,1265.44,95279.44
382,-220.50,95058.94
383,1316.80,96375.74
384,743.10,97118.85
385,125.28,97244.12
386,-159.10,97085.03
387,679.30,97764.33
388,117.37,97881.70
389,531.00,98412.71
390,152.90,98565.61
391,387.00,98952.61
392,1138.40,100091.01
393,558.60,100649.61
394,324.70,100974.32
395,959.10,101933.42
396,109.40,102042.82
397,-334.00,101708.82
398,969.10,102677.92
399,734.70,103412.62
400,620.10,104032.72
401,664.70,104697.43
402,525.40,105222.83
403,603.70,105826.53
404,124.69,105951.22
405,818.70,106769.92
406,-391.20,106378.73
407,411.50,106790.23
408,-664.10,106126.13
409,109.35,106235.48
410,281.40,106516.89
411,54.10,106570.99
412,658.90,107229.89
413,-433.22,106796.67
414,-290.90,106505.77
415,317.80,106823.57
416,97.39,106920.97
417,19.41,106940.37
418,-687.50,106252.88
419,-106.00,106146.88
420,117.37,106264.25
421,388.80,106653.05
422,108.30,106761.35
423,-101.90,106659.45
424,-1139.40,105520.05
425,583.50,106103.56
426,-156.40,105947.16
427,-222.30,105724.86
428,369.30,106094.16
429,411.10,106505.26
430,-306.60,106198.66
431,47.20,106245.87
432,-689.30,105556.57
433,971.10,106527.67
434,478.10,107005.77
435,403.50,107409.28
436,109.40,107518.67
437,144.60,107663.28
438,179.34,107842.61
439,663.70,108506.32
440,-1522.90,106983.42
441,105.90,107089.32
442,649.80,107739.12
443,995.10,108734.22
444,-728.80,108005.43
445,99.42,108104.84
446,736.50,108841.35
447,-299.60,108541.75
448,688.70,109230.45
449,186.70,109417.15
450,983.10,110400.25
451,967.10,111367.36
452,326.38,111693.74
453,202.10,111895.84
454,751.10,112646.94
455,521.30,113168.24
456,626.10,113794.34
457,206.40,114000.75
458,589.60,114590.35
459,564.36,115154.71
460,467.00,115621.71
461,-177.20,115444.51
462,-399.30,115045.21
463,869.80,115915.01
464,933.10,116848.12
465,196.80,117044.92
466,-580.90,116464.02
467,53.10,116517.12
468,-541.90,115975.22
469,945.80,116921.03
470,119.32,117040.35
471,-517.30,116523.05
472,109.42,116632.47
473,833.10,117465.57
474,58.70,117524.28
475,-351.30,117172.98
476,-104.10,117068.88
477,143.69,117212.57
478,567.54,117780.11
479,364.10,118144.21
480,480.00,118624.21
481,330.20,118954.41
482,376.10,119330.51
483,600.70,119931.22
484,-927.10,119004.12
485,69.84,119073.96
486,331.70,119405.66
487,133.35,119539.00
488,-134.40,119404.61
489,-97.60,119307.01
490,32.70,119339.71
491,-936.10,118403.61
492,50.40,118454.02
493,103.57,118557.59
494,235.60,118793.19
495,-12.90,118780.29
496,-193.30,118586.99
497,358.90,118945.89
498,228.30,119174.19
499,623.10,119797.30
500,122.78,119920.07
