
Training on cuda | logs -> training_logs/run_seed41_config5_resumed_20260523_014050
Config: ..\..\configs\config5.yaml
Episodes: 0 -> ...
Steps: 0 -> 150000

No accuracy CSV at training_logs/run_seed41_config3_fresh_20260522_170933/accuracy_final.csv — starting fresh.
Episode    37 | Steps:    1204 | Reward:  -0.503 | Avg(100):   0.277 | Entropy: 0.0995 | Acc: 16.2% (6+ 31-) | Lifetime: 21.8%
Episode    38 | Steps:    1237 | Reward:  -0.103 | Avg(100):   0.267 | Entropy: 0.0995 | Acc: 18.2% (6+ 27-) | Lifetime: 21.7%
Episode    39 | Steps:    1277 | Reward:  -0.702 | Avg(100):   0.243 | Entropy: 0.0995 | Acc: 17.5% (7+ 33-) | Lifetime: 21.6%
Episode    40 | Steps:    1307 | Reward:   1.897 | Avg(100):   0.283 | Entropy: 0.0993 | Acc: 23.3% (7+ 23-) | Lifetime: 21.6%
Episode    41 | Steps:    1330 | Reward:   1.500 | Avg(100):   0.312 | Entropy: 0.0993 | Acc: 34.8% (8+ 15-) | Lifetime: 21.9%
Episode    42 | Steps:    1367 | Reward:  -0.803 | Avg(100):   0.286 | Entropy: 0.0993 | Acc: 16.2% (6+ 31-) | Lifetime: 21.7%
Episode    43 | Steps:    1399 | Reward:  -0.801 | Avg(100):   0.262 | Entropy: 0.0993 | Acc: 18.8% (6+ 26-) | Lifetime: 21.6%
Episode    44 | Steps:    1434 | Reward:  -2.502 | Avg(100):   0.200 | Entropy: 0.0993 | Acc: 17.1% (6+ 29-) | Lifetime: 21.5%
Episode    45 | Steps:    1466 | Reward:   0.598 | Avg(100):   0.209 | Entropy: 0.0993 | Acc: 21.9% (7+ 25-) | Lifetime: 21.5%
  [Step 1500] Action dist: A0:15% | A1:19% | A2:24% | A3:23% | A4:19%
Episode    46 | Steps:    1505 | Reward:  -1.902 | Avg(100):   0.164 | Entropy: 0.0993 | Acc: 17.9% (7+ 32-) | Lifetime: 21.4%
Episode    47 | Steps:    1534 | Reward:  -1.902 | Avg(100):   0.121 | Entropy: 0.0993 | Acc: 17.2% (5+ 24-) | Lifetime: 21.4%
Episode    48 | Steps:    1569 | Reward:  -0.503 | Avg(100):   0.108 | Entropy: 0.0992 | Acc: 20.0% (7+ 28-) | Lifetime: 21.3%
Episode    49 | Steps:    1596 | Reward:  -1.797 | Avg(100):   0.070 | Entropy: 0.0992 | Acc: 29.6% (8+ 19-) | Lifetime: 21.5%
Episode    50 | Steps:    1625 | Reward:  -0.801 | Avg(100):   0.053 | Entropy: 0.0992 | Acc: 20.7% (6+ 23-) | Lifetime: 21.5%
Episode    51 | Steps:    1656 | Reward:   2.797 | Avg(100):   0.106 | Entropy: 0.0992 | Acc: 25.8% (8+ 23-) | Lifetime: 21.5%
Episode    52 | Steps:    1686 | Reward:   0.099 | Avg(100):   0.106 | Entropy: 0.0992 | Acc: 26.7% (8+ 22-) | Lifetime: 21.6%
Episode    53 | Steps:    1718 | Reward:   0.998 | Avg(100):   0.122 | Entropy: 0.0992 | Acc: 25.0% (8+ 24-) | Lifetime: 21.7%
Episode    54 | Steps:    1752 | Reward:   2.197 | Avg(100):   0.160 | Entropy: 0.0992 | Acc: 26.5% (9+ 25-) | Lifetime: 21.8%
Episode    55 | Steps:    1781 | Reward:   2.697 | Avg(100):   0.205 | Entropy: 0.0992 | Acc: 27.6% (8+ 21-) | Lifetime: 21.9%
Episode    56 | Steps:    1822 | Reward:   0.197 | Avg(100):   0.205 | Entropy: 0.0990 | Acc: 19.5% (8+ 33-) | Lifetime: 21.8%
Episode    57 | Steps:    1854 | Reward:  -1.301 | Avg(100):   0.179 | Entropy: 0.0990 | Acc: 12.5% (4+ 28-) | Lifetime: 21.7%
Episode    58 | Steps:    1886 | Reward:  -1.101 | Avg(100):   0.157 | Entropy: 0.0990 | Acc: 18.8% (6+ 26-) | Lifetime: 21.6%
Episode    59 | Steps:    1927 | Reward:  -3.103 | Avg(100):   0.103 | Entropy: 0.0990 | Acc: 14.6% (6+ 35-) | Lifetime: 21.5%
Episode    60 | Steps:    1952 | Reward:  -2.402 | Avg(100):   0.062 | Entropy: 0.0990 | Acc: 12.0% (3+ 22-) | Lifetime: 21.4%
Episode    61 | Steps:    1989 | Reward:  -1.002 | Avg(100):   0.045 | Entropy: 0.0990 | Acc: 18.9% (7+ 30-) | Lifetime: 21.3%
  [Step 2000] Action dist: A0:18% | A1:12% | A2:29% | A3:22% | A4:19%
Episode    62 | Steps:    2015 | Reward:   0.601 | Avg(100):   0.054 | Entropy: 0.0990 | Acc: 30.8% (8+ 18-) | Lifetime: 21.4%
