
Training on cuda | logs -> training_logs/run_seed41_config10_fresh_20260529_202900
Config: ..\..\configs\config10.yaml
Episodes: 0 -> ...
Steps: 0 -> 150000

Episode    37 | Steps:    1229 | Reward:  -1.001 | Avg(100):  -2.473 | Entropy: 0.0995 | Acc: 28.6% (8+ 20-) | Lifetime: 18.4%
Episode    38 | Steps:    1261 | Reward:  -2.801 | Avg(100):  -2.481 | Entropy: 0.0995 | Acc: 25.0% (8+ 24-) | Lifetime: 18.6%
Episode    39 | Steps:    1287 | Reward:  -0.801 | Avg(100):  -2.439 | Entropy: 0.0993 | Acc: 26.9% (7+ 19-) | Lifetime: 18.8%
Episode    40 | Steps:    1316 | Reward:  -0.902 | Avg(100):  -2.402 | Entropy: 0.0993 | Acc: 24.1% (7+ 22-) | Lifetime: 18.9%
Episode    41 | Steps:    1323 | Reward:  -0.500 | Avg(100):  -2.357 | Entropy: 0.0993 | Acc: 28.6% (2+ 5-) | Lifetime: 18.9%
Episode    42 | Steps:    1365 | Reward:  -5.604 | Avg(100):  -2.432 | Entropy: 0.0993 | Acc: 9.5% (4+ 38-) | Lifetime: 18.6%
Episode    43 | Steps:    1390 | Reward:   2.099 | Avg(100):  -2.329 | Entropy: 0.0993 | Acc: 32.0% (8+ 17-) | Lifetime: 18.9%
Episode    44 | Steps:    1421 | Reward:  -2.002 | Avg(100):  -2.322 | Entropy: 0.0993 | Acc: 16.7% (5+ 25-) | Lifetime: 18.8%
Episode    45 | Steps:    1446 | Reward:   0.898 | Avg(100):  -2.252 | Entropy: 0.0993 | Acc: 28.0% (7+ 18-) | Lifetime: 19.0%
Episode    46 | Steps:    1476 | Reward:  -1.303 | Avg(100):  -2.232 | Entropy: 0.0993 | Acc: 20.0% (6+ 24-) | Lifetime: 19.0%
  [Step 1500] Action dist: A0:15% | A1:23% | A2:20% | A3:21% | A4:21%
Episode    47 | Steps:    1512 | Reward:  -5.201 | Avg(100):  -2.294 | Entropy: 0.0993 | Acc: 13.9% (5+ 31-) | Lifetime: 18.9%
Episode    48 | Steps:    1535 | Reward:  -2.702 | Avg(100):  -2.302 | Entropy: 0.0993 | Acc: 8.7% (2+ 21-) | Lifetime: 18.7%
Episode    49 | Steps:    1546 | Reward:   1.100 | Avg(100):  -2.234 | Entropy: 0.0992 | Acc: 36.4% (4+ 7-) | Lifetime: 18.9%
Episode    50 | Steps:    1582 | Reward:  -3.003 | Avg(100):  -2.249 | Entropy: 0.0992 | Acc: 16.7% (6+ 30-) | Lifetime: 18.8%
Episode    51 | Steps:    1608 | Reward:   0.898 | Avg(100):  -2.188 | Entropy: 0.0992 | Acc: 30.8% (8+ 18-) | Lifetime: 19.0%
Episode    52 | Steps:    1635 | Reward:  -0.002 | Avg(100):  -2.147 | Entropy: 0.0992 | Acc: 25.9% (7+ 20-) | Lifetime: 19.1%
Episode    53 | Steps:    1650 | Reward:   1.900 | Avg(100):  -2.072 | Entropy: 0.0992 | Acc: 46.7% (7+ 8-) | Lifetime: 19.4%
Episode    54 | Steps:    1678 | Reward:   0.797 | Avg(100):  -2.020 | Entropy: 0.0992 | Acc: 25.0% (7+ 21-) | Lifetime: 19.5%
Episode    55 | Steps:    1688 | Reward:  -0.101 | Avg(100):  -1.986 | Entropy: 0.0992 | Acc: 20.0% (2+ 8-) | Lifetime: 19.5%
Episode    56 | Steps:    1715 | Reward:  -0.001 | Avg(100):  -1.951 | Entropy: 0.0992 | Acc: 25.9% (7+ 20-) | Lifetime: 19.6%
Episode    57 | Steps:    1740 | Reward:   0.897 | Avg(100):  -1.902 | Entropy: 0.0992 | Acc: 28.0% (7+ 18-) | Lifetime: 19.7%
Episode    58 | Steps:    1769 | Reward:  -0.402 | Avg(100):  -1.876 | Entropy: 0.0992 | Acc: 24.1% (7+ 22-) | Lifetime: 19.8%
Episode    59 | Steps:    1801 | Reward:  -4.602 | Avg(100):  -1.922 | Entropy: 0.0990 | Acc: 12.5% (4+ 28-) | Lifetime: 19.6%
Episode    60 | Steps:    1828 | Reward:   0.599 | Avg(100):  -1.881 | Entropy: 0.0990 | Acc: 32.0% (8+ 17-) | Lifetime: 19.8%
Episode    61 | Steps:    1860 | Reward:  -3.203 | Avg(100):  -1.902 | Entropy: 0.0990 | Acc: 16.1% (5+ 26-) | Lifetime: 19.7%
Episode    62 | Steps:    1884 | Reward:  -1.102 | Avg(100):  -1.889 | Entropy: 0.0990 | Acc: 21.7% (5+ 18-) | Lifetime: 19.8%
Episode    63 | Steps:    1917 | Reward:  -0.703 | Avg(100):  -1.871 | Entropy: 0.0990 | Acc: 21.2% (7+ 26-) | Lifetime: 19.8%
Episode    64 | Steps:    1947 | Reward:  -1.602 | Avg(100):  -1.866 | Entropy: 0.0990 | Acc: 20.7% (6+ 23-) | Lifetime: 19.8%
Episode    65 | Steps:    1971 | Reward:   0.399 | Avg(100):  -1.832 | Entropy: 0.0990 | Acc: 25.0% (6+ 18-) | Lifetime: 19.9%
  [Step 2000] Action dist: A0:19% | A1:16% | A2:25% | A3:19% | A4:21%
Episode    66 | Steps:    2011 | Reward:  -3.604 | Avg(100):  -1.859 | Entropy: 0.0990 | Acc: 15.4% (6+ 33-) | Lifetime: 19.8%
Episode    67 | Steps:    2062 | Reward:  -7.004 | Avg(100):  -1.934 | Entropy: 0.0989 | Acc: 10.0% (5+ 45-) | Lifetime: 19.5%
Episode    68 | Steps:    2101 | Reward:  -5.904 | Avg(100):  -1.992 | Entropy: 0.0989 | Acc: 5.1% (2+ 37-) | Lifetime: 19.3%
Episode    69 | Steps:    2133 | Reward:  -3.902 | Avg(100):  -2.019 | Entropy: 0.0989 | Acc: 12.9% (4+ 27-) | Lifetime: 19.2%
Episode    70 | Steps:    2171 | Reward:  -4.903 | Avg(100):  -2.060 | Entropy: 0.0989 | Acc: 13.5% (5+ 32-) | Lifetime: 19.1%
Episode    71 | Steps:    2200 | Reward:   0.599 | Avg(100):  -2.023 | Entropy: 0.0989 | Acc: 24.1% (7+ 22-) | Lifetime: 19.1%
Episode    72 | Steps:    2226 | Reward:  -1.501 | Avg(100):  -2.016 | Entropy: 0.0989 | Acc: 23.1% (6+ 20-) | Lifetime: 19.2%
