Episode,Reward,Cumulative Reward
1,-1099.20,-1099.20
2,-146.20,-1245.40
3,-1183.60,-2428.99
4,-1454.90,-3883.89
5,-1085.30,-4969.19
6,-1421.30,-6390.49
7,-2033.60,-8424.08
8,-1076.06,-9500.14
9,-54.90,-9555.04
10,-285.70,-9840.74
11,-143.40,-9984.14
12,-32.70,-10016.84
13,156.74,-9860.10
14,142.00,-9718.09
15,-1806.70,-11524.79
16,212.00,-11312.79
17,-1130.23,-12443.02
18,366.00,-12077.02
19,-790.70,-12867.72
20,251.90,-12615.82
21,322.60,-12293.22
22,545.80,-11747.41
23,-1854.50,-13601.91
24,-713.60,-14315.51
25,124.70,-14190.81
26,80.80,-14110.01
27,-1461.80,-15571.80
28,640.40,-14931.40
29,-735.40,-15666.80
30,-3566.20,-19233.00
31,902.90,-18330.09
32,-43.20,-18373.29
33,-2282.60,-20655.89
34,-935.20,-21591.09
35,-347.70,-21938.79
36,19.00,-21919.78
37,-1038.20,-22957.98
38,969.30,-21988.68
39,995.30,-20993.38
40,99.49,-20893.88
41,995.30,-19898.58
42,-660.20,-20558.78
43,-2101.20,-22659.98
44,291.80,-22368.17
45,-913.70,-23281.87
46,-2103.70,-25385.57
47,-1272.70,-26658.27
48,-2382.20,-29040.46
49,-572.20,-29612.66
50,-2235.20,-31847.86
51,-631.70,-32479.56
52,74.10,-32405.46
53,324.30,-32081.15
54,56.80,-32024.35
55,130.30,-31894.05
56,-1013.10,-32907.15
57,-2686.20,-35593.34
58,741.80,-34851.54
59,-337.67,-35189.21
60,-357.10,-35546.31
61,-1046.70,-36593.01
62,983.30,-35609.70
63,140.80,-35468.90
64,272.80,-35196.10
65,-2280.20,-37476.30
66,-695.30,-38171.59
67,-418.70,-38590.29
68,-66.20,-38656.49
69,-668.20,-39324.69
70,923.30,-38401.39
71,-736.40,-39137.78
72,-1963.70,-41101.48
73,-1479.70,-42581.18
74,-3237.50,-45818.68
75,476.20,-45342.47
76,-1042.30,-46384.77
77,-52.70,-46437.47
78,376.31,-46061.16
79,995.30,-45065.86
80,-1594.30,-46660.16
81,983.30,-45676.86
82,-3201.20,-48878.05
83,-665.70,-49543.75
84,-882.70,-50426.45
85,16.80,-50409.65
86,208.80,-50200.84
87,243.10,-49957.74
88,-1426.40,-51384.14
89,47.70,-51336.44
90,837.80,-50498.64
91,-2129.70,-52628.33
92,272.80,-52355.53
93,-2853.90,-55209.43
94,-741.00,-55950.43
95,283.30,-55667.12
96,967.30,-54699.82
97,-583.20,-55283.02
98,995.30,-54287.72
99,-584.20,-54871.91
100,981.30,-53890.61
101,-1382.70,-55273.31
102,995.30,-54278.01
103,-2656.30,-56934.31
104,-1280.70,-58215.00
105,47.60,-58167.40
106,-2253.20,-60420.60
107,13.70,-60406.90
108,-327.00,-60733.90
109,959.60,-59774.29
110,902.50,-58871.79
111,254.40,-58617.39
112,-1804.70,-60422.09
113,777.70,-59644.38
114,-1396.80,-61041.18
115,-805.70,-61846.88
116,-2114.70,-63961.58
117,981.30,-62980.28
118,995.30,-61984.97
119,34.80,-61950.17
120,594.20,-61355.97
121,710.70,-60645.27
122,-1025.60,-61670.86
123,-1282.20,-62953.06
124,-2358.20,-65311.26
125,-3488.90,-68800.16
126,247.00,-68553.15
127,-1430.40,-69983.55
128,-2067.20,-72050.75
129,-797.70,-72848.45
130,873.80,-71974.65
131,524.30,-71450.34
132,-2901.30,-74351.64
133,-1514.10,-75865.74
134,277.80,-75587.94
135,-900.20,-76488.13
136,983.30,-75504.83
137,-59.20,-75564.03
138,959.50,-74604.53
139,-436.20,-75040.73
140,-1662.50,-76703.22
141,-163.20,-76866.42
142,58.30,-76808.12
143,995.30,-75812.82
144,-2857.40,-78670.21
145,-521.20,-79191.41
146,98.90,-79092.51
147,-1100.30,-80192.81
148,-913.10,-81105.91
149,-1332.90,-82438.80
150,-943.42,-83382.22
151,929.50,-82452.72
152,288.30,-82164.42
153,-859.00,-83023.41
154,-429.20,-83452.61
155,55.70,-83396.91
156,-567.20,-83964.11
157,750.80,-83213.30
158,-1282.80,-84496.10
159,-1950.30,-86446.40
160,-3081.20,-89527.60
161,-1690.50,-91218.09
162,995.30,-90222.79
163,279.80,-89942.99
164,-126.80,-90069.79
165,-348.10,-90417.89
166,-559.60,-90977.48
167,752.90,-90224.58
168,-219.20,-90443.78
169,755.00,-89688.78
170,-3164.00,-92852.77
171,48.80,-92803.97
172,-3431.30,-96235.27
173,967.30,-95267.97
174,-941.90,-96209.87
175,-694.20,-96904.06
176,-1775.00,-98679.06
177,995.30,-97683.76
178,14.00,-97669.76
179,499.40,-97170.35
180,744.30,-96426.05
181,-2100.70,-98526.75
182,-504.60,-99031.35
183,218.90,-98812.45
184,-721.10,-99533.54
185,251.80,-99281.74
186,-144.20,-99425.94
187,-24.50,-99450.44
188,75.46,-99374.98
189,995.30,-98379.68
190,-203.90,-98583.57
191,378.80,-98204.77
192,-1096.00,-99300.77
193,638.30,-98662.47
194,-1450.60,-100113.07
195,368.20,-99744.86
196,501.50,-99243.36
197,-693.60,-99936.96
198,-385.80,-100322.76
199,334.43,-99988.33
200,995.30,-98993.03
201,-1560.30,-100553.33
202,-455.80,-101009.12
203,760.70,-100248.42
204,637.30,-99611.12
205,995.30,-98615.82
206,-567.20,-99183.02
207,-894.90,-100077.92
208,-1378.70,-101456.61
209,-202.20,-101658.81
210,-2244.10,-103902.91
211,57.90,-103845.01
212,947.30,-102897.71
213,685.10,-102212.60
214,-267.20,-102479.80
215,-881.20,-103361.00
216,-690.70,-104051.70
217,283.60,-103768.09
218,720.50,-103047.59
219,-3186.30,-106233.89
220,-197.54,-106431.43
221,832.90,-105598.53
222,-188.20,-105786.73
223,995.30,-104791.43
224,726.20,-104065.22
225,981.30,-103083.92
226,-894.20,-103978.12
227,-422.20,-104400.32
228,-767.20,-105167.51
229,-2167.90,-107335.41
230,736.70,-106598.71
231,323.90,-106274.81
232,962.30,-105312.50
233,995.30,-104317.20
234,767.30,-103549.90
235,-1158.70,-104708.60
236,854.60,-103854.00
237,-1183.30,-105037.29
238,335.70,-104701.59
239,295.18,-104406.41
240,995.30,-103411.11
241,284.80,-103126.30
242,288.30,-102838.00
243,-813.60,-103651.60
244,-126.30,-103777.90
245,995.30,-102782.60
246,995.30,-101787.29
247,79.36,-101707.93
248,373.70,-101334.23
249,281.30,-101052.93
250,-1380.20,-102433.12
251,995.30,-101437.82
252,35.80,-101402.02
253,882.80,-100519.22
254,-671.20,-101190.42
255,-2378.80,-103569.21
256,291.80,-103277.41
257,981.30,-102296.11
258,-695.20,-102991.31
259,-332.20,-103323.50
260,340.80,-102982.70
261,-715.60,-103698.30
262,-219.20,-103917.50
263,-269.80,-104187.30
264,-837.00,-105024.29
265,56.30,-104967.99
266,957.60,-104010.39
267,296.00,-103714.39
268,-682.90,-104397.28
269,-1953.10,-106350.38
270,-8.70,-106359.08
271,-1100.93,-107460.01
272,995.30,-106464.71
273,-773.50,-107238.21
274,4.80,-107233.41
275,-351.50,-107584.90
276,995.30,-106589.60
277,127.30,-106462.30
278,279.80,-106182.50
279,828.00,-105354.49
280,-1762.80,-107117.29
281,786.66,-106330.63
282,995.30,-105335.33
283,-44.60,-105379.93
284,221.30,-105158.62
285,279.80,-104878.82
286,995.30,-103883.52
287,-682.20,-104565.72
288,-1374.20,-105939.91
289,995.30,-104944.61
290,-259.10,-105203.71
291,-208.80,-105412.51
292,-649.50,-106062.01
293,342.49,-105719.52
294,995.30,-104724.21
295,-504.90,-105229.11
296,257.30,-104971.81
297,-2631.50,-107603.31
298,50.27,-107553.04
299,995.30,-106557.74
300,-236.40,-106794.14
301,995.30,-105798.84
302,995.30,-104803.53
303,6.80,-104796.73
304,34.80,-104761.93
305,115.50,-104646.43
306,995.30,-103651.12
307,-959.10,-104610.22
308,-44.90,-104655.12
309,995.30,-103659.82
310,-2145.20,-105805.02
311,221.08,-105583.94
312,-722.00,-106305.94
313,829.10,-105476.83
314,-365.80,-105842.63
315,385.80,-105456.83
316,-706.00,-106162.83
317,708.80,-105454.02
318,326.54,-105127.49
319,37.00,-105090.48
320,149.28,-104941.20
321,995.30,-103945.90
322,-728.30,-104674.20
323,106.70,-104567.50
324,995.30,-103572.20
325,-285.70,-103857.89
