
Training on cuda | logs -> training_logs/run_seed41_config5_fresh_20260529_233838
Config: ..\..\configs\config5.yaml
Episodes: 0 -> ...
Steps: 0 -> 150000

Episode     0 | Steps:      42 | Reward:  -5.804 | Avg(100):  -5.804 | Entropy: 0.1000 | Acc: 9.3% (4+ 39-) | Lifetime: 9.3%
Episode     1 | Steps:      78 | Reward:  -2.904 | Avg(100):  -4.354 | Entropy: 0.1000 | Acc: 11.1% (4+ 32-) | Lifetime: 10.1%
Episode     2 | Steps:     113 | Reward:  -4.002 | Avg(100):  -4.237 | Entropy: 0.1000 | Acc: 14.3% (5+ 30-) | Lifetime: 11.4%
Episode     3 | Steps:     129 | Reward:   1.298 | Avg(100):  -2.853 | Entropy: 0.1000 | Acc: 31.2% (5+ 11-) | Lifetime: 13.8%
Episode     4 | Steps:     153 | Reward:   0.198 | Avg(100):  -2.243 | Entropy: 0.1000 | Acc: 20.8% (5+ 19-) | Lifetime: 14.9%
Episode     5 | Steps:     177 | Reward:   0.098 | Avg(100):  -1.853 | Entropy: 0.1000 | Acc: 29.2% (7+ 17-) | Lifetime: 16.9%
Episode     6 | Steps:     207 | Reward:  -2.302 | Avg(100):  -1.917 | Entropy: 0.1000 | Acc: 20.0% (6+ 24-) | Lifetime: 17.3%
Episode     7 | Steps:     238 | Reward:  -0.401 | Avg(100):  -1.727 | Entropy: 0.1000 | Acc: 29.0% (9+ 22-) | Lifetime: 18.8%
Episode     8 | Steps:     270 | Reward:  -0.303 | Avg(100):  -1.569 | Entropy: 0.0999 | Acc: 22.6% (7+ 24-) | Lifetime: 19.3%
Episode     9 | Steps:     309 | Reward:  -1.904 | Avg(100):  -1.603 | Entropy: 0.0999 | Acc: 17.9% (7+ 32-) | Lifetime: 19.1%
Episode    10 | Steps:     331 | Reward:   0.999 | Avg(100):  -1.366 | Entropy: 0.0999 | Acc: 31.8% (7+ 15-) | Lifetime: 19.9%
Episode    11 | Steps:     359 | Reward:  -2.700 | Avg(100):  -1.477 | Entropy: 0.0999 | Acc: 25.0% (7+ 21-) | Lifetime: 20.3%
Episode    12 | Steps:     399 | Reward:  -6.202 | Avg(100):  -1.841 | Entropy: 0.0999 | Acc: 10.0% (4+ 36-) | Lifetime: 19.3%
Episode    13 | Steps:     429 | Reward:  -3.203 | Avg(100):  -1.938 | Entropy: 0.0999 | Acc: 13.3% (4+ 26-) | Lifetime: 18.9%
Episode    14 | Steps:     466 | Reward:  -5.103 | Avg(100):  -2.149 | Entropy: 0.0999 | Acc: 10.8% (4+ 33-) | Lifetime: 18.2%
Episode    15 | Steps:     492 | Reward:  -1.801 | Avg(100):  -2.127 | Entropy: 0.0999 | Acc: 24.0% (6+ 19-) | Lifetime: 18.5%
  [Step 500] Action dist: A0:15% | A1:19% | A2:19% | A3:30% | A4:18%
Episode    16 | Steps:     530 | Reward:  -5.201 | Avg(100):  -2.308 | Entropy: 0.0997 | Acc: 18.4% (7+ 31-) | Lifetime: 18.5%
Episode    17 | Steps:     536 | Reward:  -0.501 | Avg(100):  -2.208 | Entropy: 0.0997 | Acc: 16.7% (1+ 5-) | Lifetime: 18.5%
Episode    18 | Steps:     562 | Reward:  -0.502 | Avg(100):  -2.118 | Entropy: 0.0997 | Acc: 23.1% (6+ 20-) | Lifetime: 18.7%
Episode    19 | Steps:     576 | Reward:  -1.401 | Avg(100):  -2.082 | Entropy: 0.0997 | Acc: 14.3% (2+ 12-) | Lifetime: 18.6%
Episode    20 | Steps:     597 | Reward:   0.199 | Avg(100):  -1.973 | Entropy: 0.0997 | Acc: 33.3% (7+ 14-) | Lifetime: 19.1%
Episode    21 | Steps:     629 | Reward:  -3.100 | Avg(100):  -2.025 | Entropy: 0.0997 | Acc: 28.1% (9+ 23-) | Lifetime: 19.6%
Episode    22 | Steps:     653 | Reward:   0.300 | Avg(100):  -1.924 | Entropy: 0.0997 | Acc: 33.3% (8+ 16-) | Lifetime: 20.1%
Episode    23 | Steps:     664 | Reward:  -1.501 | Avg(100):  -1.906 | Entropy: 0.0997 | Acc: 9.1% (1+ 10-) | Lifetime: 19.9%
Episode    24 | Steps:     669 | Reward:   0.899 | Avg(100):  -1.794 | Entropy: 0.0997 | Acc: 40.0% (2+ 3-) | Lifetime: 20.1%
Episode    25 | Steps:     700 | Reward:  -0.803 | Avg(100):  -1.756 | Entropy: 0.0997 | Acc: 22.6% (7+ 24-) | Lifetime: 20.2%
Episode    26 | Steps:     718 | Reward:  -0.399 | Avg(100):  -1.705 | Entropy: 0.0997 | Acc: 33.3% (6+ 12-) | Lifetime: 20.5%
Episode    27 | Steps:     748 | Reward:  -2.003 | Avg(100):  -1.716 | Entropy: 0.0997 | Acc: 16.7% (5+ 25-) | Lifetime: 20.3%
Episode    28 | Steps:     765 | Reward:   0.600 | Avg(100):  -1.636 | Entropy: 0.0997 | Acc: 29.4% (5+ 12-) | Lifetime: 20.5%
Episode    29 | Steps:     796 | Reward:  -2.502 | Avg(100):  -1.665 | Entropy: 0.0996 | Acc: 16.7% (5+ 25-) | Lifetime: 20.4%
Episode    30 | Steps:     820 | Reward:   0.898 | Avg(100):  -1.582 | Entropy: 0.0996 | Acc: 25.0% (6+ 18-) | Lifetime: 20.5%
Episode    31 | Steps:     847 | Reward:  -2.701 | Avg(100):  -1.617 | Entropy: 0.0996 | Acc: 22.2% (6+ 21-) | Lifetime: 20.6%
Episode    32 | Steps:     882 | Reward:  -3.503 | Avg(100):  -1.674 | Entropy: 0.0996 | Acc: 14.3% (5+ 30-) | Lifetime: 20.3%
Episode    33 | Steps:     898 | Reward:  -0.402 | Avg(100):  -1.637 | Entropy: 0.0996 | Acc: 25.0% (4+ 12-) | Lifetime: 20.4%
Episode    34 | Steps:     933 | Reward:  -4.002 | Avg(100):  -1.705 | Entropy: 0.0996 | Acc: 14.3% (5+ 30-) | Lifetime: 20.2%
Episode    35 | Steps:     968 | Reward:  -0.902 | Avg(100):  -1.682 | Entropy: 0.0996 | Acc: 22.9% (8+ 27-) | Lifetime: 20.3%
Episode    36 | Steps:     973 | Reward:  -1.001 | Avg(100):  -1.664 | Entropy: 0.0996 | Acc: 0.0% (0+ 5-) | Lifetime: 20.2%
  [Step 1000] Action dist: A0:20% | A1:21% | A2:19% | A3:23% | A4:17%
Episode    37 | Steps:    1009 | Reward:  -0.903 | Avg(100):  -1.644 | Entropy: 0.0996 | Acc: 22.9% (8+ 27-) | Lifetime: 20.3%
Episode    38 | Steps:    1034 | Reward:   0.398 | Avg(100):  -1.591 | Entropy: 0.0995 | Acc: 28.0% (7+ 18-) | Lifetime: 20.5%
Episode    39 | Steps:    1060 | Reward:  -3.900 | Avg(100):  -1.649 | Entropy: 0.0995 | Acc: 15.4% (4+ 22-) | Lifetime: 20.3%
Episode    40 | Steps:    1088 | Reward:  -3.102 | Avg(100):  -1.685 | Entropy: 0.0995 | Acc: 17.9% (5+ 23-) | Lifetime: 20.3%
Episode    41 | Steps:    1119 | Reward:  -2.702 | Avg(100):  -1.709 | Entropy: 0.0995 | Acc: 16.1% (5+ 26-) | Lifetime: 20.2%
Episode    42 | Steps:    1146 | Reward:  -0.403 | Avg(100):  -1.678 | Entropy: 0.0995 | Acc: 18.5% (5+ 22-) | Lifetime: 20.1%
Episode    43 | Steps:    1165 | Reward:   3.500 | Avg(100):  -1.561 | Entropy: 0.0995 | Acc: 47.4% (9+ 10-) | Lifetime: 20.6%
Episode    44 | Steps:    1200 | Reward:  -3.302 | Avg(100):  -1.599 | Entropy: 0.0995 | Acc: 17.1% (6+ 29-) | Lifetime: 20.5%
Episode    45 | Steps:    1203 | Reward:   0.100 | Avg(100):  -1.562 | Entropy: 0.0995 | Acc: 33.3% (1+ 2-) | Lifetime: 20.5%
Episode    46 | Steps:    1231 | Reward:  -0.703 | Avg(100):  -1.544 | Entropy: 0.0995 | Acc: 25.0% (7+ 21-) | Lifetime: 20.6%
Episode    47 | Steps:    1265 | Reward:  -2.102 | Avg(100):  -1.556 | Entropy: 0.0995 | Acc: 17.6% (6+ 28-) | Lifetime: 20.5%
Episode    48 | Steps:    1301 | Reward:  -1.303 | Avg(100):  -1.551 | Entropy: 0.0993 | Acc: 19.4% (7+ 29-) | Lifetime: 20.5%
Episode    49 | Steps:    1328 | Reward:   0.698 | Avg(100):  -1.506 | Entropy: 0.0993 | Acc: 29.6% (8+ 19-) | Lifetime: 20.7%
Episode    50 | Steps:    1359 | Reward:  -2.203 | Avg(100):  -1.519 | Entropy: 0.0993 | Acc: 16.1% (5+ 26-) | Lifetime: 20.6%
Episode    51 | Steps:    1386 | Reward:  -1.701 | Avg(100):  -1.523 | Entropy: 0.0993 | Acc: 22.2% (6+ 21-) | Lifetime: 20.6%
Episode    52 | Steps:    1411 | Reward:  -2.702 | Avg(100):  -1.545 | Entropy: 0.0993 | Acc: 16.0% (4+ 21-) | Lifetime: 20.5%
Episode    53 | Steps:    1438 | Reward:  -0.301 | Avg(100):  -1.522 | Entropy: 0.0993 | Acc: 26.9% (7+ 19-) | Lifetime: 20.6%
