Episode,Reward,Cumulative Reward
273,1116.71,355387.24
274,1110.11,356497.35
275,1958.21,358455.56
276,1969.21,360424.76
277,883.51,361308.27
278,1586.41,362894.68
279,1982.41,364877.09
280,1584.21,366461.30
281,1687.61,368148.90
282,1377.41,369526.31
283,1412.61,370938.92
284,1487.41,372426.33
285,1982.41,374408.74
286,1260.81,375669.54
287,1474.21,377143.75
288,736.11,377879.86
289,1982.41,379862.27
290,1102.41,380964.68
291,726.21,381690.88
292,1205.81,382896.69
293,1940.61,384837.30
294,1982.41,386819.71
295,1982.41,388802.12
296,1459.91,390262.02
297,1508.31,391770.33
298,1641.41,393411.74
299,1100.21,394511.95
300,1120.01,395631.96
301,898.91,396530.86
302,788.91,397319.77
303,1160.71,398480.48
304,1982.41,400462.89
305,1584.21,402047.10
306,1254.21,403301.30
307,946.21,404247.51
308,1182.71,405430.22
309,1425.81,406856.03
310,952.81,407808.84
311,1177.21,408986.04
312,755.91,409741.95
313,1182.71,410924.66
314,1519.31,412443.97
315,1220.11,413664.08
316,1611.71,415275.78
317,1355.41,416631.19
318,1239.91,417871.10
319,1522.61,419393.71
320,1300.41,420694.12
321,1190.41,421884.52
322,1079.31,422963.83
323,922.01,423885.84
324,1121.11,425006.95
325,1313.61,426320.56
326,1388.41,427708.96
327,1598.51,429307.47
328,1430.21,430737.68
329,719.61,431457.29
330,1631.51,433088.80
331,1982.41,435071.20
332,1198.11,436269.31
333,1322.41,437591.72
334,1982.41,439574.13
335,1949.41,441523.54
336,1631.51,443155.04
337,791.11,443946.15
338,1610.61,445556.76
339,729.51,446286.27
340,604.11,446890.38
341,845.01,447735.38
342,1495.11,449230.49
343,1143.11,450373.60
344,934.11,451307.71
345,1982.41,453290.12
346,590.91,453881.02
347,490.81,454371.83
348,1641.41,456013.24
349,1855.91,457869.15
350,1982.41,459851.56
351,1982.41,461833.96
352,936.31,462770.27
353,443.51,463213.78
354,1982.41,465196.19
355,489.71,465685.90
356,1711.81,467397.70
357,1480.81,468878.51
358,1982.41,470860.92
359,268.61,471129.53
360,1069.41,472198.94
361,928.61,473127.54
362,1587.51,474715.05
363,1602.91,476317.96
364,1646.91,477964.87
365,1982.41,479947.28
366,1982.41,481929.68
367,376.41,482306.09
368,1365.31,483671.40
369,946.21,484617.61
370,1392.81,486010.42
371,1585.31,487595.72
372,1982.41,489578.13
373,1982.41,491560.54
374,838.41,492398.95
375,945.11,493344.06
376,1488.51,494832.56
377,876.91,495709.47
378,1938.41,497647.88
379,555.71,498203.59
380,1982.41,500186.00
381,1968.11,502154.10
382,1452.21,503606.31
383,897.81,504504.12
384,825.21,505329.33
385,1301.51,506630.84
386,1123.31,507754.14
387,837.31,508591.45
388,1611.71,510203.16
389,1982.41,512185.57
390,639.31,512824.88
391,1208.01,514032.88
392,1982.41,516015.29
393,1189.31,517204.60
394,1293.81,518498.41
395,494.11,518992.52
396,1982.41,520974.92
397,1132.11,522107.03
398,1586.41,523693.44
399,1128.81,524822.25
400,1362.01,526184.26
401,1228.91,527413.16
402,1982.41,529395.57
403,1982.41,531377.98
404,1457.71,532835.69
405,773.51,533609.20
406,1083.71,534692.90
407,1982.41,536675.31
408,1060.61,537735.92
409,1585.31,539321.23
410,1466.51,540787.74
411,1567.71,542355.44
412,1081.51,543436.95
413,740.51,544177.46
414,1382.91,545560.37
415,1929.61,547489.98
416,1402.71,548892.68
417,1127.71,550020.39
418,1429.11,551449.50
419,1982.41,553431.91
420,1613.91,555045.82
421,1296.01,556341.82
422,873.61,557215.43
423,884.61,558100.04
424,1632.61,559732.65
425,919.81,560652.46
426,1139.81,561792.26
427,1982.41,563774.67
428,903.31,564677.98
429,1194.81,565872.79
430,1359.81,567232.60
431,1049.61,568282.20
432,890.11,569172.31
433,1571.01,570743.32
434,1982.41,572725.73
435,1023.21,573748.94
436,1982.41,575731.34
437,607.41,576338.75
438,937.41,577276.16
439,1624.91,578901.07
440,614.01,579515.08
441,1580.91,581095.98
442,278.51,581374.49
443,1336.71,582711.20
444,851.61,583562.81
445,1541.31,585104.12
446,1225.61,586329.72
447,376.41,586706.13
448,1356.51,588062.64
449,1085.91,589148.55
450,909.91,590058.46
451,1105.71,591164.16
452,996.81,592160.97
453,868.11,593029.08
454,1982.41,595011.49
455,1205.81,596217.30
456,1982.41,598199.70
457,1197.01,599396.71
458,1982.41,601379.12
459,488.61,601867.73
460,1580.91,603448.64
461,1611.71,605060.34
462,1353.21,606413.55
463,1803.11,608216.66
464,1982.41,610199.07
465,1060.61,611259.68
466,1277.31,612536.98
467,1055.11,613592.09
468,1631.51,615223.60
469,1975.81,617199.41
470,1475.31,618674.72
471,1481.91,620156.62
472,1024.31,621180.93
473,930.81,622111.74
474,493.01,622604.75
475,1937.31,624542.06
476,1324.61,625866.66
477,1982.41,627849.07
478,834.01,628683.08
479,1609.51,630292.59
480,726.21,631018.80
481,1982.41,633001.20
482,1589.71,634590.91
483,1982.41,636573.32
484,1461.01,638034.33
485,890.11,638924.44
486,684.41,639608.84
487,1589.71,641198.55
488,1356.51,642555.06
489,1381.81,643936.87
490,1982.41,645919.28
491,1639.21,647558.48
492,1982.41,649540.89
493,664.61,650205.50
494,1315.81,651521.31
495,1149.71,652671.02
496,1558.91,654229.93
497,677.81,654907.73
498,728.41,655636.14
499,997.91,656634.05
500,1982.41,658616.46
501,1982.41,660598.87
