
Training on cuda | logs -> training_logs/run_seed42_config2 (2)_resumed_20260522_214043
Config: ..\..\configs\config2 (2).yaml
Episodes: 0 -> ...
Steps: 0 -> 150000

No accuracy CSV at training_logs/run_seed41_config3_fresh_20260522_170933/accuracy_final.csv — starting fresh.
Episode     0 | Steps:      37 | Reward:   1.197 | Avg(100):   1.197 | Entropy: 0.1000 | Acc: 23.7% (9+ 29-) | Lifetime: 23.7%
Episode     1 | Steps:      62 | Reward:   2.000 | Avg(100):   1.598 | Entropy: 0.1000 | Acc: 32.0% (8+ 17-) | Lifetime: 27.0%
Episode     2 | Steps:      93 | Reward:  -0.801 | Avg(100):   0.799 | Entropy: 0.1000 | Acc: 19.4% (6+ 25-) | Lifetime: 24.5%
Episode     3 | Steps:     124 | Reward:  -0.801 | Avg(100):   0.399 | Entropy: 0.1000 | Acc: 22.6% (7+ 24-) | Lifetime: 24.0%
Episode     4 | Steps:     140 | Reward:  -0.502 | Avg(100):   0.219 | Entropy: 0.1000 | Acc: 18.8% (3+ 13-) | Lifetime: 23.4%
Episode     5 | Steps:     166 | Reward:   1.301 | Avg(100):   0.399 | Entropy: 0.1000 | Acc: 30.8% (8+ 18-) | Lifetime: 24.6%
Episode     6 | Steps:     191 | Reward:  -0.301 | Avg(100):   0.299 | Entropy: 0.1000 | Acc: 24.0% (6+ 19-) | Lifetime: 24.5%
Episode     7 | Steps:     227 | Reward:  -0.503 | Avg(100):   0.199 | Entropy: 0.1000 | Acc: 16.7% (6+ 30-) | Lifetime: 23.2%
Episode     8 | Steps:     268 | Reward:  -0.102 | Avg(100):   0.165 | Entropy: 0.0999 | Acc: 19.5% (8+ 33-) | Lifetime: 22.7%
Episode     9 | Steps:     324 | Reward:  -3.604 | Avg(100):  -0.212 | Entropy: 0.0999 | Acc: 12.5% (7+ 49-) | Lifetime: 20.9%
Episode    10 | Steps:     375 | Reward:  -5.304 | Avg(100):  -0.674 | Entropy: 0.0999 | Acc: 7.8% (4+ 47-) | Lifetime: 19.1%
Episode    11 | Steps:     405 | Reward:  -0.602 | Avg(100):  -0.668 | Entropy: 0.0999 | Acc: 20.0% (6+ 24-) | Lifetime: 19.2%
Episode    12 | Steps:     440 | Reward:   0.198 | Avg(100):  -0.602 | Entropy: 0.0999 | Acc: 28.6% (10+ 25-) | Lifetime: 20.0%
Episode    13 | Steps:     472 | Reward:  -0.102 | Avg(100):  -0.566 | Entropy: 0.0999 | Acc: 21.9% (7+ 25-) | Lifetime: 20.1%
  [Step 500] Action dist: A0:21% | A1:15% | A2:19% | A3:20% | A4:26%
Episode    14 | Steps:     505 | Reward:  -1.900 | Avg(100):  -0.655 | Entropy: 0.0999 | Acc: 21.2% (7+ 26-) | Lifetime: 20.2%
Episode    15 | Steps:     539 | Reward:  -2.001 | Avg(100):  -0.739 | Entropy: 0.0997 | Acc: 17.6% (6+ 28-) | Lifetime: 20.0%
Episode    16 | Steps:     570 | Reward:   0.398 | Avg(100):  -0.672 | Entropy: 0.0997 | Acc: 22.6% (7+ 24-) | Lifetime: 20.1%
Episode    17 | Steps:     605 | Reward:  -3.204 | Avg(100):  -0.813 | Entropy: 0.0997 | Acc: 8.6% (3+ 32-) | Lifetime: 19.5%
Episode    18 | Steps:     644 | Reward:  -1.603 | Avg(100):  -0.854 | Entropy: 0.0997 | Acc: 15.4% (6+ 33-) | Lifetime: 19.2%
Episode    19 | Steps:     678 | Reward:  -0.002 | Avg(100):  -0.812 | Entropy: 0.0997 | Acc: 20.6% (7+ 27-) | Lifetime: 19.3%
Episode    20 | Steps:     695 | Reward:  -0.402 | Avg(100):  -0.792 | Entropy: 0.0997 | Acc: 17.6% (3+ 14-) | Lifetime: 19.3%
Episode    21 | Steps:     728 | Reward:   1.199 | Avg(100):  -0.702 | Entropy: 0.0997 | Acc: 33.3% (11+ 22-) | Lifetime: 19.9%
Episode    22 | Steps:     771 | Reward:  -1.303 | Avg(100):  -0.728 | Entropy: 0.0996 | Acc: 16.3% (7+ 36-) | Lifetime: 19.7%
Episode    23 | Steps:     803 | Reward:   0.298 | Avg(100):  -0.685 | Entropy: 0.0996 | Acc: 25.0% (8+ 24-) | Lifetime: 19.9%
Episode    24 | Steps:     844 | Reward:  -3.703 | Avg(100):  -0.806 | Entropy: 0.0996 | Acc: 12.2% (5+ 36-) | Lifetime: 19.5%
Episode    25 | Steps:     876 | Reward:   0.000 | Avg(100):  -0.775 | Entropy: 0.0996 | Acc: 28.1% (9+ 23-) | Lifetime: 19.8%
Episode    26 | Steps:     905 | Reward:  -2.001 | Avg(100):  -0.820 | Entropy: 0.0996 | Acc: 17.2% (5+ 24-) | Lifetime: 19.8%
