
Training on cuda | logs -> training_logs/run_seed42_config9 (2)_fresh_20260527_040912
Config: ..\..\configs\config9 (2).yaml
Episodes: 0 -> ...
Steps: 0 -> 150000

Episode    37 | Steps:    1131 | Reward:  -0.303 | Avg(100):  -0.665 | Entropy: 0.0995 | Acc: 15.6% (5+ 27-) | Lifetime: 18.8%
Episode    38 | Steps:    1168 | Reward:  -1.304 | Avg(100):  -0.682 | Entropy: 0.0994 | Acc: 11.1% (4+ 32-) | Lifetime: 18.6%
Episode    39 | Steps:    1204 | Reward:  -3.404 | Avg(100):  -0.750 | Entropy: 0.0994 | Acc: 8.3% (3+ 33-) | Lifetime: 18.3%
Episode    40 | Steps:    1232 | Reward:  -2.201 | Avg(100):  -0.785 | Entropy: 0.0994 | Acc: 10.7% (3+ 25-) | Lifetime: 18.1%
Episode    41 | Steps:    1262 | Reward:   1.098 | Avg(100):  -0.740 | Entropy: 0.0994 | Acc: 23.3% (7+ 23-) | Lifetime: 18.2%
Episode    42 | Steps:    1288 | Reward:   0.697 | Avg(100):  -0.707 | Entropy: 0.0993 | Acc: 19.2% (5+ 21-) | Lifetime: 18.2%
Episode    43 | Steps:    1310 | Reward:   1.800 | Avg(100):  -0.650 | Entropy: 0.0993 | Acc: 31.8% (7+ 15-) | Lifetime: 18.5%
Episode    44 | Steps:    1338 | Reward:   1.498 | Avg(100):  -0.602 | Entropy: 0.0993 | Acc: 28.6% (8+ 20-) | Lifetime: 18.7%
Episode    45 | Steps:    1351 | Reward:  -1.700 | Avg(100):  -0.626 | Entropy: 0.0993 | Acc: 15.4% (2+ 11-) | Lifetime: 18.7%
Episode    46 | Steps:    1376 | Reward:   0.498 | Avg(100):  -0.602 | Entropy: 0.0993 | Acc: 24.0% (6+ 19-) | Lifetime: 18.8%
Episode    47 | Steps:    1399 | Reward:   2.598 | Avg(100):  -0.535 | Entropy: 0.0993 | Acc: 34.8% (8+ 15-) | Lifetime: 19.0%
Episode    48 | Steps:    1423 | Reward:  -3.202 | Avg(100):  -0.590 | Entropy: 0.0992 | Acc: 4.2% (1+ 23-) | Lifetime: 18.8%
Episode    49 | Steps:    1456 | Reward:  -0.903 | Avg(100):  -0.596 | Entropy: 0.0992 | Acc: 15.6% (5+ 27-) | Lifetime: 18.7%
Episode    50 | Steps:    1470 | Reward:   4.599 | Avg(100):  -0.494 | Entropy: 0.0992 | Acc: 50.0% (7+ 7-) | Lifetime: 19.0%
  [Step 1500] Action dist: A0:11% | A1:20% | A2:38% | A3:9% | A4:22%
Episode    51 | Steps:    1503 | Reward:  -2.303 | Avg(100):  -0.529 | Entropy: 0.0992 | Acc: 12.5% (4+ 28-) | Lifetime: 18.9%
Episode    52 | Steps:    1531 | Reward:   0.797 | Avg(100):  -0.504 | Entropy: 0.0992 | Acc: 17.9% (5+ 23-) | Lifetime: 18.8%
Episode    53 | Steps:    1559 | Reward:   0.598 | Avg(100):  -0.484 | Entropy: 0.0992 | Acc: 21.4% (6+ 22-) | Lifetime: 18.9%
Episode    54 | Steps:    1578 | Reward:  -1.602 | Avg(100):  -0.504 | Entropy: 0.0992 | Acc: 11.1% (2+ 16-) | Lifetime: 18.8%
Episode    55 | Steps:    1604 | Reward:   1.998 | Avg(100):  -0.459 | Entropy: 0.0992 | Acc: 23.1% (6+ 20-) | Lifetime: 18.9%
Episode    56 | Steps:    1639 | Reward:  -3.603 | Avg(100):  -0.514 | Entropy: 0.0992 | Acc: 8.6% (3+ 32-) | Lifetime: 18.6%
Episode    57 | Steps:    1661 | Reward:   0.299 | Avg(100):  -0.500 | Entropy: 0.0992 | Acc: 27.3% (6+ 16-) | Lifetime: 18.8%
Episode    58 | Steps:    1699 | Reward:  -1.102 | Avg(100):  -0.511 | Entropy: 0.0991 | Acc: 18.4% (7+ 31-) | Lifetime: 18.8%
Episode    59 | Steps:    1731 | Reward:  -1.203 | Avg(100):  -0.522 | Entropy: 0.0991 | Acc: 19.4% (6+ 25-) | Lifetime: 18.8%
Episode    60 | Steps:    1762 | Reward:  -0.703 | Avg(100):  -0.525 | Entropy: 0.0991 | Acc: 16.1% (5+ 26-) | Lifetime: 18.7%
Episode    61 | Steps:    1792 | Reward:   0.697 | Avg(100):  -0.505 | Entropy: 0.0990 | Acc: 20.0% (6+ 24-) | Lifetime: 18.7%
Episode    62 | Steps:    1818 | Reward:   0.899 | Avg(100):  -0.483 | Entropy: 0.0990 | Acc: 23.1% (6+ 20-) | Lifetime: 18.8%
Episode    63 | Steps:    1850 | Reward:  -2.003 | Avg(100):  -0.507 | Entropy: 0.0990 | Acc: 12.5% (4+ 28-) | Lifetime: 18.7%
Episode    64 | Steps:    1876 | Reward:  -0.501 | Avg(100):  -0.507 | Entropy: 0.0990 | Acc: 19.2% (5+ 21-) | Lifetime: 18.7%
Episode    65 | Steps:    1906 | Reward:  -1.003 | Avg(100):  -0.514 | Entropy: 0.0990 | Acc: 17.2% (5+ 24-) | Lifetime: 18.7%
Episode    66 | Steps:    1936 | Reward:  -1.801 | Avg(100):  -0.533 | Entropy: 0.0990 | Acc: 20.0% (6+ 24-) | Lifetime: 18.7%
Episode    67 | Steps:    1957 | Reward:  -0.802 | Avg(100):  -0.537 | Entropy: 0.0990 | Acc: 14.3% (3+ 18-) | Lifetime: 18.7%
Episode    68 | Steps:    1978 | Reward:   1.200 | Avg(100):  -0.512 | Entropy: 0.0990 | Acc: 33.3% (7+ 14-) | Lifetime: 18.8%
  [Step 2000] Action dist: A0:11% | A1:20% | A2:34% | A3:9% | A4:26%
Episode    69 | Steps:    2010 | Reward:  -1.003 | Avg(100):  -0.519 | Entropy: 0.0990 | Acc: 9.4% (3+ 29-) | Lifetime: 18.7%
Episode    70 | Steps:    2044 | Reward:   0.597 | Avg(100):  -0.504 | Entropy: 0.0990 | Acc: 21.2% (7+ 26-) | Lifetime: 18.7%
Episode    71 | Steps:    2053 | Reward:  -0.701 | Avg(100):  -0.506 | Entropy: 0.0989 | Acc: 11.1% (1+ 8-) | Lifetime: 18.7%
Episode    72 | Steps:    2086 | Reward:  -2.802 | Avg(100):  -0.538 | Entropy: 0.0989 | Acc: 15.6% (5+ 27-) | Lifetime: 18.6%
Episode    73 | Steps:    2117 | Reward:   1.097 | Avg(100):  -0.516 | Entropy: 0.0989 | Acc: 22.6% (7+ 24-) | Lifetime: 18.7%
Episode    74 | Steps:    2123 | Reward:  -1.101 | Avg(100):  -0.523 | Entropy: 0.0989 | Acc: 0.0% (0+ 6-) | Lifetime: 18.6%
Episode    75 | Steps:    2156 | Reward:  -0.302 | Avg(100):  -0.520 | Entropy: 0.0989 | Acc: 18.2% (6+ 27-) | Lifetime: 18.6%
Episode    76 | Steps:    2163 | Reward:  -0.701 | Avg(100):  -0.523 | Entropy: 0.0989 | Acc: 14.3% (1+ 6-) | Lifetime: 18.6%
Episode    77 | Steps:    2190 | Reward:  -0.302 | Avg(100):  -0.520 | Entropy: 0.0988 | Acc: 18.5% (5+ 22-) | Lifetime: 18.6%
Episode    78 | Steps:    2219 | Reward:   0.697 | Avg(100):  -0.505 | Entropy: 0.0988 | Acc: 17.2% (5+ 24-) | Lifetime: 18.6%
Episode    79 | Steps:    2251 | Reward:   1.597 | Avg(100):  -0.478 | Entropy: 0.0988 | Acc: 18.8% (6+ 26-) | Lifetime: 18.6%
Episode    80 | Steps:    2274 | Reward:   0.899 | Avg(100):  -0.461 | Entropy: 0.0988 | Acc: 26.1% (6+ 17-) | Lifetime: 18.7%
