
Training on cuda | logs -> training_logs/run_seed42_config4 (2)_fresh_20260527_003658
Config: ..\..\configs\config4 (2).yaml
Episodes: 0 -> ...
Steps: 0 -> 150000

Episode     0 | Steps:      27 | Reward:   1.498 | Avg(100):   1.498 | Entropy: 0.1000 | Acc: 28.6% (8+ 20-) | Lifetime: 28.6%
Episode     1 | Steps:      55 | Reward:  -0.601 | Avg(100):   0.449 | Entropy: 0.1000 | Acc: 21.4% (6+ 22-) | Lifetime: 25.0%
Episode     2 | Steps:      84 | Reward:   0.298 | Avg(100):   0.398 | Entropy: 0.1000 | Acc: 20.7% (6+ 23-) | Lifetime: 23.5%
Episode     3 | Steps:     118 | Reward:  -3.001 | Avg(100):  -0.451 | Entropy: 0.1000 | Acc: 15.2% (5+ 28-) | Lifetime: 21.2%
Episode     4 | Steps:     161 | Reward:  -3.004 | Avg(100):  -0.962 | Entropy: 0.1000 | Acc: 14.3% (6+ 36-) | Lifetime: 19.4%
Episode     5 | Steps:     196 | Reward:   0.197 | Avg(100):  -0.769 | Entropy: 0.1000 | Acc: 17.1% (6+ 29-) | Lifetime: 19.0%
Episode     6 | Steps:     230 | Reward:   0.597 | Avg(100):  -0.574 | Entropy: 0.1000 | Acc: 20.6% (7+ 27-) | Lifetime: 19.2%
Episode     7 | Steps:     258 | Reward:   0.099 | Avg(100):  -0.490 | Entropy: 0.0999 | Acc: 25.0% (7+ 21-) | Lifetime: 19.8%
Episode     8 | Steps:     291 | Reward:  -0.403 | Avg(100):  -0.480 | Entropy: 0.0999 | Acc: 21.2% (7+ 26-) | Lifetime: 20.0%
Episode     9 | Steps:     338 | Reward:  -4.402 | Avg(100):  -0.872 | Entropy: 0.0999 | Acc: 10.6% (5+ 42-) | Lifetime: 18.7%
Episode    10 | Steps:     370 | Reward:  -0.103 | Avg(100):  -0.802 | Entropy: 0.0999 | Acc: 15.6% (5+ 27-) | Lifetime: 18.4%
Episode    11 | Steps:     402 | Reward:  -0.002 | Avg(100):  -0.736 | Entropy: 0.0999 | Acc: 21.9% (7+ 25-) | Lifetime: 18.7%
Episode    12 | Steps:     426 | Reward:  -0.899 | Avg(100):  -0.748 | Entropy: 0.0999 | Acc: 25.0% (6+ 18-) | Lifetime: 19.1%
Episode    13 | Steps:     452 | Reward:   1.797 | Avg(100):  -0.566 | Entropy: 0.0999 | Acc: 26.9% (7+ 19-) | Lifetime: 19.5%
Episode    14 | Steps:     482 | Reward:   1.597 | Avg(100):  -0.422 | Entropy: 0.0999 | Acc: 26.7% (8+ 22-) | Lifetime: 20.0%
  [Step 500] Action dist: A0:21% | A1:18% | A2:22% | A3:22% | A4:18%
Episode    15 | Steps:     521 | Reward:  -4.603 | Avg(100):  -0.683 | Entropy: 0.0997 | Acc: 7.7% (3+ 36-) | Lifetime: 19.0%
Episode    16 | Steps:     527 | Reward:   1.899 | Avg(100):  -0.532 | Entropy: 0.0997 | Acc: 50.0% (3+ 3-) | Lifetime: 19.4%
Episode    17 | Steps:     551 | Reward:   1.698 | Avg(100):  -0.408 | Entropy: 0.0997 | Acc: 25.0% (6+ 18-) | Lifetime: 19.6%
Episode    18 | Steps:     560 | Reward:  -1.200 | Avg(100):  -0.449 | Entropy: 0.0997 | Acc: 22.2% (2+ 7-) | Lifetime: 19.7%
Episode    19 | Steps:     586 | Reward:   0.199 | Avg(100):  -0.417 | Entropy: 0.0997 | Acc: 23.1% (6+ 20-) | Lifetime: 19.8%
Episode    20 | Steps:     609 | Reward:   2.198 | Avg(100):  -0.292 | Entropy: 0.0997 | Acc: 30.4% (7+ 16-) | Lifetime: 20.2%
Episode    21 | Steps:     640 | Reward:  -1.802 | Avg(100):  -0.361 | Entropy: 0.0997 | Acc: 16.1% (5+ 26-) | Lifetime: 20.0%
Episode    22 | Steps:     662 | Reward:  -0.200 | Avg(100):  -0.354 | Entropy: 0.0997 | Acc: 23.8% (5+ 16-) | Lifetime: 20.2%
Episode    23 | Steps:     667 | Reward:  -1.001 | Avg(100):  -0.381 | Entropy: 0.0997 | Acc: 0.0% (0+ 5-) | Lifetime: 20.0%
Episode    24 | Steps:     694 | Reward:   1.897 | Avg(100):  -0.290 | Entropy: 0.0997 | Acc: 22.2% (6+ 21-) | Lifetime: 20.1%
Episode    25 | Steps:     701 | Reward:  -0.601 | Avg(100):  -0.302 | Entropy: 0.0997 | Acc: 14.3% (1+ 6-) | Lifetime: 20.0%
Episode    26 | Steps:     730 | Reward:  -0.402 | Avg(100):  -0.306 | Entropy: 0.0997 | Acc: 17.2% (5+ 24-) | Lifetime: 19.9%
Episode    27 | Steps:     764 | Reward:  -1.603 | Avg(100):  -0.352 | Entropy: 0.0997 | Acc: 14.7% (5+ 29-) | Lifetime: 19.7%
Episode    28 | Steps:     769 | Reward:  -1.001 | Avg(100):  -0.374 | Entropy: 0.0996 | Acc: 0.0% (0+ 5-) | Lifetime: 19.6%
Episode    29 | Steps:     785 | Reward:   2.799 | Avg(100):  -0.268 | Entropy: 0.0996 | Acc: 37.5% (6+ 10-) | Lifetime: 19.9%
Episode    30 | Steps:     807 | Reward:   1.098 | Avg(100):  -0.224 | Entropy: 0.0996 | Acc: 27.3% (6+ 16-) | Lifetime: 20.1%
Episode    31 | Steps:     829 | Reward:   2.899 | Avg(100):  -0.127 | Entropy: 0.0996 | Acc: 38.1% (8+ 13-) | Lifetime: 20.6%
Episode    32 | Steps:     870 | Reward:  -2.903 | Avg(100):  -0.211 | Entropy: 0.0996 | Acc: 10.0% (4+ 36-) | Lifetime: 20.1%
Episode    33 | Steps:     900 | Reward:  -0.203 | Avg(100):  -0.211 | Entropy: 0.0996 | Acc: 20.0% (6+ 24-) | Lifetime: 20.1%
Episode    34 | Steps:     928 | Reward:   1.397 | Avg(100):  -0.165 | Entropy: 0.0996 | Acc: 21.4% (6+ 22-) | Lifetime: 20.1%
Episode    35 | Steps:     958 | Reward:  -0.503 | Avg(100):  -0.174 | Entropy: 0.0996 | Acc: 16.7% (5+ 25-) | Lifetime: 20.0%
Episode    36 | Steps:     980 | Reward:   1.298 | Avg(100):  -0.134 | Entropy: 0.0996 | Acc: 27.3% (6+ 16-) | Lifetime: 20.2%
  [Step 1000] Action dist: A0:14% | A1:15% | A2:27% | A3:22% | A4:23%
Episode    37 | Steps:    1015 | Reward:  -2.104 | Avg(100):  -0.186 | Entropy: 0.0996 | Acc: 14.3% (5+ 30-) | Lifetime: 20.0%
Episode    38 | Steps:    1041 | Reward:   0.997 | Avg(100):  -0.156 | Entropy: 0.0995 | Acc: 23.1% (6+ 20-) | Lifetime: 20.1%
Episode    39 | Steps:    1068 | Reward:   0.799 | Avg(100):  -0.132 | Entropy: 0.0995 | Acc: 25.9% (7+ 20-) | Lifetime: 20.2%
Episode    40 | Steps:    1103 | Reward:  -1.904 | Avg(100):  -0.175 | Entropy: 0.0995 | Acc: 11.4% (4+ 31-) | Lifetime: 19.9%
Episode    41 | Steps:    1140 | Reward:  -1.704 | Avg(100):  -0.212 | Entropy: 0.0995 | Acc: 8.3% (3+ 33-) | Lifetime: 19.6%
Episode    42 | Steps:    1167 | Reward:   0.497 | Avg(100):  -0.195 | Entropy: 0.0995 | Acc: 22.2% (6+ 21-) | Lifetime: 19.6%
Episode    43 | Steps:    1192 | Reward:   2.597 | Avg(100):  -0.132 | Entropy: 0.0995 | Acc: 25.0% (6+ 18-) | Lifetime: 19.7%
Episode    44 | Steps:    1220 | Reward:  -2.002 | Avg(100):  -0.173 | Entropy: 0.0995 | Acc: 14.3% (4+ 24-) | Lifetime: 19.6%
Episode    45 | Steps:    1246 | Reward:  -0.502 | Avg(100):  -0.180 | Entropy: 0.0995 | Acc: 19.2% (5+ 21-) | Lifetime: 19.6%
Episode    46 | Steps:    1281 | Reward:  -2.401 | Avg(100):  -0.228 | Entropy: 0.0993 | Acc: 17.1% (6+ 29-) | Lifetime: 19.5%
Episode    47 | Steps:    1302 | Reward:  -0.802 | Avg(100):  -0.240 | Entropy: 0.0993 | Acc: 9.5% (2+ 19-) | Lifetime: 19.4%
Episode    48 | Steps:    1326 | Reward:  -0.302 | Avg(100):  -0.241 | Entropy: 0.0993 | Acc: 16.7% (4+ 20-) | Lifetime: 19.3%
Episode    49 | Steps:    1344 | Reward:   1.300 | Avg(100):  -0.210 | Entropy: 0.0993 | Acc: 33.3% (6+ 12-) | Lifetime: 19.5%
Episode    50 | Steps:    1362 | Reward:   5.299 | Avg(100):  -0.102 | Entropy: 0.0993 | Acc: 50.0% (9+ 9-) | Lifetime: 19.9%
Episode    51 | Steps:    1388 | Reward:   1.697 | Avg(100):  -0.067 | Entropy: 0.0993 | Acc: 19.2% (5+ 21-) | Lifetime: 19.9%
Episode    52 | Steps:    1415 | Reward:   0.797 | Avg(100):  -0.051 | Entropy: 0.0993 | Acc: 19.2% (5+ 21-) | Lifetime: 19.9%
Episode    53 | Steps:    1444 | Reward:   0.698 | Avg(100):  -0.037 | Entropy: 0.0993 | Acc: 20.7% (6+ 23-) | Lifetime: 19.9%
Episode    54 | Steps:    1446 | Reward:   0.300 | Avg(100):  -0.031 | Entropy: 0.0993 | Acc: 50.0% (1+ 1-) | Lifetime: 19.9%
Episode    55 | Steps:    1469 | Reward:   1.998 | Avg(100):   0.005 | Entropy: 0.0993 | Acc: 21.7% (5+ 18-) | Lifetime: 20.0%
Episode    56 | Steps:    1472 | Reward:   0.100 | Avg(100):   0.007 | Entropy: 0.0993 | Acc: 33.3% (1+ 2-) | Lifetime: 20.0%
  [Step 1500] Action dist: A0:8% | A1:11% | A2:43% | A3:17% | A4:22%
Episode    57 | Steps:    1504 | Reward:  -2.202 | Avg(100):  -0.031 | Entropy: 0.0993 | Acc: 9.4% (3+ 29-) | Lifetime: 19.8%
Episode    58 | Steps:    1533 | Reward:  -2.102 | Avg(100):  -0.066 | Entropy: 0.0993 | Acc: 13.8% (4+ 25-) | Lifetime: 19.7%
Episode    59 | Steps:    1545 | Reward:  -0.401 | Avg(100):  -0.072 | Entropy: 0.0992 | Acc: 16.7% (2+ 10-) | Lifetime: 19.6%
Episode    60 | Steps:    1560 | Reward:   0.599 | Avg(100):  -0.061 | Entropy: 0.0992 | Acc: 26.7% (4+ 11-) | Lifetime: 19.7%
Episode    61 | Steps:    1587 | Reward:  -0.400 | Avg(100):  -0.066 | Entropy: 0.0992 | Acc: 25.9% (7+ 20-) | Lifetime: 19.8%
