Step,Reward
26,-0.2027
53,0.2973
77,-1.9969
112,-5.0010
122,-2.0010
151,-2.0029
180,-2.8024
209,-3.7019
247,-4.3038
281,-3.8029
319,-4.6023
361,-5.1042
403,-4.2037
431,-0.9023
463,-3.6032
505,-5.2027
534,-3.8004
561,0.6983
586,-2.5010
615,-0.7019
651,-4.9026
701,-5.8045
734,-2.0003
765,0.4969
803,-2.2028
813,-0.6010
825,-0.5012
880,-8.5045
904,0.0991
933,-0.2014
961,2.1977
972,-0.8011
999,-2.0002
1028,-1.6019
1057,-0.9999
1098,-3.2041
1133,-3.2035
1152,1.1981
1192,-4.7030
1233,-2.6021
1258,0.8985
1288,-2.5030
1313,1.4995
1345,-1.0017
1367,1.2978
1385,2.0987
1407,1.4993
1433,-0.5021
1462,-0.2014
1476,-1.4014
1504,-1.4013
1535,-2.8006
1569,-1.6024
1596,-0.0012
1627,-4.1031
1648,-0.7996
1680,-3.6032
1709,-1.3029
1739,-3.0995
1756,-1.3012
1781,0.8980
1817,-5.2016
1851,-3.4014
1857,-0.5006
1887,-3.2030
1916,-0.8029
1945,1.7981
1949,-0.8004
1978,-2.1009
2009,-2.9031
2038,-0.2014
2072,-3.6024
2099,-2.6017
2123,0.3976
2156,-3.8018
2163,-0.7007
2190,-0.7017
2218,1.0972
2251,-2.1033
2266,1.2000
2295,-4.4029
2305,-0.6010
2328,1.5977
2360,-3.6027
2389,0.2996
2418,-1.8029
2442,-0.1014
2446,-0.8004
2474,-1.1018
2504,-3.5000
2532,-1.6023
2561,-2.3009
2584,1.4987
2614,-1.0030
2643,-0.9019
2671,-0.9028
2702,-4.1031
2721,3.9981
2743,1.7978
2768,-1.0020
2804,-3.2036
2834,-1.6015
2856,-0.7012
2877,1.1984
2908,-2.8026
2936,-1.4023
2967,-2.9031
2992,0.1985
3013,1.6979
3041,1.2977
3072,0.1979
3095,2.4977
3104,-1.1009
3129,2.0980
3155,-1.5011
3183,-0.2028
3186,-0.6003
3209,2.7977
3236,1.4973
3239,0.0997
3263,-0.1019
3272,0.7991
3293,2.3984
3316,-0.8023
3344,0.2977
3370,-1.5011
3395,-1.0025
3421,1.1974
3448,-3.3017
3474,0.4974
3497,1.0987
3522,0.3990
3547,1.0980
3580,-2.4033
3606,-1.7021
3623,5.6983
3641,1.0982
3669,-0.0018
3696,-1.4027
3731,-4.2030
3754,0.5977
3784,-2.9030
3814,-0.8025
3833,1.7996
3855,1.6978
3882,-1.9017
3916,-5.2024
3945,-2.6009
3970,-1.0025
3996,-1.0016
3999,-0.6003
4030,-1.1016
4050,4.7990
4079,1.7981
4101,2.9978
4126,0.6975
4161,-2.8030
4171,1.8000
4195,0.7981
4218,1.0977
4247,-2.6009
4274,-0.7007
4302,-0.0018
4325,0.0982
4344,2.2991
4359,2.3995
4382,1.7977
4407,1.3975
4425,3.2982
4451,1.1984
4475,-1.1014
4495,1.1980
4526,0.3969
4543,3.1993
4568,-0.5025
4589,-0.4011
4617,1.2972
4642,1.8975
4669,-2.1022
4695,1.8974
4722,-2.6022
4744,1.9978
4764,0.6990
4771,-0.7007
4796,1.3985
4823,-1.6027
4849,1.8974
4874,-1.8000
4912,-3.6028
4926,-1.2004
4946,2.6980
4968,0.5978
4992,0.6976
5005,2.3987
5028,2.4982
5055,-0.7017
5081,0.6974
5103,0.5978
5128,-0.5025
5149,2.8979
5164,3.8995
5187,-0.1023
5218,-3.4026
5246,0.2987
5266,1.2000
5295,-2.5999
5319,0.8976
5344,0.1985
5353,-1.1009
5387,-2.3034
5405,2.2997
5426,-0.0006
5453,0.2978
5474,0.2979
5497,1.1992
5519,-0.4012
5545,-1.5006
5574,-1.1014
5599,-1.0015
5622,-0.9008
5645,0.5987
5671,-2.7021
5712,-5.6041
5725,1.8987
5764,-5.9039
5777,-1.4013
5807,-2.2030
5831,-1.4004
5858,1.6973
5887,-2.3014
