Step,Reward
26,-0.2027
53,0.2973
77,-1.9969
112,-5.0010
122,-2.0010
150,-0.7018
183,-2.9028
214,-2.4031
246,-1.7027
278,-1.3017
325,-5.7037
356,-1.0021
380,-0.3999
407,-0.5007
434,0.3983
450,-1.3016
472,1.4983
504,-0.0027
536,-3.2007
544,-1.6008
562,0.7997
589,-0.7007
616,-2.2007
647,-4.6026
667,-3.1020
688,4.3979
718,-3.7020
748,-2.1000
773,-1.1980
804,-2.7031
818,3.5996
863,-5.5035
893,-0.6020
919,-0.7026
941,1.1993
970,-2.5029
1004,-0.9024
1029,3.0975
1055,-1.5006
1088,-2.6033
1118,-2.6005
1150,-2.2027
1170,3.0990
1201,-4.6026
1206,0.8995
1242,-3.4036
1278,-4.7026
1317,-4.4034
1357,-4.0040
1376,4.7981
1384,-0.2008
1400,2.1999
1429,-2.8019
1457,0.9987
1485,-2.1028
1509,-1.6014
1533,-0.1009
1566,-3.8023
1597,-2.5026
1623,0.4979
1655,-3.2017
1680,-0.5995
1705,-0.1010
1727,1.1998
1733,0.6994
1744,-2.2011
1759,-1.6010
1791,-2.4032
1814,0.2012
1830,-2.5016
1853,0.2992
1874,-0.0011
1892,-1.7018
1922,-2.2030
1956,-1.6029
1981,-1.7995
1992,-0.1011
2017,0.1985
2045,0.5972
2065,-0.5005
2091,0.2974
2134,-7.7033
2166,-3.1032
2187,0.6994
2220,-3.1033
2247,-3.1017
2266,1.8981
2285,0.4001
2288,0.0997
2307,2.3001
2332,1.1975
2359,0.4983
2393,-4.0029
2427,-2.1034
2451,0.1976
2482,-3.0021
2505,1.7977
2527,1.4978
2533,0.6994
2544,-2.0001
2569,0.5990
2601,-1.9032
2627,-2.4016
2655,-1.2023
2680,-0.7025
2702,2.7978
2725,-0.1993
2755,-3.4020
2780,2.5980
2807,0.9978
2839,-2.9022
2865,-0.7026
2895,-0.8030
2925,-2.5020
2943,2.9997
2945,0.2998
2966,0.3994
2990,2.0976
3016,1.1984
3043,-2.6027
3070,-2.4012
3102,-3.4022
3128,-0.5026
3155,-2.2017
3186,-1.5031
3190,-0.8004
3208,1.3987
3236,-0.7018
3270,-2.3029
3296,-1.5016
3325,-1.8024
3349,1.0986
3375,-2.4021
3406,-3.2021
3425,1.0996
3431,-1.2006
3452,1.1994
3469,-1.3012
3487,-0.1008
3506,1.3981
3523,3.2983
3545,0.6998
3567,-0.4012
3592,-1.5015
3609,2.9993
3622,-1.4013
3642,1.3985
3664,-0.2012
3688,0.8001
3701,0.8992
3721,2.3980
3752,-2.7026
3783,-0.3031
3803,3.0990
3825,2.6978
3840,5.0985
3862,2.1983
3888,-0.2021
3908,-0.0020
3929,0.1999
3960,-2.2026
3988,1.2972
4009,-0.1001
4035,-1.0021
4058,0.0987
4086,-3.3998
4107,4.5989
4114,-1.4007
4139,-0.4005
4170,-2.2031
4186,3.1994
4209,0.5977
4229,-1.0000
4260,0.1969
4290,-3.0025
4314,1.0981
4342,2.4972
4356,0.6021
4381,0.3975
4404,1.7977
4434,-1.3030
4463,-1.1029
4489,-1.0006
4510,3.0989
4530,0.3990
4562,-5.1002
4585,-2.3013
4606,0.1994
4644,-3.8038
4660,1.4994
4688,-0.9023
4710,-0.2017
4740,-0.8015
4743,0.0997
4770,0.4983
4795,0.1000
4814,2.2996
4846,-2.0017
4881,-3.9035
4910,-0.7014
4931,1.4979
4940,0.5991
4965,-0.6020
4986,0.6989
5010,0.8981
5044,-2.6034
5062,0.3992
5076,5.4996
5097,2.1979
5115,3.6997
5139,1.3976
5168,1.0971
5201,-2.5013
5224,1.7002
5241,4.6993
5262,3.3979
5279,1.0008
5305,-1.0006
5329,1.5006
5345,1.1999
5369,1.0986
5401,-4.1022
5419,2.7987
5434,2.6995
5460,-1.9016
5487,-0.4017
5515,-1.6013
5542,-1.1027
5557,3.6000
5573,4.5994
5595,0.9983
