
Training on cuda | logs -> training_logs/run_seed41_config2_fresh_20260522_170927
Config: ..\..\configs\config2.yaml
Episodes: 0 -> ...
Steps: 0 -> 100000

Episode     0 | Steps:      40 | Reward:   0.097 | Avg(100):   0.097 | Entropy: 0.1000 | Acc: 17.1% (7+ 34-) | Lifetime: 17.1%
Episode     1 | Steps:      81 | Reward:   0.098 | Avg(100):   0.097 | Entropy: 0.1000 | Acc: 19.5% (8+ 33-) | Lifetime: 18.3%
Episode     2 | Steps:     111 | Reward:   1.798 | Avg(100):   0.664 | Entropy: 0.1000 | Acc: 26.7% (8+ 22-) | Lifetime: 20.5%
Episode     3 | Steps:     143 | Reward:  -0.902 | Avg(100):   0.273 | Entropy: 0.1000 | Acc: 21.9% (7+ 25-) | Lifetime: 20.8%
Episode     4 | Steps:     177 | Reward:  -0.201 | Avg(100):   0.178 | Entropy: 0.1000 | Acc: 23.5% (8+ 26-) | Lifetime: 21.3%
Episode     5 | Steps:     239 | Reward:  -6.004 | Avg(100):  -0.852 | Entropy: 0.1000 | Acc: 11.3% (7+ 55-) | Lifetime: 18.8%
Episode     6 | Steps:     274 | Reward:  -0.502 | Avg(100):  -0.802 | Entropy: 0.0998 | Acc: 22.9% (8+ 27-) | Lifetime: 19.3%
Episode     7 | Steps:     322 | Reward:  -3.303 | Avg(100):  -1.115 | Entropy: 0.0998 | Acc: 16.7% (8+ 40-) | Lifetime: 18.9%
Episode     8 | Steps:     371 | Reward:  -1.604 | Avg(100):  -1.169 | Entropy: 0.0998 | Acc: 14.3% (7+ 42-) | Lifetime: 18.3%
Episode     9 | Steps:     420 | Reward:  -4.304 | Avg(100):  -1.483 | Entropy: 0.0998 | Acc: 12.2% (6+ 43-) | Lifetime: 17.6%
Episode    10 | Steps:     458 | Reward:  -3.303 | Avg(100):  -1.648 | Entropy: 0.0998 | Acc: 10.5% (4+ 34-) | Lifetime: 17.0%
Episode    11 | Steps:     495 | Reward:  -1.700 | Avg(100):  -1.652 | Entropy: 0.0998 | Acc: 24.3% (9+ 28-) | Lifetime: 17.5%
  [Step 500] Action dist: A0:24% | A1:21% | A2:12% | A3:25% | A4:18%
Episode    12 | Steps:     543 | Reward:   0.296 | Avg(100):  -1.503 | Entropy: 0.0996 | Acc: 18.8% (9+ 39-) | Lifetime: 17.6%
Episode    13 | Steps:     590 | Reward:  -3.903 | Avg(100):  -1.674 | Entropy: 0.0996 | Acc: 12.8% (6+ 41-) | Lifetime: 17.3%
Episode    14 | Steps:     636 | Reward:  -0.703 | Avg(100):  -1.609 | Entropy: 0.0996 | Acc: 19.6% (9+ 37-) | Lifetime: 17.4%
Episode    15 | Steps:     670 | Reward:   2.198 | Avg(100):  -1.371 | Entropy: 0.0996 | Acc: 26.5% (9+ 25-) | Lifetime: 17.9%
Episode    16 | Steps:     708 | Reward:  -0.502 | Avg(100):  -1.320 | Entropy: 0.0996 | Acc: 21.1% (8+ 30-) | Lifetime: 18.1%
Episode    17 | Steps:     736 | Reward:   1.499 | Avg(100):  -1.164 | Entropy: 0.0996 | Acc: 32.1% (9+ 19-) | Lifetime: 18.6%
Episode    18 | Steps:     765 | Reward:  -0.002 | Avg(100):  -1.102 | Entropy: 0.0996 | Acc: 20.7% (6+ 23-) | Lifetime: 18.7%
Episode    19 | Steps:     800 | Reward:  -0.403 | Avg(100):  -1.067 | Entropy: 0.0994 | Acc: 17.1% (6+ 29-) | Lifetime: 18.6%
Episode    20 | Steps:     847 | Reward:  -2.404 | Avg(100):  -1.131 | Entropy: 0.0994 | Acc: 14.9% (7+ 40-) | Lifetime: 18.4%
Episode    21 | Steps:     883 | Reward:  -1.503 | Avg(100):  -1.148 | Entropy: 0.0994 | Acc: 19.4% (7+ 29-) | Lifetime: 18.4%
Episode    22 | Steps:     933 | Reward:  -1.905 | Avg(100):  -1.181 | Entropy: 0.0994 | Acc: 18.0% (9+ 41-) | Lifetime: 18.4%
Episode    23 | Steps:     965 | Reward:   0.100 | Avg(100):  -1.128 | Entropy: 0.0994 | Acc: 25.0% (8+ 24-) | Lifetime: 18.6%
  [Step 1000] Action dist: A0:27% | A1:23% | A2:10% | A3:21% | A4:18%
Episode    24 | Steps:    1004 | Reward:  -1.702 | Avg(100):  -1.151 | Entropy: 0.0994 | Acc: 20.5% (8+ 31-) | Lifetime: 18.7%
Episode    25 | Steps:    1041 | Reward:  -1.001 | Avg(100):  -1.145 | Entropy: 0.0992 | Acc: 24.3% (9+ 28-) | Lifetime: 18.9%
Episode    26 | Steps:    1082 | Reward:  -2.903 | Avg(100):  -1.210 | Entropy: 0.0992 | Acc: 14.6% (6+ 35-) | Lifetime: 18.7%
Episode    27 | Steps:    1118 | Reward:  -0.904 | Avg(100):  -1.199 | Entropy: 0.0992 | Acc: 16.7% (6+ 30-) | Lifetime: 18.7%
Episode    28 | Steps:    1146 | Reward:   1.998 | Avg(100):  -1.089 | Entropy: 0.0992 | Acc: 28.6% (8+ 20-) | Lifetime: 18.9%
Episode    29 | Steps:    1170 | Reward:   0.301 | Avg(100):  -1.042 | Entropy: 0.0992 | Acc: 33.3% (8+ 16-) | Lifetime: 19.2%
Episode    30 | Steps:    1199 | Reward:   1.997 | Avg(100):  -0.944 | Entropy: 0.0992 | Acc: 27.6% (8+ 21-) | Lifetime: 19.4%
Episode    31 | Steps:    1225 | Reward:   2.998 | Avg(100):  -0.821 | Entropy: 0.0992 | Acc: 30.8% (8+ 18-) | Lifetime: 19.7%
Episode    32 | Steps:    1267 | Reward:  -2.503 | Avg(100):  -0.872 | Entropy: 0.0992 | Acc: 14.3% (6+ 36-) | Lifetime: 19.5%
Episode    33 | Steps:    1302 | Reward:   0.500 | Avg(100):  -0.832 | Entropy: 0.0990 | Acc: 25.7% (9+ 26-) | Lifetime: 19.6%
Episode    34 | Steps:    1333 | Reward:   0.500 | Avg(100):  -0.794 | Entropy: 0.0990 | Acc: 29.0% (9+ 22-) | Lifetime: 19.9%
Episode    35 | Steps:    1375 | Reward:  -1.804 | Avg(100):  -0.822 | Entropy: 0.0990 | Acc: 14.3% (6+ 36-) | Lifetime: 19.7%
Episode    36 | Steps:    1415 | Reward:  -3.602 | Avg(100):  -0.897 | Entropy: 0.0990 | Acc: 17.5% (7+ 33-) | Lifetime: 19.6%
Episode    37 | Steps:    1440 | Reward:   2.700 | Avg(100):  -0.802 | Entropy: 0.0990 | Acc: 40.0% (10+ 15-) | Lifetime: 20.0%
Episode    38 | Steps:    1474 | Reward:   0.197 | Avg(100):  -0.777 | Entropy: 0.0990 | Acc: 14.7% (5+ 29-) | Lifetime: 19.9%
  [Step 1500] Action dist: A0:19% | A1:23% | A2:18% | A3:20% | A4:21%
Episode    39 | Steps:    1516 | Reward:   0.297 | Avg(100):  -0.750 | Entropy: 0.0990 | Acc: 23.8% (10+ 32-) | Lifetime: 20.0%
Episode    40 | Steps:    1555 | Reward:  -1.401 | Avg(100):  -0.766 | Entropy: 0.0988 | Acc: 15.4% (6+ 33-) | Lifetime: 19.9%
Episode    41 | Steps:    1590 | Reward:  -0.402 | Avg(100):  -0.757 | Entropy: 0.0988 | Acc: 22.9% (8+ 27-) | Lifetime: 19.9%
Episode    42 | Steps:    1627 | Reward:  -1.102 | Avg(100):  -0.765 | Entropy: 0.0988 | Acc: 18.9% (7+ 30-) | Lifetime: 19.9%
Episode    43 | Steps:    1663 | Reward:  -0.501 | Avg(100):  -0.759 | Entropy: 0.0988 | Acc: 22.2% (8+ 28-) | Lifetime: 20.0%
