
Training on cuda | logs -> training_logs/run_seed41_config7_resumed_20260523_042238
Config: ..\..\configs\config7.yaml
Episodes: 0 -> ...
Steps: 0 -> 150000

No accuracy CSV at training_logs/run_seed41_config3_fresh_20260522_170933/accuracy_final.csv — starting fresh.
Episode     0 | Steps:      40 | Reward:   0.097 | Avg(100):   0.097 | Entropy: 0.0500 | Acc: 17.1% (7+ 34-) | Lifetime: 17.1%
Episode     1 | Steps:      81 | Reward:   0.098 | Avg(100):   0.097 | Entropy: 0.0500 | Acc: 19.5% (8+ 33-) | Lifetime: 18.3%
Episode     2 | Steps:     111 | Reward:   1.798 | Avg(100):   0.664 | Entropy: 0.0500 | Acc: 26.7% (8+ 22-) | Lifetime: 20.5%
Episode     3 | Steps:     143 | Reward:  -0.902 | Avg(100):   0.273 | Entropy: 0.0500 | Acc: 21.9% (7+ 25-) | Lifetime: 20.8%
Episode     4 | Steps:     177 | Reward:  -0.201 | Avg(100):   0.178 | Entropy: 0.0500 | Acc: 23.5% (8+ 26-) | Lifetime: 21.3%
Episode     5 | Steps:     239 | Reward:  -6.004 | Avg(100):  -0.852 | Entropy: 0.0500 | Acc: 11.3% (7+ 55-) | Lifetime: 18.8%
Episode     6 | Steps:     274 | Reward:  -0.503 | Avg(100):  -0.802 | Entropy: 0.0499 | Acc: 22.9% (8+ 27-) | Lifetime: 19.3%
Episode     7 | Steps:     322 | Reward:  -3.803 | Avg(100):  -1.177 | Entropy: 0.0499 | Acc: 16.7% (8+ 40-) | Lifetime: 18.9%
Episode     8 | Steps:     359 | Reward:   1.497 | Avg(100):  -0.880 | Entropy: 0.0499 | Acc: 21.6% (8+ 29-) | Lifetime: 19.2%
Episode     9 | Steps:     389 | Reward:   0.698 | Avg(100):  -0.722 | Entropy: 0.0499 | Acc: 30.0% (9+ 21-) | Lifetime: 20.0%
Episode    10 | Steps:     433 | Reward:  -4.503 | Avg(100):  -1.066 | Entropy: 0.0499 | Acc: 6.8% (3+ 41-) | Lifetime: 18.7%
Episode    11 | Steps:     471 | Reward:  -2.302 | Avg(100):  -1.169 | Entropy: 0.0499 | Acc: 15.8% (6+ 32-) | Lifetime: 18.4%
  [Step 500] Action dist: A0:22% | A1:20% | A2:12% | A3:26% | A4:19%
Episode    12 | Steps:     520 | Reward:  -1.904 | Avg(100):  -1.226 | Entropy: 0.0498 | Acc: 16.3% (8+ 41-) | Lifetime: 18.2%
Episode    13 | Steps:     558 | Reward:  -0.303 | Avg(100):  -1.160 | Entropy: 0.0498 | Acc: 18.4% (7+ 31-) | Lifetime: 18.2%
Episode    14 | Steps:     587 | Reward:  -1.002 | Avg(100):  -1.149 | Entropy: 0.0498 | Acc: 17.2% (5+ 24-) | Lifetime: 18.2%
Episode    15 | Steps:     623 | Reward:   1.998 | Avg(100):  -0.953 | Entropy: 0.0498 | Acc: 25.0% (9+ 27-) | Lifetime: 18.6%
Episode    16 | Steps:     666 | Reward:  -2.304 | Avg(100):  -1.032 | Entropy: 0.0498 | Acc: 14.0% (6+ 37-) | Lifetime: 18.3%
Episode    17 | Steps:     700 | Reward:  -1.502 | Avg(100):  -1.058 | Entropy: 0.0498 | Acc: 20.6% (7+ 27-) | Lifetime: 18.4%
Episode    18 | Steps:     741 | Reward:  -2.303 | Avg(100):  -1.124 | Entropy: 0.0498 | Acc: 12.2% (5+ 36-) | Lifetime: 18.1%
Episode    19 | Steps:     773 | Reward:   0.098 | Avg(100):  -1.063 | Entropy: 0.0498 | Acc: 21.9% (7+ 25-) | Lifetime: 18.2%
Episode    20 | Steps:     813 | Reward:  -1.704 | Avg(100):  -1.093 | Entropy: 0.0498 | Acc: 12.5% (5+ 35-) | Lifetime: 17.9%
Episode    21 | Steps:     839 | Reward:   0.798 | Avg(100):  -1.007 | Entropy: 0.0498 | Acc: 34.6% (9+ 17-) | Lifetime: 18.5%
Episode    22 | Steps:     864 | Reward:   2.598 | Avg(100):  -0.850 | Entropy: 0.0498 | Acc: 28.0% (7+ 18-) | Lifetime: 18.7%
Episode    23 | Steps:     899 | Reward:  -1.600 | Avg(100):  -0.882 | Entropy: 0.0498 | Acc: 25.7% (9+ 26-) | Lifetime: 19.0%
Episode    24 | Steps:     943 | Reward:  -3.203 | Avg(100):  -0.974 | Entropy: 0.0498 | Acc: 11.4% (5+ 39-) | Lifetime: 18.6%
Episode    25 | Steps:     970 | Reward:   1.201 | Avg(100):  -0.891 | Entropy: 0.0498 | Acc: 33.3% (9+ 18-) | Lifetime: 19.1%
Episode    26 | Steps:     998 | Reward:   1.499 | Avg(100):  -0.802 | Entropy: 0.0498 | Acc: 28.6% (8+ 20-) | Lifetime: 19.3%
  [Step 1000] Action dist: A0:21% | A1:21% | A2:12% | A3:21% | A4:25%
Episode    27 | Steps:    1032 | Reward:   1.298 | Avg(100):  -0.727 | Entropy: 0.0497 | Acc: 23.5% (8+ 26-) | Lifetime: 19.5%
Episode    28 | Steps:    1078 | Reward:  -2.304 | Avg(100):  -0.782 | Entropy: 0.0497 | Acc: 10.9% (5+ 41-) | Lifetime: 19.1%
Episode    29 | Steps:    1109 | Reward:   0.897 | Avg(100):  -0.726 | Entropy: 0.0497 | Acc: 22.6% (7+ 24-) | Lifetime: 19.2%
Episode    30 | Steps:    1149 | Reward:  -3.704 | Avg(100):  -0.822 | Entropy: 0.0497 | Acc: 7.5% (3+ 37-) | Lifetime: 18.8%
Episode    31 | Steps:    1165 | Reward:   1.598 | Avg(100):  -0.746 | Entropy: 0.0497 | Acc: 31.2% (5+ 11-) | Lifetime: 19.0%
Episode    32 | Steps:    1204 | Reward:  -0.604 | Avg(100):  -0.742 | Entropy: 0.0497 | Acc: 15.4% (6+ 33-) | Lifetime: 18.8%
Episode    33 | Steps:    1241 | Reward:   0.098 | Avg(100):  -0.717 | Entropy: 0.0497 | Acc: 18.9% (7+ 30-) | Lifetime: 18.8%
Episode    34 | Steps:    1275 | Reward:  -0.600 | Avg(100):  -0.714 | Entropy: 0.0497 | Acc: 26.5% (9+ 25-) | Lifetime: 19.0%
Episode    35 | Steps:    1319 | Reward:  -2.704 | Avg(100):  -0.769 | Entropy: 0.0496 | Acc: 11.4% (5+ 39-) | Lifetime: 18.8%
Episode    36 | Steps:    1360 | Reward:  -1.503 | Avg(100):  -0.789 | Entropy: 0.0496 | Acc: 19.5% (8+ 33-) | Lifetime: 18.8%
Episode    37 | Steps:    1387 | Reward:   0.000 | Avg(100):  -0.768 | Entropy: 0.0496 | Acc: 29.6% (8+ 19-) | Lifetime: 19.0%
Episode    38 | Steps:    1417 | Reward:  -0.801 | Avg(100):  -0.769 | Entropy: 0.0496 | Acc: 16.7% (5+ 25-) | Lifetime: 19.0%
Episode    39 | Steps:    1458 | Reward:  -0.704 | Avg(100):  -0.767 | Entropy: 0.0496 | Acc: 17.1% (7+ 34-) | Lifetime: 18.9%
  [Step 1500] Action dist: A0:14% | A1:22% | A2:18% | A3:20% | A4:26%
Episode    40 | Steps:    1510 | Reward:  -3.304 | Avg(100):  -0.829 | Entropy: 0.0496 | Acc: 9.6% (5+ 47-) | Lifetime: 18.6%
Episode    41 | Steps:    1551 | Reward:  -2.104 | Avg(100):  -0.860 | Entropy: 0.0495 | Acc: 12.2% (5+ 36-) | Lifetime: 18.4%
Episode    42 | Steps:    1594 | Reward:  -1.603 | Avg(100):  -0.877 | Entropy: 0.0495 | Acc: 18.6% (8+ 35-) | Lifetime: 18.4%
Episode    43 | Steps:    1627 | Reward:   0.499 | Avg(100):  -0.846 | Entropy: 0.0495 | Acc: 24.2% (8+ 25-) | Lifetime: 18.6%
Episode    44 | Steps:    1663 | Reward:   1.297 | Avg(100):  -0.798 | Entropy: 0.0495 | Acc: 22.2% (8+ 28-) | Lifetime: 18.6%
Episode    45 | Steps:    1706 | Reward:  -2.402 | Avg(100):  -0.833 | Entropy: 0.0495 | Acc: 14.0% (6+ 37-) | Lifetime: 18.5%
Episode    46 | Steps:    1745 | Reward:  -1.903 | Avg(100):  -0.856 | Entropy: 0.0495 | Acc: 15.4% (6+ 33-) | Lifetime: 18.4%
Episode    47 | Steps:    1776 | Reward:   2.099 | Avg(100):  -0.794 | Entropy: 0.0495 | Acc: 29.0% (9+ 22-) | Lifetime: 18.6%
Episode    48 | Steps:    1812 | Reward:  -2.700 | Avg(100):  -0.833 | Entropy: 0.0495 | Acc: 19.4% (7+ 29-) | Lifetime: 18.6%
Episode    49 | Steps:    1848 | Reward:  -1.003 | Avg(100):  -0.836 | Entropy: 0.0495 | Acc: 16.7% (6+ 30-) | Lifetime: 18.6%
Episode    50 | Steps:    1882 | Reward:   0.697 | Avg(100):  -0.806 | Entropy: 0.0495 | Acc: 17.6% (6+ 28-) | Lifetime: 18.6%
Episode    51 | Steps:    1920 | Reward:  -2.102 | Avg(100):  -0.831 | Entropy: 0.0495 | Acc: 18.4% (7+ 31-) | Lifetime: 18.6%
Episode    52 | Steps:    1952 | Reward:  -0.201 | Avg(100):  -0.819 | Entropy: 0.0495 | Acc: 21.9% (7+ 25-) | Lifetime: 18.6%
Episode    53 | Steps:    1991 | Reward:  -2.703 | Avg(100):  -0.854 | Entropy: 0.0495 | Acc: 15.4% (6+ 33-) | Lifetime: 18.6%
  [Step 2000] Action dist: A0:18% | A1:19% | A2:21% | A3:18% | A4:23%
Episode    54 | Steps:    2020 | Reward:   0.700 | Avg(100):  -0.826 | Entropy: 0.0495 | Acc: 27.6% (8+ 21-) | Lifetime: 18.7%
Episode    55 | Steps:    2062 | Reward:  -1.404 | Avg(100):  -0.836 | Entropy: 0.0494 | Acc: 19.0% (8+ 34-) | Lifetime: 18.7%
Episode    56 | Steps:    2106 | Reward:  -4.502 | Avg(100):  -0.901 | Entropy: 0.0494 | Acc: 6.8% (3+ 41-) | Lifetime: 18.5%
Episode    57 | Steps:    2140 | Reward:  -1.299 | Avg(100):  -0.907 | Entropy: 0.0494 | Acc: 26.5% (9+ 25-) | Lifetime: 18.6%
Episode    58 | Steps:    2169 | Reward:   2.897 | Avg(100):  -0.843 | Entropy: 0.0494 | Acc: 27.6% (8+ 21-) | Lifetime: 18.7%
Episode    59 | Steps:    2213 | Reward:  -4.803 | Avg(100):  -0.909 | Entropy: 0.0494 | Acc: 9.1% (4+ 40-) | Lifetime: 18.5%
