Config,Final Accuracy (%),Steps to 80%,Max Avg100 Reward,Post-conv Std (Sigma),N seeds
config1,71.8%,5k,6.01,1.13,1
config2,54.9%,10k,4.94,1.18,1
config3,77.4%,2k,6.55,0.96,1
config4,75.7%,3k,6.24,1.13,1
config5,69.3%,5k,5.75,1.15,1
config6,61.6%,10k,5.18,1.00,1
config7,61.7%,6k,5.63,0.90,1
config8,55.2%,6k,5.48,1.06,1
config9,72.5%,8k,6.00,0.91,1
config10,65.6%,4k,5.91,1.06,1
