
Training on cuda | logs -> training_logs/run_seed43_config2 (3)_fresh_20260526_220139
Config: ..\..\configs\config2 (3).yaml
Episodes: 0 -> ...
Steps: 0 -> 150000

Episode     0 | Steps:      32 | Reward:  -2.003 | Avg(100):  -2.003 | Entropy: 0.1000 | Acc: 12.1% (4+ 29-) | Lifetime: 12.1%
Episode     1 | Steps:      54 | Reward:  -0.200 | Avg(100):  -1.102 | Entropy: 0.1000 | Acc: 31.8% (7+ 15-) | Lifetime: 20.0%
Episode     2 | Steps:      96 | Reward:  -3.103 | Avg(100):  -1.769 | Entropy: 0.1000 | Acc: 14.3% (6+ 36-) | Lifetime: 17.5%
Episode     3 | Steps:     138 | Reward:  -3.603 | Avg(100):  -2.227 | Entropy: 0.1000 | Acc: 14.3% (6+ 36-) | Lifetime: 16.5%
Episode     4 | Steps:     174 | Reward:  -2.902 | Avg(100):  -2.362 | Entropy: 0.1000 | Acc: 13.9% (5+ 31-) | Lifetime: 16.0%
Episode     5 | Steps:     200 | Reward:  -0.302 | Avg(100):  -2.019 | Entropy: 0.1000 | Acc: 19.2% (5+ 21-) | Lifetime: 16.4%
Episode     6 | Steps:     224 | Reward:  -0.402 | Avg(100):  -1.788 | Entropy: 0.1000 | Acc: 16.7% (4+ 20-) | Lifetime: 16.4%
Episode     7 | Steps:     261 | Reward:  -0.101 | Avg(100):  -1.577 | Entropy: 0.0999 | Acc: 24.3% (9+ 28-) | Lifetime: 17.6%
Episode     8 | Steps:     287 | Reward:   0.698 | Avg(100):  -1.324 | Entropy: 0.0999 | Acc: 23.1% (6+ 20-) | Lifetime: 18.1%
Episode     9 | Steps:     315 | Reward:   0.899 | Avg(100):  -1.102 | Entropy: 0.0999 | Acc: 28.6% (8+ 20-) | Lifetime: 19.0%
Episode    10 | Steps:     355 | Reward:  -0.703 | Avg(100):  -1.066 | Entropy: 0.0999 | Acc: 20.0% (8+ 32-) | Lifetime: 19.1%
Episode    11 | Steps:     393 | Reward:  -1.403 | Avg(100):  -1.094 | Entropy: 0.0999 | Acc: 15.8% (6+ 32-) | Lifetime: 18.8%
Episode    12 | Steps:     428 | Reward:  -1.304 | Avg(100):  -1.110 | Entropy: 0.0999 | Acc: 17.1% (6+ 29-) | Lifetime: 18.6%
Episode    13 | Steps:     433 | Reward:  -1.001 | Avg(100):  -1.102 | Entropy: 0.0999 | Acc: 0.0% (0+ 5-) | Lifetime: 18.4%
Episode    14 | Steps:     436 | Reward:   0.100 | Avg(100):  -1.022 | Entropy: 0.0999 | Acc: 33.3% (1+ 2-) | Lifetime: 18.5%
Episode    15 | Steps:     459 | Reward:   4.798 | Avg(100):  -0.658 | Entropy: 0.0999 | Acc: 39.1% (9+ 14-) | Lifetime: 19.6%
Episode    16 | Steps:     488 | Reward:  -3.003 | Avg(100):  -0.796 | Entropy: 0.0999 | Acc: 7.1% (2+ 26-) | Lifetime: 18.9%
  [Step 500] Action dist: A0:28% | A1:17% | A2:15% | A3:18% | A4:22%
Episode    17 | Steps:     530 | Reward:  -0.202 | Avg(100):  -0.763 | Entropy: 0.0997 | Acc: 16.7% (7+ 35-) | Lifetime: 18.7%
Episode    18 | Steps:     558 | Reward:  -1.401 | Avg(100):  -0.797 | Entropy: 0.0997 | Acc: 25.0% (7+ 21-) | Lifetime: 19.0%
Episode    19 | Steps:     580 | Reward:  -0.502 | Avg(100):  -0.782 | Entropy: 0.0997 | Acc: 18.2% (4+ 18-) | Lifetime: 19.0%
Episode    20 | Steps:     626 | Reward:  -5.004 | Avg(100):  -0.983 | Entropy: 0.0997 | Acc: 6.7% (3+ 42-) | Lifetime: 18.1%
Episode    21 | Steps:     648 | Reward:   0.499 | Avg(100):  -0.916 | Entropy: 0.0997 | Acc: 23.8% (5+ 16-) | Lifetime: 18.3%
Episode    22 | Steps:     688 | Reward:  -1.602 | Avg(100):  -0.945 | Entropy: 0.0997 | Acc: 17.9% (7+ 32-) | Lifetime: 18.2%
Episode    23 | Steps:     719 | Reward:   0.299 | Avg(100):  -0.894 | Entropy: 0.0997 | Acc: 25.8% (8+ 23-) | Lifetime: 18.6%
Episode    24 | Steps:     739 | Reward:  -0.296 | Avg(100):  -0.870 | Entropy: 0.0997 | Acc: 50.0% (10+ 10-) | Lifetime: 19.4%
Episode    25 | Steps:     781 | Reward:  -3.504 | Avg(100):  -0.971 | Entropy: 0.0996 | Acc: 9.5% (4+ 38-) | Lifetime: 18.9%
Episode    26 | Steps:     816 | Reward:  -1.001 | Avg(100):  -0.972 | Entropy: 0.0996 | Acc: 20.6% (7+ 27-) | Lifetime: 19.0%
Episode    27 | Steps:     839 | Reward:   1.400 | Avg(100):  -0.887 | Entropy: 0.0996 | Acc: 34.8% (8+ 15-) | Lifetime: 19.4%
Episode    28 | Steps:     891 | Reward:  -6.405 | Avg(100):  -1.078 | Entropy: 0.0996 | Acc: 7.8% (4+ 47-) | Lifetime: 18.7%
Episode    29 | Steps:     925 | Reward:  -1.002 | Avg(100):  -1.075 | Entropy: 0.0996 | Acc: 20.6% (7+ 27-) | Lifetime: 18.8%
Episode    30 | Steps:     929 | Reward:  -0.800 | Avg(100):  -1.066 | Entropy: 0.0996 | Acc: 0.0% (0+ 4-) | Lifetime: 18.7%
Episode    31 | Steps:     964 | Reward:  -1.202 | Avg(100):  -1.071 | Entropy: 0.0996 | Acc: 17.1% (6+ 29-) | Lifetime: 18.7%
Episode    32 | Steps:     992 | Reward:   0.501 | Avg(100):  -1.023 | Entropy: 0.0996 | Acc: 29.6% (8+ 19-) | Lifetime: 19.0%
  [Step 1000] Action dist: A0:26% | A1:21% | A2:15% | A3:19% | A4:19%
Episode    33 | Steps:    1012 | Reward:   1.000 | Avg(100):  -0.963 | Entropy: 0.0996 | Acc: 40.0% (8+ 12-) | Lifetime: 19.4%
Episode    34 | Steps:    1052 | Reward:  -2.803 | Avg(100):  -1.016 | Entropy: 0.0995 | Acc: 15.0% (6+ 34-) | Lifetime: 19.2%
Episode    35 | Steps:    1091 | Reward:  -2.702 | Avg(100):  -1.063 | Entropy: 0.0995 | Acc: 15.4% (6+ 33-) | Lifetime: 19.1%
Episode    36 | Steps:    1113 | Reward:   0.700 | Avg(100):  -1.015 | Entropy: 0.0995 | Acc: 31.8% (7+ 15-) | Lifetime: 19.3%
Episode    37 | Steps:    1138 | Reward:   1.698 | Avg(100):  -0.944 | Entropy: 0.0995 | Acc: 28.0% (7+ 18-) | Lifetime: 19.5%
Episode    38 | Steps:    1166 | Reward:   1.098 | Avg(100):  -0.891 | Entropy: 0.0995 | Acc: 28.6% (8+ 20-) | Lifetime: 19.7%
Episode    39 | Steps:    1197 | Reward:   0.199 | Avg(100):  -0.864 | Entropy: 0.0995 | Acc: 22.6% (7+ 24-) | Lifetime: 19.8%
Episode    40 | Steps:    1234 | Reward:  -1.703 | Avg(100):  -0.885 | Entropy: 0.0995 | Acc: 18.9% (7+ 30-) | Lifetime: 19.8%
Episode    41 | Steps:    1265 | Reward:  -1.202 | Avg(100):  -0.892 | Entropy: 0.0995 | Acc: 19.4% (6+ 25-) | Lifetime: 19.8%
Episode    42 | Steps:    1298 | Reward:   2.097 | Avg(100):  -0.823 | Entropy: 0.0993 | Acc: 24.2% (8+ 25-) | Lifetime: 19.9%
Episode    43 | Steps:    1332 | Reward:   0.397 | Avg(100):  -0.795 | Entropy: 0.0993 | Acc: 20.6% (7+ 27-) | Lifetime: 19.9%
Episode    44 | Steps:    1364 | Reward:  -1.103 | Avg(100):  -0.802 | Entropy: 0.0993 | Acc: 15.6% (5+ 27-) | Lifetime: 19.8%
Episode    45 | Steps:    1393 | Reward:   0.398 | Avg(100):  -0.776 | Entropy: 0.0993 | Acc: 24.1% (7+ 22-) | Lifetime: 19.9%
Episode    46 | Steps:    1422 | Reward:  -1.001 | Avg(100):  -0.780 | Entropy: 0.0993 | Acc: 24.1% (7+ 22-) | Lifetime: 20.0%
Episode    47 | Steps:    1449 | Reward:   0.798 | Avg(100):  -0.748 | Entropy: 0.0993 | Acc: 29.6% (8+ 19-) | Lifetime: 20.2%
Episode    48 | Steps:    1467 | Reward:  -0.802 | Avg(100):  -0.749 | Entropy: 0.0993 | Acc: 16.7% (3+ 15-) | Lifetime: 20.1%
  [Step 1500] Action dist: A0:26% | A1:21% | A2:14% | A3:19% | A4:20%
Episode    49 | Steps:    1510 | Reward:  -2.704 | Avg(100):  -0.788 | Entropy: 0.0993 | Acc: 14.0% (6+ 37-) | Lifetime: 19.9%
Episode    50 | Steps:    1543 | Reward:  -0.802 | Avg(100):  -0.788 | Entropy: 0.0992 | Acc: 15.2% (5+ 28-) | Lifetime: 19.8%
Episode    51 | Steps:    1579 | Reward:   0.997 | Avg(100):  -0.754 | Entropy: 0.0992 | Acc: 20.0% (7+ 28-) | Lifetime: 19.8%
Episode    52 | Steps:    1604 | Reward:  -0.102 | Avg(100):  -0.741 | Entropy: 0.0992 | Acc: 24.0% (6+ 19-) | Lifetime: 19.9%
Episode    53 | Steps:    1642 | Reward:  -2.802 | Avg(100):  -0.780 | Entropy: 0.0992 | Acc: 15.8% (6+ 32-) | Lifetime: 19.8%
Episode    54 | Steps:    1689 | Reward:  -2.003 | Avg(100):  -0.802 | Entropy: 0.0992 | Acc: 12.8% (6+ 41-) | Lifetime: 19.6%
Episode    55 | Steps:    1722 | Reward:   0.297 | Avg(100):  -0.782 | Entropy: 0.0992 | Acc: 18.2% (6+ 27-) | Lifetime: 19.6%
Episode    56 | Steps:    1737 | Reward:   1.398 | Avg(100):  -0.744 | Entropy: 0.0992 | Acc: 26.7% (4+ 11-) | Lifetime: 19.7%
Episode    57 | Steps:    1747 | Reward:   0.400 | Avg(100):  -0.724 | Entropy: 0.0992 | Acc: 40.0% (4+ 6-) | Lifetime: 19.8%
Episode    58 | Steps:    1778 | Reward:  -2.103 | Avg(100):  -0.748 | Entropy: 0.0992 | Acc: 12.9% (4+ 27-) | Lifetime: 19.6%
Episode    59 | Steps:    1804 | Reward:   1.798 | Avg(100):  -0.705 | Entropy: 0.0990 | Acc: 30.8% (8+ 18-) | Lifetime: 19.8%
Episode    60 | Steps:    1834 | Reward:  -1.102 | Avg(100):  -0.712 | Entropy: 0.0990 | Acc: 13.3% (4+ 26-) | Lifetime: 19.7%
Episode    61 | Steps:    1880 | Reward:  -1.605 | Avg(100):  -0.726 | Entropy: 0.0990 | Acc: 13.3% (6+ 39-) | Lifetime: 19.6%
Episode    62 | Steps:    1906 | Reward:   0.300 | Avg(100):  -0.710 | Entropy: 0.0990 | Acc: 23.1% (6+ 20-) | Lifetime: 19.6%
Episode    63 | Steps:    1937 | Reward:  -0.503 | Avg(100):  -0.707 | Entropy: 0.0990 | Acc: 16.1% (5+ 26-) | Lifetime: 19.5%
Episode    64 | Steps:    1953 | Reward:   4.399 | Avg(100):  -0.628 | Entropy: 0.0990 | Acc: 43.8% (7+ 9-) | Lifetime: 19.7%
Episode    65 | Steps:    1982 | Reward:  -1.201 | Avg(100):  -0.637 | Entropy: 0.0990 | Acc: 20.7% (6+ 23-) | Lifetime: 19.8%
  [Step 2000] Action dist: A0:24% | A1:15% | A2:16% | A3:22% | A4:22%
Episode    66 | Steps:    2012 | Reward:   0.598 | Avg(100):  -0.618 | Entropy: 0.0990 | Acc: 20.7% (6+ 23-) | Lifetime: 19.8%
Episode    67 | Steps:    2039 | Reward:   2.497 | Avg(100):  -0.572 | Entropy: 0.0990 | Acc: 25.9% (7+ 20-) | Lifetime: 19.9%
Episode    68 | Steps:    2071 | Reward:  -1.501 | Avg(100):  -0.586 | Entropy: 0.0989 | Acc: 15.6% (5+ 27-) | Lifetime: 19.8%
