
Training on cuda | logs -> training_logs/run_seed43_config6 (3)_fresh_20260528_012147
Config: ..\..\configs\config6 (3).yaml
Episodes: 0 -> ...
Steps: 0 -> 150000

Episode     0 | Steps:      32 | Reward:  -2.803 | Avg(100):  -2.803 | Entropy: 0.3000 | Acc: 12.1% (4+ 29-) | Lifetime: 12.1%
Episode     1 | Steps:      54 | Reward:  -1.000 | Avg(100):  -1.902 | Entropy: 0.3000 | Acc: 31.8% (7+ 15-) | Lifetime: 20.0%
Episode     2 | Steps:      96 | Reward:  -4.703 | Avg(100):  -2.835 | Entropy: 0.3000 | Acc: 14.3% (6+ 36-) | Lifetime: 17.5%
Episode     3 | Steps:     138 | Reward:  -5.203 | Avg(100):  -3.427 | Entropy: 0.3000 | Acc: 14.3% (6+ 36-) | Lifetime: 16.5%
Episode     4 | Steps:     174 | Reward:  -5.702 | Avg(100):  -3.882 | Entropy: 0.3000 | Acc: 13.9% (5+ 31-) | Lifetime: 16.0%
Episode     5 | Steps:     200 | Reward:  -1.702 | Avg(100):  -3.519 | Entropy: 0.3000 | Acc: 19.2% (5+ 21-) | Lifetime: 16.4%
Episode     6 | Steps:     224 | Reward:  -1.502 | Avg(100):  -3.231 | Entropy: 0.3000 | Acc: 16.7% (4+ 20-) | Lifetime: 16.4%
Episode     7 | Steps:     261 | Reward:  -2.101 | Avg(100):  -3.089 | Entropy: 0.2996 | Acc: 24.3% (9+ 28-) | Lifetime: 17.6%
Episode     8 | Steps:     287 | Reward:  -0.502 | Avg(100):  -2.802 | Entropy: 0.2996 | Acc: 23.1% (6+ 20-) | Lifetime: 18.1%
Episode     9 | Steps:     315 | Reward:  -0.001 | Avg(100):  -2.522 | Entropy: 0.2996 | Acc: 28.6% (8+ 20-) | Lifetime: 19.0%
Episode    10 | Steps:     356 | Reward:  -2.803 | Avg(100):  -2.547 | Entropy: 0.2996 | Acc: 17.1% (7+ 34-) | Lifetime: 18.8%
Episode    11 | Steps:     383 | Reward:   0.698 | Avg(100):  -2.277 | Entropy: 0.2996 | Acc: 29.6% (8+ 19-) | Lifetime: 19.5%
Episode    12 | Steps:     404 | Reward:   1.399 | Avg(100):  -1.994 | Entropy: 0.2996 | Acc: 38.1% (8+ 13-) | Lifetime: 20.5%
Episode    13 | Steps:     450 | Reward:  -5.705 | Avg(100):  -2.259 | Entropy: 0.2996 | Acc: 8.9% (4+ 41-) | Lifetime: 19.3%
Episode    14 | Steps:     470 | Reward:  -2.000 | Avg(100):  -2.242 | Entropy: 0.2996 | Acc: 25.0% (5+ 15-) | Lifetime: 19.6%
  [Step 500] Action dist: A0:28% | A1:17% | A2:16% | A3:18% | A4:22%
Episode    15 | Steps:     511 | Reward:  -5.703 | Avg(100):  -2.458 | Entropy: 0.2996 | Acc: 12.2% (5+ 36-) | Lifetime: 19.0%
Episode    16 | Steps:     555 | Reward:  -5.803 | Avg(100):  -2.655 | Entropy: 0.2991 | Acc: 11.4% (5+ 39-) | Lifetime: 18.4%
Episode    17 | Steps:     595 | Reward:  -4.102 | Avg(100):  -2.735 | Entropy: 0.2991 | Acc: 17.5% (7+ 33-) | Lifetime: 18.3%
Episode    18 | Steps:     635 | Reward:  -4.004 | Avg(100):  -2.802 | Entropy: 0.2991 | Acc: 12.5% (5+ 35-) | Lifetime: 18.0%
Episode    19 | Steps:     652 | Reward:   1.701 | Avg(100):  -2.577 | Entropy: 0.2991 | Acc: 47.1% (8+ 9-) | Lifetime: 18.7%
Episode    20 | Steps:     679 | Reward:  -1.501 | Avg(100):  -2.526 | Entropy: 0.2991 | Acc: 25.9% (7+ 20-) | Lifetime: 19.0%
Episode    21 | Steps:     706 | Reward:  -1.001 | Avg(100):  -2.456 | Entropy: 0.2991 | Acc: 25.9% (7+ 20-) | Lifetime: 19.3%
Episode    22 | Steps:     737 | Reward:  -3.799 | Avg(100):  -2.515 | Entropy: 0.2991 | Acc: 22.6% (7+ 24-) | Lifetime: 19.4%
Episode    23 | Steps:     779 | Reward:  -5.403 | Avg(100):  -2.635 | Entropy: 0.2987 | Acc: 11.9% (5+ 37-) | Lifetime: 19.0%
Episode    24 | Steps:     815 | Reward:  -3.801 | Avg(100):  -2.682 | Entropy: 0.2987 | Acc: 17.1% (6+ 29-) | Lifetime: 18.9%
Episode    25 | Steps:     837 | Reward:   1.199 | Avg(100):  -2.532 | Entropy: 0.2987 | Acc: 36.4% (8+ 14-) | Lifetime: 19.4%
Episode    26 | Steps:     875 | Reward:  -1.704 | Avg(100):  -2.502 | Entropy: 0.2987 | Acc: 18.4% (7+ 31-) | Lifetime: 19.3%
Episode    27 | Steps:     890 | Reward:  -0.402 | Avg(100):  -2.427 | Entropy: 0.2987 | Acc: 20.0% (3+ 12-) | Lifetime: 19.3%
Episode    28 | Steps:     912 | Reward:   0.999 | Avg(100):  -2.309 | Entropy: 0.2987 | Acc: 31.8% (7+ 15-) | Lifetime: 19.6%
Episode    29 | Steps:     953 | Reward:  -3.704 | Avg(100):  -2.355 | Entropy: 0.2987 | Acc: 12.2% (5+ 36-) | Lifetime: 19.3%
Episode    30 | Steps:     984 | Reward:  -1.503 | Avg(100):  -2.328 | Entropy: 0.2987 | Acc: 19.4% (6+ 25-) | Lifetime: 19.3%
  [Step 1000] Action dist: A0:25% | A1:19% | A2:17% | A3:18% | A4:20%
Episode    31 | Steps:    1004 | Reward:  -0.500 | Avg(100):  -2.271 | Entropy: 0.2987 | Acc: 25.0% (5+ 15-) | Lifetime: 19.4%
Episode    32 | Steps:    1045 | Reward:  -6.104 | Avg(100):  -2.387 | Entropy: 0.2983 | Acc: 7.3% (3+ 38-) | Lifetime: 19.0%
Episode    33 | Steps:    1078 | Reward:  -2.903 | Avg(100):  -2.402 | Entropy: 0.2983 | Acc: 18.2% (6+ 27-) | Lifetime: 18.9%
Episode    34 | Steps:    1104 | Reward:  -3.401 | Avg(100):  -2.430 | Entropy: 0.2983 | Acc: 15.4% (4+ 22-) | Lifetime: 18.9%
Episode    35 | Steps:    1125 | Reward:  -1.402 | Avg(100):  -2.402 | Entropy: 0.2983 | Acc: 19.0% (4+ 17-) | Lifetime: 18.9%
Episode    36 | Steps:    1156 | Reward:  -3.502 | Avg(100):  -2.432 | Entropy: 0.2983 | Acc: 16.7% (5+ 25-) | Lifetime: 18.8%
Episode    37 | Steps:    1181 | Reward:   0.198 | Avg(100):  -2.362 | Entropy: 0.2983 | Acc: 24.0% (6+ 19-) | Lifetime: 18.9%
