
Training on cuda | logs -> training_logs/run_seed41_config3_resumed_20260523_013141
Config: ..\..\configs\config3.yaml
Episodes: 0 -> ...
Steps: 0 -> 150000

No accuracy CSV at training_logs/run_seed41_config3_fresh_20260522_170933/accuracy_final.csv — starting fresh.
Episode    37 | Steps:    1370 | Reward:   1.000 | Avg(100):  -0.247 | Entropy: 0.0993 | Acc: 27.6% (8+ 21-) | Lifetime: 20.6%
Episode    38 | Steps:    1393 | Reward:   5.100 | Avg(100):  -0.110 | Entropy: 0.0993 | Acc: 43.5% (10+ 13-) | Lifetime: 21.0%
Episode    39 | Steps:    1418 | Reward:   1.399 | Avg(100):  -0.072 | Entropy: 0.0993 | Acc: 32.0% (8+ 17-) | Lifetime: 21.2%
Episode    40 | Steps:    1450 | Reward:  -1.701 | Avg(100):  -0.112 | Entropy: 0.0993 | Acc: 18.8% (6+ 26-) | Lifetime: 21.2%
Episode    41 | Steps:    1481 | Reward:   1.897 | Avg(100):  -0.064 | Entropy: 0.0993 | Acc: 22.6% (7+ 24-) | Lifetime: 21.2%
  [Step 1500] Action dist: A0:15% | A1:20% | A2:23% | A3:23% | A4:20%
Episode    42 | Steps:    1515 | Reward:  -2.001 | Avg(100):  -0.109 | Entropy: 0.0993 | Acc: 20.6% (7+ 27-) | Lifetime: 21.2%
Episode    43 | Steps:    1541 | Reward:   1.897 | Avg(100):  -0.063 | Entropy: 0.0992 | Acc: 26.9% (7+ 19-) | Lifetime: 21.3%
Episode    44 | Steps:    1568 | Reward:   0.200 | Avg(100):  -0.058 | Entropy: 0.0992 | Acc: 25.9% (7+ 20-) | Lifetime: 21.4%
Episode    45 | Steps:    1600 | Reward:   1.698 | Avg(100):  -0.019 | Entropy: 0.0992 | Acc: 28.1% (9+ 23-) | Lifetime: 21.5%
Episode    46 | Steps:    1625 | Reward:   4.099 | Avg(100):   0.068 | Entropy: 0.0992 | Acc: 36.0% (9+ 16-) | Lifetime: 21.7%
Episode    47 | Steps:    1656 | Reward:   3.097 | Avg(100):   0.131 | Entropy: 0.0992 | Acc: 29.0% (9+ 22-) | Lifetime: 21.8%
Episode    48 | Steps:    1696 | Reward:  -1.703 | Avg(100):   0.094 | Entropy: 0.0992 | Acc: 15.0% (6+ 34-) | Lifetime: 21.7%
Episode    49 | Steps:    1728 | Reward:  -0.502 | Avg(100):   0.082 | Entropy: 0.0992 | Acc: 18.8% (6+ 26-) | Lifetime: 21.6%
Episode    50 | Steps:    1762 | Reward:   2.099 | Avg(100):   0.122 | Entropy: 0.0992 | Acc: 29.4% (10+ 24-) | Lifetime: 21.8%
Episode    51 | Steps:    1790 | Reward:   1.897 | Avg(100):   0.156 | Entropy: 0.0992 | Acc: 25.0% (7+ 21-) | Lifetime: 21.8%
Episode    52 | Steps:    1828 | Reward:   0.497 | Avg(100):   0.162 | Entropy: 0.0990 | Acc: 21.1% (8+ 30-) | Lifetime: 21.8%
Episode    53 | Steps:    1855 | Reward:   2.198 | Avg(100):   0.200 | Entropy: 0.0990 | Acc: 25.9% (7+ 20-) | Lifetime: 21.9%
Episode    54 | Steps:    1881 | Reward:   1.998 | Avg(100):   0.233 | Entropy: 0.0990 | Acc: 26.9% (7+ 19-) | Lifetime: 21.9%
Episode    55 | Steps:    1909 | Reward:   0.398 | Avg(100):   0.235 | Entropy: 0.0990 | Acc: 21.4% (6+ 22-) | Lifetime: 21.9%
Episode    56 | Steps:    1941 | Reward:  -0.402 | Avg(100):   0.224 | Entropy: 0.0990 | Acc: 15.6% (5+ 27-) | Lifetime: 21.8%
Episode    57 | Steps:    1979 | Reward:  -0.403 | Avg(100):   0.213 | Entropy: 0.0990 | Acc: 18.4% (7+ 31-) | Lifetime: 21.8%
  [Step 2000] Action dist: A0:10% | A1:14% | A2:31% | A3:29% | A4:16%
Episode    58 | Steps:    2001 | Reward:   3.498 | Avg(100):   0.269 | Entropy: 0.0990 | Acc: 31.8% (7+ 15-) | Lifetime: 21.9%
Episode    59 | Steps:    2046 | Reward:  -3.004 | Avg(100):   0.215 | Entropy: 0.0990 | Acc: 13.3% (6+ 39-) | Lifetime: 21.7%
Episode    60 | Steps:    2076 | Reward:   0.299 | Avg(100):   0.216 | Entropy: 0.0989 | Acc: 23.3% (7+ 23-) | Lifetime: 21.7%
Episode    61 | Steps:    2102 | Reward:   1.797 | Avg(100):   0.241 | Entropy: 0.0989 | Acc: 23.1% (6+ 20-) | Lifetime: 21.7%
Episode    62 | Steps:    2127 | Reward:   3.798 | Avg(100):   0.298 | Entropy: 0.0989 | Acc: 36.0% (9+ 16-) | Lifetime: 21.9%
Episode    63 | Steps:    2153 | Reward:   1.898 | Avg(100):   0.323 | Entropy: 0.0989 | Acc: 23.1% (6+ 20-) | Lifetime: 21.9%
Episode    64 | Steps:    2178 | Reward:   4.597 | Avg(100):   0.389 | Entropy: 0.0989 | Acc: 36.0% (9+ 16-) | Lifetime: 22.1%
Episode    65 | Steps:    2208 | Reward:   0.697 | Avg(100):   0.393 | Entropy: 0.0989 | Acc: 23.3% (7+ 23-) | Lifetime: 22.1%
Episode    66 | Steps:    2235 | Reward:  -0.301 | Avg(100):   0.383 | Entropy: 0.0989 | Acc: 25.9% (7+ 20-) | Lifetime: 22.1%
Episode    67 | Steps:    2263 | Reward:   1.398 | Avg(100):   0.398 | Entropy: 0.0989 | Acc: 21.4% (6+ 22-) | Lifetime: 22.1%
Episode    68 | Steps:    2292 | Reward:   0.598 | Avg(100):   0.401 | Entropy: 0.0989 | Acc: 20.7% (6+ 23-) | Lifetime: 22.1%
Episode    69 | Steps:    2318 | Reward:   0.898 | Avg(100):   0.408 | Entropy: 0.0988 | Acc: 26.9% (7+ 19-) | Lifetime: 22.2%
Episode    70 | Steps:    2350 | Reward:  -0.802 | Avg(100):   0.391 | Entropy: 0.0988 | Acc: 18.8% (6+ 26-) | Lifetime: 22.1%
Episode    71 | Steps:    2381 | Reward:   0.997 | Avg(100):   0.399 | Entropy: 0.0988 | Acc: 19.4% (6+ 25-) | Lifetime: 22.1%
Episode    72 | Steps:    2415 | Reward:  -1.101 | Avg(100):   0.379 | Entropy: 0.0988 | Acc: 20.6% (7+ 27-) | Lifetime: 22.1%
Episode    73 | Steps:    2444 | Reward:   0.199 | Avg(100):   0.376 | Entropy: 0.0988 | Acc: 24.1% (7+ 22-) | Lifetime: 22.1%
Episode    74 | Steps:    2472 | Reward:   2.398 | Avg(100):   0.403 | Entropy: 0.0988 | Acc: 28.6% (8+ 20-) | Lifetime: 22.2%
Episode    75 | Steps:    2499 | Reward:   2.398 | Avg(100):   0.430 | Entropy: 0.0988 | Acc: 25.9% (7+ 20-) | Lifetime: 22.2%
  [Step 2500] Action dist: A0:10% | A1:12% | A2:31% | A3:30% | A4:16%
Episode    76 | Steps:    2523 | Reward:   2.199 | Avg(100):   0.453 | Entropy: 0.0988 | Acc: 29.2% (7+ 17-) | Lifetime: 22.3%
Episode    77 | Steps:    2546 | Reward:   3.998 | Avg(100):   0.498 | Entropy: 0.0988 | Acc: 43.5% (10+ 13-) | Lifetime: 22.5%
Episode    78 | Steps:    2579 | Reward:   0.798 | Avg(100):   0.502 | Entropy: 0.0986 | Acc: 18.2% (6+ 27-) | Lifetime: 22.4%
Episode    79 | Steps:    2608 | Reward:   0.497 | Avg(100):   0.502 | Entropy: 0.0986 | Acc: 17.2% (5+ 24-) | Lifetime: 22.3%
Episode    80 | Steps:    2629 | Reward:   3.000 | Avg(100):   0.533 | Entropy: 0.0986 | Acc: 42.9% (9+ 12-) | Lifetime: 22.5%
Episode    81 | Steps:    2660 | Reward:   3.697 | Avg(100):   0.571 | Entropy: 0.0986 | Acc: 32.3% (10+ 21-) | Lifetime: 22.6%
