Step,Reward
42,-3.7043
65,2.6982
109,-3.2039
136,0.4973
166,0.1995
183,3.6003
238,-4.3040
261,0.3992
288,1.0978
295,-0.7007
318,2.2002
342,0.4986
370,1.1987
397,1.8983
428,-1.4006
465,-3.3022
488,-0.3008
534,-3.8041
562,0.2982
590,2.5977
601,0.3989
641,-3.2025
681,-4.5010
707,-0.1006
752,-3.2035
785,-0.9033
809,2.6981
826,2.0018
842,-1.2006
874,-2.2012
898,0.9986
937,-2.8039
964,0.6973
981,0.4993
988,-1.1007
1014,1.5979
1045,-3.3031
1075,0.9995
1100,-0.4015
1123,2.5982
1144,2.3994
1170,-0.1016
1201,-0.1031
1235,-1.7019
1255,2.4990
1285,-0.1025
1317,-0.2032
1341,1.5976
1375,-1.2019
1403,-0.0028
1438,-0.6030
1466,-0.1023
1497,-0.0016
1517,1.7005
1522,0.1995
1547,1.1990
1576,-2.2004
1601,1.1985
1627,0.6974
1659,-1.6027
1698,0.0971
1720,2.4993
1743,0.4977
1758,2.9005
1786,-1.4998
1819,-1.8013
1849,-0.2030
1853,1.1996
1877,1.0991
1900,2.0987
1926,-1.2006
1933,0.7003
1960,-0.0027
1992,-0.4012
2018,1.0979
2038,-0.0975
2072,-2.0034
2103,-1.2031
2126,2.5997
2146,1.2990
2166,3.4990
2194,-0.8003
2220,0.4984
2245,1.6985
2278,-1.6028
2302,1.4991
2325,-0.5013
2352,-2.1012
2385,-2.4008
2412,0.5978
2436,0.9976
2468,1.0978
2490,2.2988
2519,-0.8014
2537,3.7002
2566,-0.0004
2588,3.3983
2609,3.2979
2633,0.6981
2663,2.1975
2691,-0.2013
2716,-0.6020
2753,-2.0037
2773,2.9990
2803,-0.5020
2828,2.3975
2845,5.2993
2874,2.1971
2899,0.6990
2927,0.4987
2962,-2.1030
2987,0.4995
3011,2.7976
3039,-2.1028
3070,-2.9021
3093,2.5987
3124,-0.9031
3148,0.5976
3179,-2.1026
3203,0.1986
3235,0.4968
3257,3.5978
3283,1.8974
3308,-0.2025
3328,2.0980
3362,0.0966
3386,0.6996
3404,3.4982
3434,-0.9020
3465,-3.2016
3492,0.4978
3516,1.5976
3538,1.0983
3566,-0.0028
3583,3.9998
3604,1.3984
3640,-3.4036
3657,4.0993
3683,0.6974
3710,1.0973
3738,-2.3023
3761,0.9977
3778,3.7993
3806,-1.1023
3808,0.2998
3830,2.4993
3848,3.5982
3876,-0.7028
3908,-1.0032
3918,-0.0010
3941,0.0982
3965,0.7976
3990,2.2975
4009,1.9996
4031,1.7988
4049,3.5982
4081,-1.0032
4100,2.7986
4127,0.3973
4153,-2.5016
4176,0.2987
4213,-3.7032
4236,2.2977
4264,4.5972
4286,1.1988
4304,7.2982
4323,0.8996
4349,-0.6016
4375,1.9974
4406,-2.4021
4441,-2.5035
4462,3.2984
4484,2.2978
4500,3.6004
4529,-0.6029
4548,3.1991
4570,2.3988
4598,-1.9023
4623,1.6975
4647,3.1976
4654,-0.2007
4672,3.2987
4697,0.4975
4729,-1.8032
4752,2.2992
4770,3.4982
4793,0.9982
4817,3.9976
4836,3.6991
4860,-0.2009
4882,-0.4002
4907,3.3975
4937,-0.6030
4962,0.6980
4984,0.7978
5010,1.1974
5040,-2.1010
5058,3.8982
5085,0.5973
5115,-0.3020
5154,0.3971
5173,2.2991
5201,-1.6013
5223,1.0993
5251,0.6002
5273,1.4983
5300,3.3973
5325,0.4990
5359,0.2986
5389,0.7970
5417,-0.1028
5438,0.3984
5468,-1.5025
5492,0.2001
5521,-1.0009
5546,2.0975
5583,-4.3037
5616,-0.2033
5650,-2.2034
5675,0.6980
5693,3.8982
5716,1.7977
5734,0.2982
5759,0.5975
5780,2.6984
5809,-1.0019
5831,1.2978
5859,-0.1028
5887,1.7972
5914,2.7978
5930,3.1984
5951,1.5979
5973,-1.1022
6002,-0.4029
6004,0.2998
6009,0.9995
6035,-1.0026
6065,1.9970
6088,0.4977
6104,-0.7016
6133,0.1971
6149,1.3989
6168,3.3996
6186,3.6982
6211,2.9975
6215,-0.8004
6236,3.1979
6261,-0.0025
6299,-1.2033
6325,0.4984
6343,0.5982
6359,5.5994
6384,0.1975
6398,0.1986
6425,-1.2027
6454,0.0976
6481,2.3973
6500,0.0001
6521,2.1994
6546,1.1985
6550,-0.8004
6579,2.2971
6604,-0.2005
6633,3.2971
6657,1.1006
6678,3.6984
6700,0.1988
6727,-0.0012
6755,0.4992
6783,-0.3023
6803,3.7980
6829,0.9979
6858,0.0976
6885,0.5983
6911,1.6974
6939,4.0972
6960,-1.0001
6982,0.7978
7006,1.9991
7038,0.0973
7060,3.3978
7091,-1.5031
7121,-0.3005
7143,4.8978
7170,-0.0022
7191,2.1984
7219,-0.7028
7241,2.0998
7275,0.8971
7298,2.3977
7327,-0.5019
7362,0.5965
7392,-2.0020
7421,-1.0024
7448,-0.2027
7463,5.1985
7489,1.5974
7518,0.1981
7538,0.3980
7558,1.4995
7580,1.9978
7584,-0.1004
7598,2.9996
7624,0.1984
7649,0.8985
7673,1.6976
7704,-3.0011
7736,-1.2032
7770,-2.3029
7796,1.3984
7819,2.3977
7838,-0.1019
7861,2.0977
7889,2.2977
7907,2.2992
7923,3.2999
7948,1.4985
7972,1.6976
8001,1.0971
8023,2.0988
8045,1.2988
8055,0.7990
8083,-1.3028
8112,-2.0019
8135,0.9977
8164,-1.2014
8188,2.8986
8214,2.9984
8235,0.4999
8270,-2.1025
8295,3.6975
8319,1.2976
8342,3.1977
8369,0.1988
8392,1.6987
8420,-0.7998
8454,-2.1034
8475,4.7989
8500,0.0975
8528,-1.5023
8531,0.0997
8562,-2.3016
8584,0.0993
8602,3.6982
8625,2.7977
8648,4.8987
8673,1.2975
8696,1.7987
8730,-0.7034
8757,0.7973
8779,1.1003
8807,-1.1028
8828,3.1984
8852,2.6976
8876,0.2981
8897,1.4979
8921,2.1991
8948,0.4978
8950,0.2998
8976,2.5979
9000,1.3986
9032,-0.3017
9055,2.9987
9085,-0.2030
9109,1.7976
9131,2.9983
9148,4.2988
9173,3.6975
9192,4.5991
9210,2.0982
9230,3.4980
9249,2.8991
9257,-0.8008
9280,2.6987
9300,4.5980
9325,1.1975
9329,-0.8004
9353,1.6976
9356,-0.6003
9373,4.1983
9403,-0.9030
9423,1.3985
9451,-0.9018
9489,-1.0038
9512,1.1982
9540,1.2977
9552,-0.4012
9576,1.1986
9603,-0.3027
9636,-2.3013
9660,1.4986
9681,1.4979
9694,-0.3013
9720,0.9994
9734,0.1991
9756,0.7993
9789,-1.7023
9818,0.6971
9845,1.5973
9867,0.1988
9889,1.3978
9917,0.4972
9944,0.1983
9965,1.6979
9993,0.4977
10016,0.2987
10044,-0.5028
10077,-3.6033
10102,1.4975
10122,4.4980
10151,0.4976
10176,-0.2015
10196,4.8980
10216,1.6980
10248,-1.2022
10274,1.3004
10294,0.4980
10317,1.8977
10334,-1.6017
10358,2.9976
10384,1.1974
10398,4.9996
10416,2.7992
10431,0.8985
10455,1.5981
10484,1.2971
10509,2.8975
10534,1.2975
10542,-0.9998
10562,2.3980
10588,0.7984
10610,1.6993
10634,-0.2014
10662,0.2982
10683,1.3984
10709,-0.1006
10728,1.0986
10734,-1.1006
10754,2.6980
10783,-1.0014
10808,2.6985
10833,0.5980
10860,-0.5027
10885,0.7990
10915,0.2980
10934,1.0001
10960,-0.4016
10981,1.7994
11013,-2.1017
11032,3.3996
11054,3.4978
11077,-0.2008
11105,0.9972
11127,2.8983
11133,0.7994
11153,1.9980
11177,2.3981
11203,4.1974
11232,-1.8014
11254,1.0993
11278,1.4986
11308,-0.9025
11336,-1.5028
11370,-0.5034
11398,-0.0013
11418,3.7990
11445,2.2973
11463,2.8992
11487,0.8986
11512,1.7975
11540,-0.9023
11558,5.8982
11581,1.8987
11602,3.5979
11625,1.5002
11647,0.6978
11675,-2.4018
11701,0.8974
11725,1.7976
11757,-1.1032
11779,3.4988
11806,-0.2012
11830,3.4976
11853,2.4982
11879,0.4974
11896,3.1983
11913,4.4983
11942,-0.4004
11970,0.9977
12003,-0.6028
12005,0.2998
12032,-1.4012
12059,0.6998
12080,0.8999
12102,1.8988
12125,1.8992
12152,0.3978
12175,0.8992
12205,0.9975
12228,2.3982
12259,1.5969
12288,2.5971
12315,-1.1027
12340,1.7980
12369,1.4971
12391,2.8983
12413,2.4983
12432,2.0991
12458,1.3984
12474,5.4984
12502,0.4977
12520,4.1997
12542,1.6983
12568,-0.0016
12588,4.4980
12611,-0.3013
12632,2.1979
12654,2.3983
12683,-0.9019
12706,1.4997
12720,4.9986
12745,-0.0025
12769,1.3976
12792,-0.0008
12811,2.3001
12830,0.7021
12853,4.6997
12878,4.1975
12903,2.0985
12920,4.5003
12943,1.6982
12966,0.6977
12983,5.2988
13008,-2.4015
13030,1.1988
13059,1.0971
13091,-0.6032
13113,2.1978
13134,1.8994
13151,1.6003
13178,0.2978
13205,0.7983
13223,5.5017
13235,4.7988
13257,0.6993
13275,3.8987
13316,-4.2041
13340,1.5996
13361,2.9979
13381,-0.1010
13406,2.3990
13434,-0.1023
13458,2.2976
13484,-1.9011
13509,2.1975
13529,1.6985
13556,0.6993
13576,4.9990
13599,4.2977
13619,1.3005
13643,-0.2004
13664,1.4994
13685,0.5999
13706,2.6009
13725,1.0011
13753,-0.7013
13774,1.7979
13795,1.7994
13818,2.5987
13838,1.5995
13859,1.4989
13880,1.8984
13901,1.5999
13918,5.0983
13937,1.6996
13940,0.0997
13964,1.1981
13982,3.0992
14001,3.1011
14017,4.0009
14036,3.1991
14057,1.1994
14075,2.0997
14097,1.4998
14125,0.8977
14144,2.0991
14172,3.3987
14194,1.5983
14213,1.4011
14234,2.7979
14257,1.9977
14281,2.1976
14295,3.4016
14320,-0.1005
14347,0.5983
14375,-0.9008
14399,1.9981
14422,2.9997
14446,1.7976
14471,-0.5025
14498,2.0978
14534,-2.5026
14562,-0.3018
14581,1.2991
14599,2.7982
14613,4.6001
14633,3.2990
14651,2.1992
14677,3.0979
14697,2.4980
14726,-0.6029
14746,2.7985
14767,1.2009
14798,-2.3026
14820,2.6998
14841,4.2979
14865,2.3976
14889,0.5976
14907,5.0987
14930,0.9977
14948,3.3982
14967,3.0001
14987,3.4980
15019,-1.0032
15042,-0.0018
15065,2.8977
15082,4.7983
15117,-2.9025
15141,2.4981
15161,1.9995
15182,0.7009
15199,3.7993
15222,2.2987
15247,0.3975
15275,0.7982
15303,-0.9013
15323,3.3980
15340,3.5983
15355,3.9000
15382,2.9988
15410,0.6982
15435,0.7980
15464,-0.7029
15482,2.9982
15513,1.7969
15532,4.5981
15556,1.8981
15580,0.0996
15600,0.5000
15623,1.2982
15643,4.0990
15663,5.0980
15686,1.9982
15713,-0.0022
15736,2.8977
15759,1.0992
15783,1.8986
15808,0.8980
15829,3.1989
