
Training on cuda | logs -> training_logs/run_seed42_config7 (2)_fresh_20260528_040946
Config: ..\..\configs\config7 (2).yaml
Episodes: 0 -> ...
Steps: 0 -> 150000

Episode    37 | Steps:    1068 | Reward:   2.999 | Avg(100):  -2.126 | Entropy: 0.0497 | Acc: 44.4% (8+ 10-) | Lifetime: 18.0%
Episode    38 | Steps:    1082 | Reward:  -0.300 | Avg(100):  -2.079 | Entropy: 0.0497 | Acc: 35.7% (5+ 9-) | Lifetime: 18.2%
Episode    39 | Steps:    1110 | Reward:  -1.402 | Avg(100):  -2.062 | Entropy: 0.0497 | Acc: 18.5% (5+ 22-) | Lifetime: 18.2%
Episode    40 | Steps:    1133 | Reward:  -2.399 | Avg(100):  -2.070 | Entropy: 0.0497 | Acc: 26.1% (6+ 17-) | Lifetime: 18.4%
Episode    41 | Steps:    1154 | Reward:   3.198 | Avg(100):  -1.945 | Entropy: 0.0497 | Acc: 33.3% (7+ 14-) | Lifetime: 18.7%
Episode    42 | Steps:    1176 | Reward:  -1.602 | Avg(100):  -1.937 | Entropy: 0.0497 | Acc: 18.2% (4+ 18-) | Lifetime: 18.6%
Episode    43 | Steps:    1208 | Reward:  -1.203 | Avg(100):  -1.920 | Entropy: 0.0497 | Acc: 18.8% (6+ 26-) | Lifetime: 18.7%
Episode    44 | Steps:    1247 | Reward:  -4.303 | Avg(100):  -1.973 | Entropy: 0.0497 | Acc: 12.8% (5+ 34-) | Lifetime: 18.5%
Episode    45 | Steps:    1280 | Reward:  -4.401 | Avg(100):  -2.026 | Entropy: 0.0496 | Acc: 18.2% (6+ 27-) | Lifetime: 18.5%
Episode    46 | Steps:    1306 | Reward:   1.897 | Avg(100):  -1.942 | Entropy: 0.0496 | Acc: 30.8% (8+ 18-) | Lifetime: 18.7%
Episode    47 | Steps:    1317 | Reward:  -0.101 | Avg(100):  -1.904 | Entropy: 0.0496 | Acc: 27.3% (3+ 8-) | Lifetime: 18.8%
Episode    48 | Steps:    1351 | Reward:  -2.303 | Avg(100):  -1.912 | Entropy: 0.0496 | Acc: 14.7% (5+ 29-) | Lifetime: 18.7%
Episode    49 | Steps:    1375 | Reward:   0.600 | Avg(100):  -1.862 | Entropy: 0.0496 | Acc: 26.1% (6+ 17-) | Lifetime: 18.8%
