
Training on cuda | logs -> training_logs/run_seed41_config10_fresh_20260513_200900
Config: ..\..\configs\config10.yaml
Episodes: 0 -> ...
Steps: 0 -> 100000

Episode     0 | Steps:      40 | Reward:   0.097 | Avg(100):   0.097 | Entropy: 0.1000 | Acc: 17.1% (7+ 34-) | Lifetime: 17.1%
Episode     1 | Steps:      81 | Reward:   0.098 | Avg(100):   0.097 | Entropy: 0.1000 | Acc: 19.5% (8+ 33-) | Lifetime: 18.3%
Episode     2 | Steps:     111 | Reward:   1.798 | Avg(100):   0.664 | Entropy: 0.1000 | Acc: 26.7% (8+ 22-) | Lifetime: 20.5%
Episode     3 | Steps:     143 | Reward:  -0.902 | Avg(100):   0.273 | Entropy: 0.1000 | Acc: 21.9% (7+ 25-) | Lifetime: 20.8%
Episode     4 | Steps:     177 | Reward:  -0.201 | Avg(100):   0.178 | Entropy: 0.1000 | Acc: 23.5% (8+ 26-) | Lifetime: 21.3%
Episode     5 | Steps:     239 | Reward:  -6.004 | Avg(100):  -0.852 | Entropy: 0.1000 | Acc: 11.3% (7+ 55-) | Lifetime: 18.8%
Episode     6 | Steps:     274 | Reward:  -0.503 | Avg(100):  -0.802 | Entropy: 0.0998 | Acc: 22.9% (8+ 27-) | Lifetime: 19.3%
Episode     7 | Steps:     322 | Reward:  -3.803 | Avg(100):  -1.177 | Entropy: 0.0998 | Acc: 16.7% (8+ 40-) | Lifetime: 18.9%
Episode     8 | Steps:     359 | Reward:   1.497 | Avg(100):  -0.880 | Entropy: 0.0998 | Acc: 21.6% (8+ 29-) | Lifetime: 19.2%
Episode     9 | Steps:     389 | Reward:   0.698 | Avg(100):  -0.722 | Entropy: 0.0998 | Acc: 30.0% (9+ 21-) | Lifetime: 20.0%
Episode    10 | Steps:     437 | Reward:  -4.903 | Avg(100):  -1.103 | Entropy: 0.0998 | Acc: 8.3% (4+ 44-) | Lifetime: 18.7%
Episode    11 | Steps:     480 | Reward:  -1.703 | Avg(100):  -1.153 | Entropy: 0.0998 | Acc: 16.3% (7+ 36-) | Lifetime: 18.5%
  [Step 500] Action dist: A0:23% | A1:20% | A2:12% | A3:26% | A4:18%
Episode    12 | Steps:     515 | Reward:   0.096 | Avg(100):  -1.056 | Entropy: 0.0996 | Acc: 25.7% (9+ 26-) | Lifetime: 19.0%
Episode    13 | Steps:     557 | Reward:  -0.903 | Avg(100):  -1.046 | Entropy: 0.0996 | Acc: 19.0% (8+ 34-) | Lifetime: 19.0%
Episode    14 | Steps:     590 | Reward:   0.799 | Avg(100):  -0.923 | Entropy: 0.0996 | Acc: 24.2% (8+ 25-) | Lifetime: 19.3%
Episode    15 | Steps:     636 | Reward:   1.096 | Avg(100):  -0.796 | Entropy: 0.0996 | Acc: 19.6% (9+ 37-) | Lifetime: 19.3%
Episode    16 | Steps:     685 | Reward:  -4.303 | Avg(100):  -1.003 | Entropy: 0.0996 | Acc: 10.2% (5+ 44-) | Lifetime: 18.7%
Episode    17 | Steps:     716 | Reward:   0.097 | Avg(100):  -0.942 | Entropy: 0.0996 | Acc: 19.4% (6+ 25-) | Lifetime: 18.7%
Episode    18 | Steps:     758 | Reward:  -2.704 | Avg(100):  -1.034 | Entropy: 0.0996 | Acc: 11.9% (5+ 37-) | Lifetime: 18.3%
Episode    19 | Steps:     795 | Reward:  -2.503 | Avg(100):  -1.108 | Entropy: 0.0994 | Acc: 13.5% (5+ 32-) | Lifetime: 18.1%
Episode    20 | Steps:     834 | Reward:  -0.802 | Avg(100):  -1.093 | Entropy: 0.0994 | Acc: 17.9% (7+ 32-) | Lifetime: 18.1%
Episode    21 | Steps:     859 | Reward:   3.998 | Avg(100):  -0.862 | Entropy: 0.0994 | Acc: 40.0% (10+ 15-) | Lifetime: 18.7%
Episode    22 | Steps:     908 | Reward:  -4.204 | Avg(100):  -1.007 | Entropy: 0.0994 | Acc: 12.2% (6+ 43-) | Lifetime: 18.4%
Episode    23 | Steps:     956 | Reward:  -5.203 | Avg(100):  -1.182 | Entropy: 0.0994 | Acc: 10.4% (5+ 43-) | Lifetime: 18.0%
Episode    24 | Steps:     993 | Reward:  -1.003 | Avg(100):  -1.175 | Entropy: 0.0994 | Acc: 16.2% (6+ 31-) | Lifetime: 17.9%
  [Step 1000] Action dist: A0:23% | A1:21% | A2:13% | A3:23% | A4:20%
Episode    25 | Steps:    1037 | Reward:  -2.604 | Avg(100):  -1.230 | Entropy: 0.0992 | Acc: 15.9% (7+ 37-) | Lifetime: 17.8%
Episode    26 | Steps:    1076 | Reward:  -1.201 | Avg(100):  -1.229 | Entropy: 0.0992 | Acc: 20.5% (8+ 31-) | Lifetime: 17.9%
Episode    27 | Steps:    1103 | Reward:   2.498 | Avg(100):  -1.096 | Entropy: 0.0992 | Acc: 22.2% (6+ 21-) | Lifetime: 18.0%
Episode    28 | Steps:    1136 | Reward:  -1.302 | Avg(100):  -1.103 | Entropy: 0.0992 | Acc: 15.2% (5+ 28-) | Lifetime: 17.9%
Episode    29 | Steps:    1168 | Reward:  -0.002 | Avg(100):  -1.066 | Entropy: 0.0992 | Acc: 18.8% (6+ 26-) | Lifetime: 18.0%
Episode    30 | Steps:    1194 | Reward:   2.097 | Avg(100):  -0.964 | Entropy: 0.0992 | Acc: 23.1% (6+ 20-) | Lifetime: 18.1%
Episode    31 | Steps:    1239 | Reward:  -1.205 | Avg(100):  -0.971 | Entropy: 0.0992 | Acc: 13.3% (6+ 39-) | Lifetime: 17.9%
Episode    32 | Steps:    1287 | Reward:  -3.803 | Avg(100):  -1.057 | Entropy: 0.0990 | Acc: 12.5% (6+ 42-) | Lifetime: 17.7%
Episode    33 | Steps:    1323 | Reward:  -0.302 | Avg(100):  -1.035 | Entropy: 0.0990 | Acc: 16.7% (6+ 30-) | Lifetime: 17.7%
Episode    34 | Steps:    1367 | Reward:   0.197 | Avg(100):  -1.000 | Entropy: 0.0990 | Acc: 18.2% (8+ 36-) | Lifetime: 17.7%
Episode    35 | Steps:    1398 | Reward:   0.297 | Avg(100):  -0.964 | Entropy: 0.0990 | Acc: 19.4% (6+ 25-) | Lifetime: 17.7%
Episode    36 | Steps:    1424 | Reward:   0.098 | Avg(100):  -0.935 | Entropy: 0.0990 | Acc: 19.2% (5+ 21-) | Lifetime: 17.8%
Episode    37 | Steps:    1443 | Reward:   4.400 | Avg(100):  -0.795 | Entropy: 0.0990 | Acc: 47.4% (9+ 10-) | Lifetime: 18.1%
Episode    38 | Steps:    1476 | Reward:   3.697 | Avg(100):  -0.680 | Entropy: 0.0990 | Acc: 27.3% (9+ 24-) | Lifetime: 18.3%
  [Step 1500] Action dist: A0:15% | A1:19% | A2:19% | A3:23% | A4:24%
Episode    39 | Steps:    1511 | Reward:   0.897 | Avg(100):  -0.640 | Entropy: 0.0990 | Acc: 20.0% (7+ 28-) | Lifetime: 18.4%
Episode    40 | Steps:    1544 | Reward:   0.799 | Avg(100):  -0.605 | Entropy: 0.0988 | Acc: 27.3% (9+ 24-) | Lifetime: 18.6%
Episode    41 | Steps:    1580 | Reward:  -0.601 | Avg(100):  -0.605 | Entropy: 0.0988 | Acc: 22.2% (8+ 28-) | Lifetime: 18.7%
Episode    42 | Steps:    1614 | Reward:  -1.702 | Avg(100):  -0.630 | Entropy: 0.0988 | Acc: 17.6% (6+ 28-) | Lifetime: 18.6%
Episode    43 | Steps:    1649 | Reward:  -1.703 | Avg(100):  -0.655 | Entropy: 0.0988 | Acc: 14.3% (5+ 30-) | Lifetime: 18.5%
