
Training on cuda | logs -> training_logs/run_seed43_config5 (3)_fresh_20260528_010619
Config: ..\..\configs\config5 (3).yaml
Episodes: 0 -> ...
Steps: 0 -> 150000

Episode     0 | Steps:      25 | Reward:  -1.703 | Avg(100):  -1.703 | Entropy: 0.1000 | Acc: 19.2% (5+ 21-) | Lifetime: 19.2%
Episode     1 | Steps:      46 | Reward:  -0.501 | Avg(100):  -1.102 | Entropy: 0.1000 | Acc: 28.6% (6+ 15-) | Lifetime: 23.4%
Episode     2 | Steps:      77 | Reward:  -1.703 | Avg(100):  -1.302 | Entropy: 0.1000 | Acc: 16.1% (5+ 26-) | Lifetime: 20.5%
Episode     3 | Steps:     105 | Reward:  -2.901 | Avg(100):  -1.702 | Entropy: 0.1000 | Acc: 21.4% (6+ 22-) | Lifetime: 20.8%
Episode     4 | Steps:     132 | Reward:  -0.300 | Avg(100):  -1.422 | Entropy: 0.1000 | Acc: 29.6% (8+ 19-) | Lifetime: 22.6%
Episode     5 | Steps:     160 | Reward:  -0.403 | Avg(100):  -1.252 | Entropy: 0.1000 | Acc: 21.4% (6+ 22-) | Lifetime: 22.4%
Episode     6 | Steps:     185 | Reward:   4.297 | Avg(100):  -0.459 | Entropy: 0.1000 | Acc: 36.0% (9+ 16-) | Lifetime: 24.2%
Episode     7 | Steps:     221 | Reward:  -4.202 | Avg(100):  -0.927 | Entropy: 0.1000 | Acc: 13.9% (5+ 31-) | Lifetime: 22.5%
Episode     8 | Steps:     238 | Reward:  -2.002 | Avg(100):  -1.046 | Entropy: 0.1000 | Acc: 11.8% (2+ 15-) | Lifetime: 21.8%
Episode     9 | Steps:     262 | Reward:  -1.600 | Avg(100):  -1.102 | Entropy: 0.0999 | Acc: 25.0% (6+ 18-) | Lifetime: 22.1%
Episode    10 | Steps:     284 | Reward:  -3.301 | Avg(100):  -1.302 | Entropy: 0.0999 | Acc: 13.6% (3+ 19-) | Lifetime: 21.4%
Episode    11 | Steps:     309 | Reward:   0.599 | Avg(100):  -1.143 | Entropy: 0.0999 | Acc: 32.0% (8+ 17-) | Lifetime: 22.3%
Episode    12 | Steps:     315 | Reward:  -0.501 | Avg(100):  -1.094 | Entropy: 0.0999 | Acc: 16.7% (1+ 5-) | Lifetime: 22.2%
Episode    13 | Steps:     350 | Reward:  -3.204 | Avg(100):  -1.244 | Entropy: 0.0999 | Acc: 11.4% (4+ 31-) | Lifetime: 21.1%
Episode    14 | Steps:     384 | Reward:   0.998 | Avg(100):  -1.095 | Entropy: 0.0999 | Acc: 26.5% (9+ 25-) | Lifetime: 21.6%
Episode    15 | Steps:     402 | Reward:   5.898 | Avg(100):  -0.658 | Entropy: 0.0999 | Acc: 55.6% (10+ 8-) | Lifetime: 23.1%
Episode    16 | Steps:     430 | Reward:  -4.203 | Avg(100):  -0.866 | Entropy: 0.0999 | Acc: 7.1% (2+ 26-) | Lifetime: 22.0%
Episode    17 | Steps:     463 | Reward:  -2.403 | Avg(100):  -0.952 | Entropy: 0.0999 | Acc: 15.6% (5+ 27-) | Lifetime: 21.6%
  [Step 500] Action dist: A0:18% | A1:22% | A2:25% | A3:16% | A4:20%
Episode    18 | Steps:     502 | Reward:  -6.003 | Avg(100):  -1.218 | Entropy: 0.0999 | Acc: 10.3% (4+ 35-) | Lifetime: 20.7%
Episode    19 | Steps:     534 | Reward:  -4.803 | Avg(100):  -1.397 | Entropy: 0.0997 | Acc: 6.5% (2+ 29-) | Lifetime: 19.9%
Episode    20 | Steps:     547 | Reward:  -2.401 | Avg(100):  -1.445 | Entropy: 0.0997 | Acc: 7.7% (1+ 12-) | Lifetime: 19.6%
Episode    21 | Steps:     580 | Reward:  -1.001 | Avg(100):  -1.425 | Entropy: 0.0997 | Acc: 24.2% (8+ 25-) | Lifetime: 19.9%
Episode    22 | Steps:     619 | Reward:  -4.304 | Avg(100):  -1.550 | Entropy: 0.0997 | Acc: 10.5% (4+ 34-) | Lifetime: 19.3%
