Step,Reward
42,-5.8043
65,1.7982
109,-5.1039
136,-0.0027
166,-0.9005
183,2.7003
238,-8.5040
264,-2.2011
297,-1.2028
328,-2.0021
348,1.8995
390,-4.9037
416,-1.5021
448,-2.9017
486,-4.1028
522,-5.0991
561,-6.8014
595,-4.3024
632,-5.2007
673,-1.4021
717,-4.3044
745,-3.5028
766,-0.0021
795,-1.8029
829,-3.2014
865,-4.2031
895,-2.8005
936,-5.4036
973,-5.0002
1000,1.3978
1018,3.6992
1040,1.6983
1071,-1.5026
1076,-1.0005
1101,2.0975
1128,1.3973
1160,-1.8007
1185,-1.8005
1210,0.0995
1227,-0.8017
1258,-3.3011
1282,-2.0014
1315,-4.1013
1359,-4.1039
1390,-1.5021
1424,-3.3024
1444,1.8990
1450,1.1994
1471,-3.5021
1518,-6.8047
1545,-2.9007
1568,-0.9998
1599,-1.5031
1631,-3.2012
1652,2.1009
1676,0.0991
1706,-2.0020
1739,-2.7013
1767,-2.1023
1778,0.8989
1804,-0.6006
1824,0.6000
1848,1.7986
1874,-0.1011
1901,-3.1017
1927,-2.3001
1959,-3.9997
1987,1.6977
2018,-2.0021
2051,-2.9023
2067,-1.6006
2082,0.7005
2110,-0.4028
2142,-1.7027
2172,-2.0030
2196,-0.6994
2220,1.7976
2242,-1.3022
2277,-2.3030
2292,-2.1010
2316,-1.3999
2349,-2.7008
2385,-5.9021
2417,-3.7007
2439,1.4983
2448,-1.1009
2467,3.2996
2498,-3.9026
2521,0.2992
2539,1.9017
2565,-0.2021
2586,1.3999
2620,-2.1034
2626,-1.2006
2649,-0.6013
2682,-2.2023
2698,-0.1016
2727,-1.9004
2752,4.9975
2773,0.4004
2798,0.1975
2820,0.9998
2850,-5.2000
2880,-1.8025
2903,-2.8008
2937,-4.3024
2962,-3.6025
2988,-2.7011
3014,1.6974
3045,-1.7031
3067,2.6988
3101,-3.0034
3121,0.9000
3129,-1.6008
3154,-3.1025
3185,-2.4031
3205,0.8990
3233,-2.1023
3266,-1.2033
3296,-3.0030
3326,-0.1030
3329,-0.6003
3349,-0.0015
3375,-0.3016
3403,-1.1023
3430,1.1983
3451,5.0989
3473,-0.4012
3504,-1.2031
3516,-0.3002
3541,1.1975
3564,1.9992
3585,2.3994
3616,-3.2016
3641,-0.1005
3665,-1.6004
3691,-0.9026
3723,-0.3032
3748,0.3985
3772,0.3986
3806,-2.8034
3829,-0.6998
3846,3.9983
3881,-5.4025
3915,0.2971
3944,-1.3029
3965,1.6989
3993,-1.3028
4027,-1.6034
4033,-1.2006
4056,-0.9008
4065,-0.4009
4082,3.4003
4099,0.7023
4117,1.9997
4141,-0.1019
4172,-2.3006
4189,3.1998
4215,0.1984
4247,-1.2032
4273,-0.5011
4309,-5.1026
4339,-1.8025
4374,-3.4035
4402,-2.8013
4423,2.5999
4457,-5.5019
4490,-1.0023
4516,0.1989
4550,-3.0034
4571,2.6979
4589,0.8987
4608,2.2991
4629,2.8989
4658,-1.4009
4677,2.3006
4700,-0.4013
4722,0.5003
4742,3.7990
4756,4.3001
4776,3.0985
4797,2.8984
4828,-1.5021
4854,0.8989
4878,0.7991
4901,0.3002
4915,-0.2009
4944,0.2981
4963,2.2996
