Episode,Reward,Cumulative Reward
1,20.30,20.30
2,28.60,48.90
3,-153.00,-104.09
4,166.10,62.01
5,191.90,253.91
6,-68.30,185.61
7,-39.10,146.51
8,48.70,195.22
9,-81.70,113.52
10,29.00,142.52
11,-11.90,130.62
12,32.36,162.98
13,263.30,426.28
14,211.20,637.48
15,273.30,910.78
16,336.00,1246.79
17,300.90,1547.69
18,-116.70,1430.99
19,-169.30,1261.69
20,803.30,2064.99
21,-537.60,1527.40
22,-100.90,1426.50
23,227.70,1654.20
24,779.30,2433.50
25,863.30,3296.81
26,288.23,3585.03
27,475.20,4060.24
28,349.70,4409.94
29,335.00,4744.94
30,979.70,5724.64
31,976.70,6701.34
32,-155.00,6546.35
33,-1.50,6544.85
34,645.10,7189.95
35,119.30,7309.25
36,995.30,8304.55
37,-195.60,8108.96
38,269.70,8378.66
39,958.10,9336.76
40,983.30,10320.06
41,995.30,11315.36
42,937.20,12252.57
43,435.30,12687.87
44,710.40,13398.27
45,-306.70,13091.57
46,387.90,13479.47
47,206.10,13685.58
48,207.10,13892.68
49,589.70,14482.38
50,959.30,15441.68
51,541.30,15982.99
52,247.30,16230.29
53,180.10,16410.39
54,-30.00,16380.39
55,251.20,16631.59
56,688.10,17319.70
57,672.10,17991.80
58,129.70,18121.50
59,-23.76,18097.74
60,995.30,19093.04
61,500.10,19593.14
62,93.30,19686.44
63,381.30,20067.75
64,236.70,20304.45
65,-30.60,20273.85
66,-14.05,20259.80
67,995.30,21255.11
68,604.80,21859.91
69,-69.50,21790.41
70,995.30,22785.71
71,579.30,23365.01
72,567.10,23932.12
73,-2.71,23929.40
74,309.00,24238.41
75,227.10,24465.51
76,422.80,24888.31
77,-108.40,24779.91
78,887.20,25667.12
79,-69.50,25597.62
80,213.90,25811.52
81,892.00,26703.52
82,296.90,27000.42
83,995.30,27995.73
84,258.10,28253.83
85,-108.77,28145.06
86,995.30,29140.36
87,338.30,29478.66
88,983.30,30461.97
89,649.70,31111.67
90,531.70,31643.37
91,513.90,32157.27
92,431.60,32588.87
93,-161.59,32427.29
94,811.20,33238.49
95,-28.73,33209.76
96,995.30,34205.06
97,339.70,34544.76
98,434.60,34979.37
99,277.40,35256.77
100,477.20,35733.97
101,319.30,36053.27
102,-16.76,36036.51
103,316.60,36353.11
104,639.40,36992.51
105,757.50,37750.02
106,940.10,38690.12
107,682.70,39372.82
108,935.30,40308.12
109,396.90,40705.02
110,-37.92,40667.11
111,41.30,40708.41
112,315.30,41023.71
113,947.30,41971.02
114,517.90,42488.92
115,191.70,42680.62
116,522.00,43202.62
117,608.10,43810.72
118,378.37,44189.09
119,971.30,45160.39
120,300.18,45460.57
121,983.30,46443.87
122,642.20,47086.07
123,225.90,47311.98
124,487.20,47799.18
125,-41.72,47757.46
126,983.30,48740.76
127,629.10,49369.86
128,486.60,49856.46
129,933.70,50790.17
130,693.10,51483.27
131,268.70,51751.97
132,215.30,51967.27
133,776.90,52744.17
134,939.50,53683.68
135,492.80,54176.48
136,664.21,54840.69
137,995.30,55835.99
138,218.10,56054.09
139,395.00,56449.09
140,493.30,56942.40
141,983.30,57925.70
142,410.90,58336.60
143,391.30,58727.90
144,8.18,58736.08
145,995.30,59731.39
146,206.26,59937.64
147,497.90,60435.54
148,197.04,60632.59
149,957.50,61590.09
150,327.20,61917.29
151,971.30,62888.59
152,995.30,63883.90
153,437.70,64321.60
154,149.10,64470.70
155,995.30,65466.00
156,398.90,65864.90
157,565.30,66430.20
158,935.30,67365.50
159,237.97,67603.48
160,995.30,68598.78
161,-10.23,68588.55
162,995.30,69583.85
163,197.10,69780.95
164,91.24,69872.20
165,995.30,70867.50
166,752.60,71620.10
167,312.80,71932.90
168,995.30,72928.20
169,29.20,72957.40
170,774.80,73732.20
171,119.82,73852.02
172,-144.60,73707.42
173,247.36,73954.78
174,995.30,74950.08
175,31.25,74981.34
176,995.30,75976.64
177,620.43,76597.07
178,995.30,77592.37
179,-56.60,77535.77
180,325.10,77860.88
181,697.60,78558.48
182,795.00,79353.48
183,963.60,80317.08
184,210.30,80527.38
185,242.40,80769.79
186,24.30,80794.09
187,134.98,80929.06
188,947.30,81876.37
189,899.00,82775.37
190,682.70,83458.07
191,196.17,83654.24
192,995.30,84649.54
193,397.70,85047.24
194,623.80,85671.04
195,229.23,85900.28
196,860.30,86760.58
197,585.50,87346.08
198,947.30,88293.38
199,500.90,88794.29
200,11.28,88805.57
201,680.50,89486.07
202,983.30,90469.37
203,656.30,91125.68
204,64.26,91189.94
205,971.30,92161.24
206,178.76,92340.00
