
Training on cuda | logs -> training_logs/run_seed43_config2 (3)_fresh_20260527_214311
Config: ..\..\configs\config2 (3).yaml
Episodes: 0 -> ...
Steps: 0 -> 150000

Episode     0 | Steps:      32 | Reward:  -2.803 | Avg(100):  -2.803 | Entropy: 0.1000 | Acc: 12.1% (4+ 29-) | Lifetime: 12.1%
Episode     1 | Steps:      54 | Reward:  -1.000 | Avg(100):  -1.902 | Entropy: 0.1000 | Acc: 31.8% (7+ 15-) | Lifetime: 20.0%
Episode     2 | Steps:      96 | Reward:  -4.703 | Avg(100):  -2.835 | Entropy: 0.1000 | Acc: 14.3% (6+ 36-) | Lifetime: 17.5%
Episode     3 | Steps:     138 | Reward:  -5.203 | Avg(100):  -3.427 | Entropy: 0.1000 | Acc: 14.3% (6+ 36-) | Lifetime: 16.5%
Episode     4 | Steps:     174 | Reward:  -5.702 | Avg(100):  -3.882 | Entropy: 0.1000 | Acc: 13.9% (5+ 31-) | Lifetime: 16.0%
Episode     5 | Steps:     200 | Reward:  -1.702 | Avg(100):  -3.519 | Entropy: 0.1000 | Acc: 19.2% (5+ 21-) | Lifetime: 16.4%
Episode     6 | Steps:     224 | Reward:  -1.502 | Avg(100):  -3.231 | Entropy: 0.1000 | Acc: 16.7% (4+ 20-) | Lifetime: 16.4%
Episode     7 | Steps:     261 | Reward:  -2.101 | Avg(100):  -3.089 | Entropy: 0.0999 | Acc: 24.3% (9+ 28-) | Lifetime: 17.6%
Episode     8 | Steps:     287 | Reward:  -0.502 | Avg(100):  -2.802 | Entropy: 0.0999 | Acc: 23.1% (6+ 20-) | Lifetime: 18.1%
Episode     9 | Steps:     315 | Reward:  -0.001 | Avg(100):  -2.522 | Entropy: 0.0999 | Acc: 28.6% (8+ 20-) | Lifetime: 19.0%
Episode    10 | Steps:     355 | Reward:  -1.903 | Avg(100):  -2.466 | Entropy: 0.0999 | Acc: 20.0% (8+ 32-) | Lifetime: 19.1%
Episode    11 | Steps:     393 | Reward:  -3.903 | Avg(100):  -2.585 | Entropy: 0.0999 | Acc: 15.8% (6+ 32-) | Lifetime: 18.8%
Episode    12 | Steps:     428 | Reward:  -2.804 | Avg(100):  -2.602 | Entropy: 0.0999 | Acc: 17.1% (6+ 29-) | Lifetime: 18.6%
Episode    13 | Steps:     433 | Reward:  -1.001 | Avg(100):  -2.488 | Entropy: 0.0999 | Acc: 0.0% (0+ 5-) | Lifetime: 18.4%
Episode    14 | Steps:     436 | Reward:   0.100 | Avg(100):  -2.315 | Entropy: 0.0999 | Acc: 33.3% (1+ 2-) | Lifetime: 18.5%
Episode    15 | Steps:     459 | Reward:   3.698 | Avg(100):  -1.939 | Entropy: 0.0999 | Acc: 39.1% (9+ 14-) | Lifetime: 19.6%
Episode    16 | Steps:     488 | Reward:  -4.203 | Avg(100):  -2.073 | Entropy: 0.0999 | Acc: 7.1% (2+ 26-) | Lifetime: 18.9%
  [Step 500] Action dist: A0:28% | A1:17% | A2:15% | A3:18% | A4:22%
Episode    17 | Steps:     530 | Reward:  -3.502 | Avg(100):  -2.152 | Entropy: 0.0997 | Acc: 16.7% (7+ 35-) | Lifetime: 18.7%
Episode    18 | Steps:     558 | Reward:  -2.201 | Avg(100):  -2.155 | Entropy: 0.0997 | Acc: 25.0% (7+ 21-) | Lifetime: 19.0%
Episode    19 | Steps:     580 | Reward:  -1.602 | Avg(100):  -2.127 | Entropy: 0.0997 | Acc: 18.2% (4+ 18-) | Lifetime: 19.0%
Episode    20 | Steps:     626 | Reward:  -7.404 | Avg(100):  -2.378 | Entropy: 0.0997 | Acc: 6.7% (3+ 42-) | Lifetime: 18.1%
Episode    21 | Steps:     648 | Reward:  -0.701 | Avg(100):  -2.302 | Entropy: 0.0997 | Acc: 23.8% (5+ 16-) | Lifetime: 18.3%
Episode    22 | Steps:     679 | Reward:  -2.101 | Avg(100):  -2.293 | Entropy: 0.0997 | Acc: 23.3% (7+ 23-) | Lifetime: 18.5%
Episode    23 | Steps:     713 | Reward:  -2.602 | Avg(100):  -2.306 | Entropy: 0.0997 | Acc: 17.6% (6+ 28-) | Lifetime: 18.5%
Episode    24 | Steps:     737 | Reward:  -1.198 | Avg(100):  -2.262 | Entropy: 0.0997 | Acc: 33.3% (8+ 16-) | Lifetime: 18.9%
Episode    25 | Steps:     777 | Reward:  -5.503 | Avg(100):  -2.386 | Entropy: 0.0996 | Acc: 12.5% (5+ 35-) | Lifetime: 18.6%
Episode    26 | Steps:     816 | Reward:  -3.901 | Avg(100):  -2.443 | Entropy: 0.0996 | Acc: 17.9% (7+ 32-) | Lifetime: 18.6%
Episode    27 | Steps:     839 | Reward:   0.500 | Avg(100):  -2.337 | Entropy: 0.0996 | Acc: 34.8% (8+ 15-) | Lifetime: 19.0%
Episode    28 | Steps:     891 | Reward:  -7.405 | Avg(100):  -2.512 | Entropy: 0.0996 | Acc: 7.8% (4+ 47-) | Lifetime: 18.4%
Episode    29 | Steps:     925 | Reward:  -2.402 | Avg(100):  -2.509 | Entropy: 0.0996 | Acc: 20.6% (7+ 27-) | Lifetime: 18.5%
Episode    30 | Steps:     929 | Reward:  -0.800 | Avg(100):  -2.453 | Entropy: 0.0996 | Acc: 0.0% (0+ 4-) | Lifetime: 18.4%
Episode    31 | Steps:     964 | Reward:  -3.802 | Avg(100):  -2.496 | Entropy: 0.0996 | Acc: 17.1% (6+ 29-) | Lifetime: 18.3%
Episode    32 | Steps:     992 | Reward:  -1.299 | Avg(100):  -2.459 | Entropy: 0.0996 | Acc: 29.6% (8+ 19-) | Lifetime: 18.6%
  [Step 1000] Action dist: A0:27% | A1:21% | A2:15% | A3:18% | A4:19%
Episode    33 | Steps:    1012 | Reward:   0.100 | Avg(100):  -2.384 | Entropy: 0.0996 | Acc: 40.0% (8+ 12-) | Lifetime: 19.1%
Episode    34 | Steps:    1052 | Reward:  -4.803 | Avg(100):  -2.453 | Entropy: 0.0995 | Acc: 15.0% (6+ 34-) | Lifetime: 18.9%
Episode    35 | Steps:    1093 | Reward:  -5.202 | Avg(100):  -2.529 | Entropy: 0.0995 | Acc: 12.2% (5+ 36-) | Lifetime: 18.7%
Episode    36 | Steps:    1111 | Reward:   1.702 | Avg(100):  -2.415 | Entropy: 0.0995 | Acc: 50.0% (9+ 9-) | Lifetime: 19.2%
Episode    37 | Steps:    1140 | Reward:  -1.303 | Avg(100):  -2.386 | Entropy: 0.0995 | Acc: 17.2% (5+ 24-) | Lifetime: 19.1%
Episode    38 | Steps:    1160 | Reward:  -2.602 | Avg(100):  -2.391 | Entropy: 0.0995 | Acc: 10.0% (2+ 18-) | Lifetime: 19.0%
Episode    39 | Steps:    1201 | Reward:  -4.904 | Avg(100):  -2.454 | Entropy: 0.0995 | Acc: 9.8% (4+ 37-) | Lifetime: 18.6%
Episode    40 | Steps:    1243 | Reward:  -5.702 | Avg(100):  -2.533 | Entropy: 0.0995 | Acc: 14.3% (6+ 36-) | Lifetime: 18.5%
Episode    41 | Steps:    1269 | Reward:  -0.600 | Avg(100):  -2.487 | Entropy: 0.0995 | Acc: 30.8% (8+ 18-) | Lifetime: 18.8%
Episode    42 | Steps:    1292 | Reward:  -2.502 | Avg(100):  -2.488 | Entropy: 0.0993 | Acc: 13.0% (3+ 20-) | Lifetime: 18.6%
Episode    43 | Steps:    1323 | Reward:  -0.303 | Avg(100):  -2.438 | Entropy: 0.0993 | Acc: 22.6% (7+ 24-) | Lifetime: 18.7%
Episode    44 | Steps:    1353 | Reward:   0.397 | Avg(100):  -2.375 | Entropy: 0.0993 | Acc: 23.3% (7+ 23-) | Lifetime: 18.8%
Episode    45 | Steps:    1381 | Reward:  -1.901 | Avg(100):  -2.365 | Entropy: 0.0993 | Acc: 21.4% (6+ 22-) | Lifetime: 18.9%
Episode    46 | Steps:    1413 | Reward:  -1.302 | Avg(100):  -2.342 | Entropy: 0.0993 | Acc: 25.0% (8+ 24-) | Lifetime: 19.0%
Episode    47 | Steps:    1441 | Reward:  -1.401 | Avg(100):  -2.323 | Entropy: 0.0993 | Acc: 21.4% (6+ 22-) | Lifetime: 19.1%
Episode    48 | Steps:    1474 | Reward:  -2.001 | Avg(100):  -2.316 | Entropy: 0.0993 | Acc: 24.2% (8+ 25-) | Lifetime: 19.2%
  [Step 1500] Action dist: A0:27% | A1:19% | A2:15% | A3:18% | A4:21%
Episode    49 | Steps:    1512 | Reward:  -4.104 | Avg(100):  -2.352 | Entropy: 0.0993 | Acc: 13.2% (5+ 33-) | Lifetime: 19.0%
Episode    50 | Steps:    1526 | Reward:  -1.901 | Avg(100):  -2.343 | Entropy: 0.0993 | Acc: 14.3% (2+ 12-) | Lifetime: 19.0%
Episode    51 | Steps:    1558 | Reward:  -2.603 | Avg(100):  -2.348 | Entropy: 0.0992 | Acc: 12.5% (4+ 28-) | Lifetime: 18.9%
Episode    52 | Steps:    1584 | Reward:  -1.100 | Avg(100):  -2.324 | Entropy: 0.0992 | Acc: 28.0% (7+ 18-) | Lifetime: 19.0%
