
Training on cuda | logs -> training_logs/run_seed41_config4_fresh_20260529_233648
Config: ..\..\configs\config4.yaml
Episodes: 0 -> ...
Steps: 0 -> 150000

Episode     0 | Steps:      30 | Reward:  -1.503 | Avg(100):  -1.503 | Entropy: 0.1000 | Acc: 19.4% (6+ 25-) | Lifetime: 19.4%
Episode     1 | Steps:      62 | Reward:   0.197 | Avg(100):  -0.653 | Entropy: 0.1000 | Acc: 25.0% (8+ 24-) | Lifetime: 22.2%
Episode     2 | Steps:      88 | Reward:  -2.702 | Avg(100):  -1.336 | Entropy: 0.1000 | Acc: 19.2% (5+ 21-) | Lifetime: 21.3%
Episode     3 | Steps:     122 | Reward:  -2.103 | Avg(100):  -1.528 | Entropy: 0.1000 | Acc: 17.6% (6+ 28-) | Lifetime: 20.3%
Episode     4 | Steps:     154 | Reward:  -4.402 | Avg(100):  -2.103 | Entropy: 0.1000 | Acc: 15.6% (5+ 27-) | Lifetime: 19.4%
Episode     5 | Steps:     182 | Reward:   0.998 | Avg(100):  -1.586 | Entropy: 0.1000 | Acc: 28.6% (8+ 20-) | Lifetime: 20.8%
Episode     6 | Steps:     212 | Reward:  -0.601 | Avg(100):  -1.445 | Entropy: 0.1000 | Acc: 23.3% (7+ 23-) | Lifetime: 21.1%
Episode     7 | Steps:     241 | Reward:  -0.901 | Avg(100):  -1.377 | Entropy: 0.1000 | Acc: 24.1% (7+ 22-) | Lifetime: 21.5%
Episode     8 | Steps:     286 | Reward:  -5.505 | Avg(100):  -1.836 | Entropy: 0.0999 | Acc: 11.1% (5+ 40-) | Lifetime: 19.9%
Episode     9 | Steps:     295 | Reward:  -0.900 | Avg(100):  -1.742 | Entropy: 0.0999 | Acc: 22.2% (2+ 7-) | Lifetime: 19.9%
Episode    10 | Steps:     320 | Reward:  -0.102 | Avg(100):  -1.593 | Entropy: 0.0999 | Acc: 28.0% (7+ 18-) | Lifetime: 20.6%
Episode    11 | Steps:     340 | Reward:   3.599 | Avg(100):  -1.160 | Entropy: 0.0999 | Acc: 40.0% (8+ 12-) | Lifetime: 21.7%
Episode    12 | Steps:     365 | Reward:   0.800 | Avg(100):  -1.010 | Entropy: 0.0999 | Acc: 36.0% (9+ 16-) | Lifetime: 22.7%
Episode    13 | Steps:     390 | Reward:   2.298 | Avg(100):  -0.773 | Entropy: 0.0999 | Acc: 36.0% (9+ 16-) | Lifetime: 23.5%
Episode    14 | Steps:     428 | Reward:  -5.503 | Avg(100):  -1.089 | Entropy: 0.0999 | Acc: 7.9% (3+ 35-) | Lifetime: 22.1%
Episode    15 | Steps:     457 | Reward:   0.499 | Avg(100):  -0.989 | Entropy: 0.0999 | Acc: 28.6% (8+ 20-) | Lifetime: 22.5%
Episode    16 | Steps:     463 | Reward:  -1.201 | Avg(100):  -1.002 | Entropy: 0.0999 | Acc: 0.0% (0+ 6-) | Lifetime: 22.2%
Episode    17 | Steps:     499 | Reward:  -3.802 | Avg(100):  -1.157 | Entropy: 0.0999 | Acc: 19.4% (7+ 29-) | Lifetime: 22.0%
  [Step 500] Action dist: A0:17% | A1:21% | A2:18% | A3:20% | A4:24%
